URL,Institution,Conference,Goals,AST,ShAtt,Fouls,RC,YC,GC,GGP,GGS,Min,GA,SV,SHO,G Wins,G Loss,DSv,Corners,PS,PSA
https://stats.ncaa.org/team/363/16461,Longwood,MAC,2,2,22,53,,2,2,,,190:00:00,9,17,,,,1,8,,
https://stats.ncaa.org/team/367/16461,Louisville,ACC,8,10,52,,,1,5,,,240:00:00,3,16,1,,,1,32,,
https://stats.ncaa.org/team/380/16461,Maine,America East,10,8,41,141,,1,4,,,247:42:00,9,8,1,,,2,27,1,1
https://stats.ncaa.org/team/392/16461,Maryland,Big Ten,16,13,63,,,,7,,,301:44:00,3,18,3,,,,29,,
https://stats.ncaa.org/team/400/16461,Massachusetts,Atlantic 10,7,4,38,31,,,4,,,251:47:00,5,12,1,,,,16,1,1
https://stats.ncaa.org/team/410/16461,Merrimack,NEC,1,1,13,47,,,,,,180:00:00,22,26,,,,,6,,
https://stats.ncaa.org/team/414/16461,Miami (OH),MAC,7,6,39,,,1,5,,,240:00:00,4,12,1,,,,29,,
https://stats.ncaa.org/team/418/16461,Michigan,Big Ten,8,7,61,,,2,2,,,243:02:00,5,19,1,,,,26,,
https://stats.ncaa.org/team/416/16461,Michigan St.,Big Ten,3,2,40,,,,2,,,180:00:00,6,13,,,,,21,,
https://stats.ncaa.org/team/439/16461,Monmouth,CAA,12,12,57,23,,2,3,,,240:00:00,9,17,,,,,19,,
https://stats.ncaa.org/team/469/16461,New Hampshire,America East,13,10,72,,,1,4,,,249:58:00,8,22,1,,,,21,1,1
https://stats.ncaa.org/team/457/16461,North Carolina,ACC,11,11,67,,,,7,,,249:46:00,6,10,1,,,,30,1,1
https://stats.ncaa.org/team/500/16461,Northeastern,CAA,17,22,81,39,,1,1,,,240:00:00,7,20,,,,,34,,
https://stats.ncaa.org/team/509/16461,Northwestern,Big Ten,6,5,63,30,,2,3,,,250:00:00,3,13,2,,,,33,,
https://stats.ncaa.org/team/519/16461,Ohio,MAC,6,7,28,79,,3,1,,,180:00:00,11,6,,,,,17,,
https://stats.ncaa.org/team/518/16461,Ohio St.,Big Ten,20,11,96,22,,3,8,,,293:49:00,5,20,1,,,,45,,
https://stats.ncaa.org/team/523/16461,Old Dominion,Big East,5,4,50,2,,,3,,,183:02:00,5,8,1,,,,29,,
https://stats.ncaa.org/team/540/16461,Penn,Ivy League,1,,6,,,,1,,,120:00:00,6,8,,,,1,1,,
https://stats.ncaa.org/team/539/16461,Penn St.,Big Ten,11,2,74,,,,6,,,255:32:00,8,27,,,,,28,,
https://stats.ncaa.org/team/554/16461,Princeton,Ivy League,2,1,12,,,2,3,,,128:05:00,4,14,,,,,3,,
https://stats.ncaa.org/team/556/16461,Providence,Big East,2,,22,72,,2,5,,,240:00:00,5,24,2,,,,23,,1
https://stats.ncaa.org/team/11504/16461,Queens (NC),DI Independent,1,,14,44,,1,2,,,240:00:00,28,53,,,,,9,,
https://stats.ncaa.org/team/562/16461,Quinnipiac,Big East,4,4,16,22,,,2,,,129:58:00,6,19,,,,1,9,,
https://stats.ncaa.org/team/575/16461,Richmond,Atlantic 10,9,9,52,63,,2,7,,,257:05:00,5,19,1,,,1,28,,
https://stats.ncaa.org/team/576/16461,Rider,NEC,6,3,54,70,,,3,,,244:34:00,12,21,,,,2,34,,1
https://stats.ncaa.org/team/587/16461,Rutgers,Big Ten,7,6,64,,,1,5,,,260:00:00,2,17,2,,,,24,1,3
https://stats.ncaa.org/team/590/16461,Sacred Heart,NEC,8,7,28,104,,,5,,,236:00:00,20,35,,,,5,22,,
https://stats.ncaa.org/team/600/16461,Saint Francis (PA),NEC,14,11,67,97,,3,9,,,360:00:00,8,22,2,,,1,35,,
https://stats.ncaa.org/team/606/16461,Saint Joseph's,Atlantic 10,13,12,67,,,,3,,,240:00:00,3,17,2,,,2,40,,
https://stats.ncaa.org/team/609/16461,Saint Louis,Atlantic 10,7,6,52,,,1,3,,,260:34:00,9,25,,,,1,34,1,1
https://stats.ncaa.org/team/674/16461,Stanford,America East,1,1,22,,,,3,,,180:00:00,11,21,,,,,8,,
https://stats.ncaa.org/team/682/16461,Stonehill,NEC,1,1,20,,,,2,,,193:03:00,12,27,,,,,13,,1
https://stats.ncaa.org/team/688/16461,Syracuse,ACC,24,21,94,133,,,4,,,236:00:00,5,5,,,,,48,2,2
https://stats.ncaa.org/team/690/16461,Temple,Big East,4,5,36,142,,,3,,,240:00:00,9,15,,,,1,25,,
https://stats.ncaa.org/team/711/16461,Towson,CAA,9,7,56,,,2,5,,,260:00:00,8,18,,,,1,27,,
https://stats.ncaa.org/team/14/16461,UAlbany,America East,7,7,35,,,1,3,,,191:47:00,6,8,1,,,1,14,,
https://stats.ncaa.org/team/108/16461,UC Davis,America East,7,4,49,,,,9,,,371:51:00,24,61,,,,2,19,1,2
https://stats.ncaa.org/team/164/16461,UConn,Big East,5,4,61,,,1,1,,,270:00:00,7,32,,,,1,24,,
https://stats.ncaa.org/team/368/16461,UMass Lowell,America East,14,8,79,,,2,4,,,180:00:00,5,6,1,,,,35,,
https://stats.ncaa.org/team/740/16461,VCU,Atlantic 10,9,9,28,113,,,2,,,180:00:00,5,16,1,,,1,10,,
https://stats.ncaa.org/team/738/16461,Vermont,America East,10,12,33,157,,1,5,,,240:43:00,15,23,,,,2,19,,
https://stats.ncaa.org/team/739/16461,Villanova,Big East,11,8,57,73,,1,4,,,180:00:00,11,17,1,,,1,22,,1
https://stats.ncaa.org/team/746/16461,Virginia,ACC,11,9,52,38,,1,5,,,240:00:00,5,14,1,,,2,14,1,1
https://stats.ncaa.org/team/748/16461,Wagner,NEC,,,9,65,,,4,,,120:00:00,7,8,,,,,5,,
https://stats.ncaa.org/team/749/16461,Wake Forest,ACC,3,1,50,,,4,,,,240:00:00,6,16,2,,,,20,1,1
https://stats.ncaa.org/team/786/16461,William & Mary,CAA,4,3,29,,,1,,,,120:00:00,5,7,,,,1,14,,
https://stats.ncaa.org/team/813/16461,Yale,Ivy League,2,4,7,28,,2,2,,,120:00:00,6,21,1,,,2,6,,
