URL,Institution,Conference,Goals,AST,ShAtt,Fouls,RC,YC,GC,GGP,GGS,Min,GA,SV,SHO,G Wins,G Loss,DSv,Corners,PS,PSA
https://stats.ncaa.org/team/23/16461,American,Patriot,9,7,33,17,,,1,,,268:56:00,5,27,1,,,,17,,
https://stats.ncaa.org/team/27/16461,App State,MAC,8,11,41,,,,3,,,240:00:00,5,19,1,,,,17,,
https://stats.ncaa.org/team/47/16461,Ball St.,MAC,8,6,50,15,,1,5,,,248:42:00,14,44,,,,1,20,,
https://stats.ncaa.org/team/52/16461,Bellarmine,MAC,6,4,39,,,1,5,,,240:00:00,9,25,,,,1,26,,
https://stats.ncaa.org/team/67/16461,Boston College,ACC,6,8,48,59,,,5,,,251:44:00,3,14,1,,,1,24,1,1
https://stats.ncaa.org/team/68/16461,Boston U.,Patriot,5,3,29,79,,1,2,,,187:42:00,7,13,,,,,14,,
https://stats.ncaa.org/team/80/16461,Brown,Ivy League,5,2,57,50,,,,,,122:08:00,1,4,1,,,,19,1,1
https://stats.ncaa.org/team/81/16461,Bryant,America East,5,3,35,24,,5,4,,,260:00:00,9,23,,,,,12,2,2
https://stats.ncaa.org/team/83/16461,Bucknell,Patriot,4,3,46,45,,3,8,,,248:42:00,9,19,,,,,17,,1
https://stats.ncaa.org/team/107/16461,California,America East,5,4,49,,,1,4,,,253:41:00,10,18,,,,2,31,,
https://stats.ncaa.org/team/129/16461,Central Mich.,MAC,6,4,19,61,,,1,,,180:00:00,9,32,,,,1,15,,
https://stats.ncaa.org/team/153/16461,Colgate,Patriot,7,6,57,125,,1,3,,,244:34:00,10,14,,,,3,28,,
https://stats.ncaa.org/team/158/16461,Columbia,Ivy League,4,6,17,48,,1,,,,120:00:00,7,11,,,,,13,,
https://stats.ncaa.org/team/167/16461,Cornell,Ivy League,2,4,4,27,,,,,,60:00:00,4,10,,,,,2,,
https://stats.ncaa.org/team/172/16461,Dartmouth,Ivy League,6,5,24,,,,,,,60:00:00,1,2,,,,,3,,
https://stats.ncaa.org/team/173/16461,Davidson,Atlantic 10,12,8,69,,,,5,,,260:00:00,7,8,,,,1,33,1,1
https://stats.ncaa.org/team/180/16461,Delaware,CAA,19,12,59,69,,,3,,,240:00:00,8,19,1,,,2,29,,1
https://stats.ncaa.org/team/191/16461,Drexel,CAA,16,18,72,41,,1,7,,,240:00:00,2,12,3,,,1,41,,
https://stats.ncaa.org/team/193/16461,Duke,ACC,7,8,43,,,2,3,,,180:00:00,6,6,,,,,19,,1
https://stats.ncaa.org/team/220/16461,Fairfield,NEC,9,6,33,44,,2,5,,,178:03:00,3,12,2,,,,19,,1
https://stats.ncaa.org/team/251/16461,Georgetown,Big East,6,5,36,48,,,7,,,240:00:00,15,21,,,,,18,,
https://stats.ncaa.org/team/275/16461,Harvard,Ivy League,5,,23,,,,3,,,130:00:00,3,4,,,,,9,,
https://stats.ncaa.org/team/283/16461,Hofstra,CAA,11,13,40,113,,1,4,,,240:00:00,7,16,2,,,1,27,,
https://stats.ncaa.org/team/285/16461,Holy Cross,Patriot,4,5,32,43,,1,3,,,195:11:00,10,41,1,,,2,19,,
https://stats.ncaa.org/team/306/16461,Indiana,Big Ten,8,7,29,,,3,5,,,240:22:00,6,24,1,,,,14,1,3
https://stats.ncaa.org/team/312/16461,Iowa,Big Ten,13,6,53,,,3,4,,,239:44:00,2,10,3,,,,26,1,2
https://stats.ncaa.org/team/317/16461,James Madison,DI Independent,7,8,42,43,,2,9,,,240:00:00,8,25,,,,,11,,
https://stats.ncaa.org/team/331/16461,Kent St.,MAC,5,4,49,32,,,4,,,251:51:00,8,23,1,,,1,32,,
https://stats.ncaa.org/team/361/16461,La Salle,Atlantic 10,6,1,33,84,,1,3,,,180:00:00,3,13,1,,,1,9,,1
https://stats.ncaa.org/team/340/16461,Lafayette,Patriot,8,8,41,99,,,5,,,240:43:00,8,13,1,,,,19,,
https://stats.ncaa.org/team/342/16461,Lehigh,Patriot,11,7,58,24,,,1,,,233:49:00,10,15,,,,3,36,2,3
https://stats.ncaa.org/team/352/16461,Liberty,Big East,7,7,56,,,,4,,,260:22:00,2,16,2,,,3,30,1,3
https://stats.ncaa.org/team/355/16461,Lindenwood,DI Independent,2,2,22,,,2,2,,,120:34:00,5,16,,,,1,9,,
https://stats.ncaa.org/team/30136/16461,LIU,NEC,1,1,12,19,,,1,,,180:00:00,9,23,,,,,4,,
https://stats.ncaa.org/team/360/16461,Lock Haven,Atlantic 10,11,9,37,76,,3,6,,,240:00:00,5,19,1,,,1,19,,
