school,playerstatsurl,matchstatsurl
American Eagles,https://stats.ncaa.org/team/23/stats/16001,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16001&org_id=23&stats_player_seq=-100
App State Mountaineers,https://stats.ncaa.org/team/27/stats/16001,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16001&org_id=27&stats_player_seq=-100
Ball St. Cardinals,https://stats.ncaa.org/team/47/stats/16001,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16001&org_id=47&stats_player_seq=-100
Bellarmine Knights,https://stats.ncaa.org/team/52/stats/16001,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16001&org_id=52&stats_player_seq=-100
Boston College Eagles,https://stats.ncaa.org/team/67/stats/16001,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16001&org_id=67&stats_player_seq=-100
Boston U. Terriers,https://stats.ncaa.org/team/68/stats/16001,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16001&org_id=68&stats_player_seq=-100
Brown Bears,https://stats.ncaa.org/team/80/stats/16001,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16001&org_id=80&stats_player_seq=-100
Bryant Bulldogs,https://stats.ncaa.org/team/81/stats/16001,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16001&org_id=81&stats_player_seq=-100
Bucknell Bison,https://stats.ncaa.org/team/83/stats/16001,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16001&org_id=83&stats_player_seq=-100
California Golden Bears,https://stats.ncaa.org/team/107/stats/16001,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16001&org_id=107&stats_player_seq=-100
Central Mich. Chippewas,https://stats.ncaa.org/team/129/stats/16001,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16001&org_id=129&stats_player_seq=-100
Colgate Raiders,https://stats.ncaa.org/team/153/stats/16001,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16001&org_id=153&stats_player_seq=-100
Columbia Lions,https://stats.ncaa.org/team/158/stats/16001,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16001&org_id=158&stats_player_seq=-100
Cornell Big Red,https://stats.ncaa.org/team/167/stats/16001,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16001&org_id=167&stats_player_seq=-100
Dartmouth Big Green,https://stats.ncaa.org/team/172/stats/16001,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16001&org_id=172&stats_player_seq=-100
Davidson Wildcats,https://stats.ncaa.org/team/173/stats/16001,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16001&org_id=173&stats_player_seq=-100
