school,playerstatsurl,matchstatsurl
American,https://stats.ncaa.org/team/23/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=23&stats_player_seq=-100
App State,https://stats.ncaa.org/team/27/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=27&stats_player_seq=-100
Ball St.,https://stats.ncaa.org/team/47/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=47&stats_player_seq=-100
Bellarmine,https://stats.ncaa.org/team/52/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=52&stats_player_seq=-100
Boston College,https://stats.ncaa.org/team/67/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=67&stats_player_seq=-100
Boston U.,https://stats.ncaa.org/team/68/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=68&stats_player_seq=-100
Brown,https://stats.ncaa.org/team/80/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=80&stats_player_seq=-100
Bryant,https://stats.ncaa.org/team/81/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=81&stats_player_seq=-100
Bucknell,https://stats.ncaa.org/team/83/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=83&stats_player_seq=-100
California,https://stats.ncaa.org/team/107/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=107&stats_player_seq=-100
Central Mich.,https://stats.ncaa.org/team/129/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=129&stats_player_seq=-100
Colgate,https://stats.ncaa.org/team/153/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=153&stats_player_seq=-100
Columbia,https://stats.ncaa.org/team/158/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=158&stats_player_seq=-100
Cornell,https://stats.ncaa.org/team/167/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=167&stats_player_seq=-100
Dartmouth,https://stats.ncaa.org/team/172/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=172&stats_player_seq=-100
Davidson,https://stats.ncaa.org/team/173/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=173&stats_player_seq=-100
Delaware,https://stats.ncaa.org/team/180/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=180&stats_player_seq=-100
Drexel,https://stats.ncaa.org/team/191/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=191&stats_player_seq=-100
Duke,https://stats.ncaa.org/team/193/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=193&stats_player_seq=-100
Fairfield,https://stats.ncaa.org/team/220/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=220&stats_player_seq=-100
Georgetown,https://stats.ncaa.org/team/251/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=251&stats_player_seq=-100
Harvard,https://stats.ncaa.org/team/275/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=275&stats_player_seq=-100
Hofstra,https://stats.ncaa.org/team/283/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=283&stats_player_seq=-100
Holy Cross,https://stats.ncaa.org/team/285/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=285&stats_player_seq=-100
Indiana,https://stats.ncaa.org/team/306/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=306&stats_player_seq=-100
Iowa,https://stats.ncaa.org/team/312/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=312&stats_player_seq=-100
James Madison,https://stats.ncaa.org/team/317/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=317&stats_player_seq=-100
Kent St.,https://stats.ncaa.org/team/331/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=331&stats_player_seq=-100
LIU,https://stats.ncaa.org/team/361/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=361&stats_player_seq=-100
La Salle,https://stats.ncaa.org/team/340/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=340&stats_player_seq=-100
Lafayette,https://stats.ncaa.org/team/342/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=342&stats_player_seq=-100
Lehigh,https://stats.ncaa.org/team/352/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=352&stats_player_seq=-100
Liberty,https://stats.ncaa.org/team/355/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=355&stats_player_seq=-100
Lock Haven,https://stats.ncaa.org/team/360/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=360&stats_player_seq=-100
Longwood,https://stats.ncaa.org/team/363/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=363&stats_player_seq=-100
Louisville,https://stats.ncaa.org/team/367/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=367&stats_player_seq=-100
Maine,https://stats.ncaa.org/team/380/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=380&stats_player_seq=-100
Maryland,https://stats.ncaa.org/team/392/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=392&stats_player_seq=-100
Massachusetts,https://stats.ncaa.org/team/400/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=400&stats_player_seq=-100
Mercyhurst,https://stats.ncaa.org/team/408/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=408&stats_player_seq=-100
Merrimack,https://stats.ncaa.org/team/410/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=410&stats_player_seq=-100
Miami (OH),https://stats.ncaa.org/team/414/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=414&stats_player_seq=-100
Michigan,https://stats.ncaa.org/team/418/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=418&stats_player_seq=-100
Michigan St.,https://stats.ncaa.org/team/416/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=416&stats_player_seq=-100
Monmouth,https://stats.ncaa.org/team/439/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=439&stats_player_seq=-100
New Hampshire,https://stats.ncaa.org/team/469/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=469&stats_player_seq=-100
North Carolina,https://stats.ncaa.org/team/457/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=457&stats_player_seq=-100
Northeastern,https://stats.ncaa.org/team/500/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=500&stats_player_seq=-100
Northwestern,https://stats.ncaa.org/team/509/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=509&stats_player_seq=-100
Ohio,https://stats.ncaa.org/team/519/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=519&stats_player_seq=-100
Ohio St.,https://stats.ncaa.org/team/518/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=518&stats_player_seq=-100
Old Dominion,https://stats.ncaa.org/team/523/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=523&stats_player_seq=-100
Penn,https://stats.ncaa.org/team/540/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=540&stats_player_seq=-100
Penn St.,https://stats.ncaa.org/team/539/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=539&stats_player_seq=-100
Princeton,https://stats.ncaa.org/team/554/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=554&stats_player_seq=-100
Providence,https://stats.ncaa.org/team/556/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=556&stats_player_seq=-100
Queens (NC),https://stats.ncaa.org/team/11504/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=11504&stats_player_seq=-100
Quinnipiac,https://stats.ncaa.org/team/562/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=562&stats_player_seq=-100
Richmond,https://stats.ncaa.org/team/575/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=575&stats_player_seq=-100
Rider,https://stats.ncaa.org/team/576/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=576&stats_player_seq=-100
Rutgers,https://stats.ncaa.org/team/587/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=587&stats_player_seq=-100
Sacred Heart,https://stats.ncaa.org/team/590/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=590&stats_player_seq=-100
Saint Francis,https://stats.ncaa.org/team/600/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=600&stats_player_seq=-100
Saint Joseph's,https://stats.ncaa.org/team/606/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=606&stats_player_seq=-100
Saint Louis,https://stats.ncaa.org/team/609/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=609&stats_player_seq=-100
Stanford,https://stats.ncaa.org/team/674/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=674&stats_player_seq=-100
Stonehill,https://stats.ncaa.org/team/682/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=682&stats_player_seq=-100
Syracuse,https://stats.ncaa.org/team/688/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=688&stats_player_seq=-100
Temple,https://stats.ncaa.org/team/690/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=690&stats_player_seq=-100
Towson,https://stats.ncaa.org/team/711/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=711&stats_player_seq=-100
UAlbany,https://stats.ncaa.org/team/14/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=14&stats_player_seq=-100
UC Davis,https://stats.ncaa.org/team/108/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=108&stats_player_seq=-100
UConn,https://stats.ncaa.org/team/164/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=164&stats_player_seq=-100
UMass Lowell,https://stats.ncaa.org/team/368/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=368&stats_player_seq=-100
VCU,https://stats.ncaa.org/team/740/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=740&stats_player_seq=-100
Vermont,https://stats.ncaa.org/team/738/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=738&stats_player_seq=-100
Villanova,https://stats.ncaa.org/team/739/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=739&stats_player_seq=-100
Virginia,https://stats.ncaa.org/team/746/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=746&stats_player_seq=-100
Wagner,https://stats.ncaa.org/team/748/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=748&stats_player_seq=-100
Wake Forest,https://stats.ncaa.org/team/749/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=749&stats_player_seq=-100
William & Mary,https://stats.ncaa.org/team/786/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=786&stats_player_seq=-100
Yale,https://stats.ncaa.org/team/813/stats/16640,https://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=16640&org_id=813&stats_player_seq=-100
