URL,Institution,Conference,Goals,AST,ShAtt,Fouls,RC,YC,GC,GGP,GGS,Min,GA,SV,SHO,G Wins,G Loss,DSv,Corners,PS,PSA
https://stats.ncaa.org/team/556/16001,Providence,Big East,23,18,146,117,,4,13,,,1068:02:00,46,108,2,,,2,51,2,2
https://stats.ncaa.org/team/11504/16001,Queens (NC),DI Independent,15,11,97,104,,4,12,,,907:35:00,78,152,,,,3,64,1,3
https://stats.ncaa.org/team/562/16001,Quinnipiac,Big East,37,28,222,584,,7,23,,,1146:53:00,52,101,4,,,5,107,3,3
https://stats.ncaa.org/team/575/16001,Richmond,Atlantic 10,36,23,215,128,,5,13,,,1079:28:00,47,97,1,,,7,87,1,1
https://stats.ncaa.org/team/576/16001,Rider,NEC,59,51,301,590,,6,20,,,1276:11:00,29,101,7,,,4,173,2,3
https://stats.ncaa.org/team/587/16001,Rutgers,Big Ten,30,23,206,1,,7,23,,,1131:38:00,37,93,5,,,6,92,2,2
https://stats.ncaa.org/team/590/16001,Sacred Heart,NEC,19,17,157,314,,3,18,,,1020:00:00,63,124,,,,7,74,,2
https://stats.ncaa.org/team/600/16001,Saint Francis (PA),NEC,35,32,214,414,,7,16,,,1218:00:00,48,111,3,,,10,128,1,5
https://stats.ncaa.org/team/606/16001,Saint Joseph's,Atlantic 10,65,47,276,54,,1,12,,,1277:38:00,23,56,11,,,,132,6,7
https://stats.ncaa.org/team/609/16001,Saint Louis,Atlantic 10,25,17,210,112,,1,7,,,1146:47:00,57,147,1,,,,99,,1
https://stats.ncaa.org/team/674/16001,Stanford,America East,29,26,197,217,,4,18,,,1219:04:00,27,82,6,,,3,69,,1
https://stats.ncaa.org/team/682/16001,Stonehill,NEC,14,9,104,204,,,5,,,933:13:00,62,167,1,,,5,57,1,1
https://stats.ncaa.org/team/688/16001,Syracuse,ACC,74,55,346,68,,8,26,,,1346:24:00,35,80,9,,,1,131,2,3
https://stats.ncaa.org/team/690/16001,Temple,Big East,47,49,230,345,,7,13,,,1200:00:00,24,62,6,,,5,137,3,3
