date,team1,indicator,team2,score,location,attendance,extra_periods
09/07/2024,Central Mich.,vs.,Hofstra,3-2,"Orono, ME",76,2
09/08/2024,Cornell,@,UAlbany,2-3,,167,2
10/13/2024,Delaware,@,Princeton,1-2,,450,2
09/06/2024,American,@,James Madison,2-3,,138,2
09/08/2024,Ohio,@,Michigan St.,3-2,,103,2
10/27/2024,Wake Forest,@,California,3-2,,0,2
09/15/2024,Brown,@,Yale,2-1,,427,2
10/01/2024,Miami (OH),@,Michigan St.,1-2,,115,2
09/29/2024,Michigan St.,@,Ball St.,2-1,,125,2
09/08/2024,Colgate,@,Lock Haven,3-4,,508,2
08/30/2024,Saint Francis,@,Ball St.,3-2,,145,2
10/13/2024,Louisville,@,Wake Forest,2-3,,215,2
08/30/2024,Louisville,@,Maryland,1-2,,609,2
11/08/2024,Michigan,@,Maryland,4-3,,763,2
10/27/2024,Wagner,@,Drexel,1-2,,0,2
11/06/2024,Boston College,vs.,Duke,2-1,"Winston-Salem, NC",173,2
11/03/2024,Georgetown,@,Longwood,1-2,,323,2
11/07/2024,Iowa,@,Maryland,0-1,,676,2
10/06/2024,Wagner,@,Temple,1-2,,179,2
09/02/2024,VCU,@,Monmouth,3-4,,260,2
09/27/2024,American,@,Lafayette,1-0,,683,2
10/18/2024,Miami (OH),@,Longwood,4-3,,217,2
09/20/2024,Boston U.,@,Bucknell,1-2,,80,2
10/19/2024,Cornell,@,Penn,3-2,,564,2
09/22/2024,Saint Joseph's,@,Duke,1-0,,376,2
