ncaa_id,team,season,jersey,full_name,roster_name,last_name,first_name,yr,pos,feet,inches,gp,gs,goals,fouls,rc,yc,gc,player_ncaa_id,ast,shatt
23,American,2021,22,Maura Phelan,Maura Phelan,Phelan,Maura,Sr,M,,,17.0,17.0,2.0,,,1.0,,,,8.0
23,American,2021,21,Aidan Rossman,Aidan Rossman,Rossman,Aidan,Sr,F,,,17.0,17.0,3.0,,,,5.0,,,20.0
23,American,2021,7,Georgia Davies,Georgia Davies,Davies,Georgia,Sr,B,,,16.0,16.0,1.0,,,,,,4.0,11.0
23,American,2021,6,Hannah Moser,Hannah Moser,Moser,Hannah,Sr,F,,,17.0,15.0,1.0,,,1.0,2.0,,3.0,12.0
23,American,2021,17,Josie Formica,Josie Formica,Formica,Josie,Sr,M,,,17.0,17.0,2.0,,,,,,,6.0
23,American,2021,4,Charllene Boshoff,Charllene Boshoff,Boshoff,Charllene,Jr,B,,,17.0,17.0,2.0,,,1.0,,,4.0,15.0
23,American,2021,18,Megan Hoffman,Megan Hoffman,Hoffman,Megan,Jr,F,,,16.0,5.0,,,,1.0,1.0,,1.0,4.0
23,American,2021,8,Ashlyn Campagna,Ashlyn Campagna,Campagna,Ashlyn,Jr,M,,,17.0,0.0,,,,,1.0,,,1.0
23,American,2021,9,Merel Dupont,Merel Dupont,Dupont,Merel,Jr,M,,,17.0,1.0,3.0,,,,,,1.0,5.0
23,American,2021,3,Julia Kraft,Julia Kraft,Kraft,Julia,Jr,F,,,17.0,0.0,2.0,,,,,,,5.0
23,American,2021,5,Emily Horace,Emily Horace,Horace,Emily,So,B,,,17.0,16.0,2.0,,,,,,4.0,5.0
23,American,2021,12,Imogen Hatton,Imogen Hatton,Hatton,Imogen,So,M,,,17.0,2.0,4.0,,,,2.0,,3.0,13.0
23,American,2021,13,Federica Turina Dellamaggiore,Federica Turina Dellamaggiore,Dellamaggiore,Federica,Fr,M,,,9.0,3.0,1.0,,,,,,,10.0
23,American,2021,23,Delia Rabatin,Delia Rabatin,Rabatin,Delia,Fr,M,,,13.0,0.0,,,,,,,,1.0
23,American,2021,27,Alexa Kratz,Alexa Kratz,Kratz,Alexa,Fr,M,,,16.0,0.0,,,,,,,,2.0
23,American,2021,20,Noor Coenen,Noor Coenen,Coenen,Noor,Sr,M,,,17.0,17.0,10.0,,,2.0,5.0,,6.0,60.0
23,American,2021,11,Gaby De Kock,Gaby De Kock,Kock,Gaby,Sr,F,,,17.0,17.0,5.0,,,,,,3.0,18.0
23,American,2021,19,Tayla-Jade Weiss,Tayla-Jade Weiss,Weiss,Tayla-Jade,Fr,M,,,12.0,9.0,,,,1.0,,,,2.0
27,App State,2021,7,Friederike Stegen,Friederike Stegen,Stegen,Friederike,Sr,M,,,15.0,13.0,3.0,,,,,,6.0,37.0
27,App State,2021,10,Sydney Lee,Sydney Lee,Lee,Sydney,Sr,F,,,14.0,5.0,2.0,,,,,,,11.0
27,App State,2021,23,Brenna Schoenbachler,Brenna Schoenbachler,Schoenbachler,Brenna,Sr,M,,,15.0,15.0,1.0,,,,,,,1.0
27,App State,2021,4,Anna Smarrelli,Anna Smarrelli,Smarrelli,Anna,Sr,M,,,15.0,15.0,2.0,,,,1.0,,,29.0
27,App State,2021,3,Allison Corey,Allison Corey,Corey,Allison,Jr,M,,,9.0,5.0,,,,,,,,2.0
27,App State,2021,2,Sarah Farrell,Sarah Farrell,Farrell,Sarah,Jr,F,,,15.0,12.0,5.0,,,,,,1.0,18.0
27,App State,2021,16,Pauline Mangold,Pauline Mangold,Mangold,Pauline,Jr,M,,,15.0,15.0,4.0,,,,,,5.0,12.0
27,App State,2021,15,Rachel Fleig,Rachel Fleig,Fleig,Rachel,Jr,F,,,15.0,8.0,1.0,,,,,,,9.0
27,App State,2021,31,Carli Ciocco,Carli Ciocco,Ciocco,Carli,Jr,F,,,13.0,2.0,2.0,,,,1.0,,,9.0
27,App State,2021,26,Leah Hurwitz,Leah Hurwitz,Hurwitz,Leah,So,F,,,15.0,2.0,1.0,,,1.0,,,,4.0
27,App State,2021,1,Peyton Ritchey,Peyton Ritchey,Ritchey,Peyton,So,F,,,13.0,0.0,1.0,,,,,,1.0,2.0
27,App State,2021,18,Grace Ball,Grace Ball,Ball,Grace,So,M,,,15.0,15.0,,,,,,,,1.0
27,App State,2021,8,Charlotte Bosma,Charlotte Bosma,Bosma,Charlotte,Fr,F,,,15.0,11.0,3.0,,,,,,1.0,25.0
27,App State,2021,11,Meagan Quick,Meagan Quick,Quick,Meagan,Fr,M,,,6.0,0.0,,,,,,,,1.0
27,App State,2021,14,Jillian Orcutt,Jillian Orcutt,Orcutt,Jillian,Fr,B,,,15.0,15.0,,,,,1.0,,,
27,App State,2021,24,Sterre Molkenboer,Sterre Molkenboer,Molkenboer,Sterre,Fr,M,,,15.0,15.0,3.0,,,,1.0,,4.0,26.0
27,App State,2021,25,Leonie Lanckriet,Leonie Lanckriet,Lanckriet,Leonie,Fr,B,,,2.0,0.0,,,,,,,,1.0
47,Ball St.,2021,13,Maureen Donegan,Maureen Donegan,Donegan,Maureen,So,F,,,17.0,3.0,1.0,,,,1.0,,,8.0
47,Ball St.,2021,2,Alex Conrad,Alex Conrad,Conrad,Alex,Sr,B,,,17.0,17.0,,,,,2.0,,,4.0
47,Ball St.,2021,26,Callie Rumbaugh,Callie Rumbaugh,Rumbaugh,Callie,Sr,M,,,17.0,17.0,,,,,1.0,,,1.0
47,Ball St.,2021,10,Libby Kraus,Libby Kraus,Kraus,Libby,Jr,M,,,17.0,17.0,,,,,3.0,,2.0,2.0
47,Ball St.,2021,18,Gina Caravaglia,Gina Caravaglia,Caravaglia,Gina,Jr,B,,,16.0,0.0,,,,1.0,,,,2.0
47,Ball St.,2021,11,Caitlyn Grodzicki,Caitlyn Grodzicki,Grodzicki,Caitlyn,Jr,F,,,17.0,3.0,,,,,1.0,,,3.0
47,Ball St.,2021,16,Angel Nkosi,Angel Nkosi,Nkosi,Angel,Jr,M,,,17.0,16.0,1.0,,,,1.0,,,7.0
47,Ball St.,2021,15,Sarah Fondel,Sarah Fondel,Fondel,Sarah,Jr,M,,,10.0,0.0,,,,,,,,1.0
47,Ball St.,2021,9,Lexi Kansky,Lexi Kansky,Kansky,Lexi,Jr,F,,,17.0,14.0,2.0,,,,3.0,,,9.0
47,Ball St.,2021,4,Emma Hilton,Emma Hilton,Hilton,Emma,So,M,,,17.0,17.0,1.0,,,1.0,,,,13.0
47,Ball St.,2021,14,Paloma Gomez Rengifo,Paloma Gomez Rengifo,Rengifo,Paloma,So,F,,,14.0,11.0,1.0,,,,1.0,,1.0,14.0
47,Ball St.,2021,17,Michaela Graney,Michaela Graney,Graney,Michaela,So,B,,,15.0,15.0,2.0,,,,,,,8.0
47,Ball St.,2021,22,Kerrianne McClay,Kerrianne McClay,McClay,Kerrianne,Jr,M,,,17.0,17.0,3.0,,,,2.0,,,16.0
47,Ball St.,2021,8,Halle Baisas,Halle Baisas,Baisas,Halle,So,F,,,14.0,7.0,,,,,2.0,,1.0,
47,Ball St.,2021,23,Nadia BRIDDELL,Nadia BRIDDELL,BRIDDELL,Nadia,N/A,,,,11.0,0.0,,,,,1.0,,,2.0
47,Ball St.,2021,12,Agostina GIUDICE,Agostina GIUDICE,GIUDICE,Agostina,N/A,f,,,17.0,15.0,1.0,,,,5.0,,3.0,22.0
47,Ball St.,2021,20,Maya GUINN,Maya GUINN,GUINN,Maya,N/A,,,,16.0,0.0,1.0,,,,2.0,,,3.0
47,Ball St.,2021,29,Christina Clymer,Christina Clymer,Clymer,Christina,N/A,,,,7.0,0.0,,,,,,,,2.0
47,Ball St.,2021,14,P. GOMEZRENGIFO,P. GOMEZRENGIFO,GOMEZRENGIFO,P.,N/A,f,,,1.0,1.0,,,,,,,,4.0
52,Bellarmine,2021,4,Lindsay Sturgeon,Lindsay Sturgeon,Sturgeon,Lindsay,Jr,M,,,13.0,0.0,,,,,,,,1.0
52,Bellarmine,2021,00,Breanna McWhorter,Breanna McWhorter,McWhorter,Breanna,Sr,GK,,,16.0,16.0,,,,1.0,,,,
52,Bellarmine,2021,3,Cassidy Sweeney,Cassidy Sweeney,Sweeney,Cassidy,Sr,M,,,16.0,16.0,,,,1.0,5.0,,1.0,
52,Bellarmine,2021,17,Teresa Schmidt,Teresa Schmidt,Schmidt,Teresa,Jr,M,,,16.0,16.0,2.0,,,,3.0,,5.0,11.0
52,Bellarmine,2021,7,Alexa Rastigue,Alexa Rastigue,Rastigue,Alexa,Jr,B,,,8.0,1.0,,,,,1.0,,,
52,Bellarmine,2021,9,Amber Hofenk Jerembo,Amber Hofenk Jerembo,Jerembo,Amber,Jr,F,,,16.0,12.0,7.0,,,,4.0,,2.0,29.0
52,Bellarmine,2021,2,Peyton Hobson,Peyton Hobson,Hobson,Peyton,So,M,,,16.0,10.0,4.0,,,,3.0,,,9.0
52,Bellarmine,2021,5,Grace Dukes,Grace Dukes,Dukes,Grace,Jr,M,,,16.0,11.0,,,,1.0,,,,
52,Bellarmine,2021,19,Anna Crump,Anna Crump,Crump,Anna,So,M,,,16.0,16.0,6.0,,,,1.0,,3.0,30.0
52,Bellarmine,2021,21,Hannah Brown,Hannah Brown,Brown,Hannah,So,M,,,16.0,16.0,,,,,3.0,,,
52,Bellarmine,2021,14,Bente Moormann,Bente Moormann,Moormann,Bente,Fr,F,,,16.0,6.0,,,,,,,1.0,
52,Bellarmine,2021,22,Avery Bryanton,Avery Bryanton,Bryanton,Avery,Fr,B,,,12.0,0.0,1.0,,,,,,,1.0
52,Bellarmine,2021,6,Isabel Gladys,Isabel Gladys,Gladys,Isabel,Fr,M,,,16.0,16.0,,,,,1.0,,1.0,2.0
52,Bellarmine,2021,12,Julia Doornebos,Julia Doornebos,Doornebos,Julia,Jr,M,,,16.0,16.0,3.0,,,,2.0,,4.0,26.0
52,Bellarmine,2021,8,Marit van der Bend,Marit van der Bend,Bend,Marit,Fr,F,,,16.0,16.0,4.0,,,,2.0,,4.0,22.0
67,Boston College,2021,5,Sky Caron,Sky Caron,Caron,Sky,Sr,B,,,16.0,16.0,4.0,,,,,,2.0,28.0
67,Boston College,2021,13,Nell Webber,Nell Webber,Webber,Nell,Sr,F,,,18.0,14.0,2.0,,,,1.0,,2.0,12.0
67,Boston College,2021,7,Darcy Clement,Darcy Clement,Clement,Darcy,Jr,M,,,8.0,0.0,,,,,1.0,,,1.0
67,Boston College,2021,24,Margo Carlin,Margo Carlin,Carlin,Margo,Jr,F,,,18.0,18.0,4.0,,,,,,2.0,43.0
67,Boston College,2021,8,Autumn Littlefield,Autumn Littlefield,Littlefield,Autumn,Jr,M,,,6.0,0.0,,,,,,,,1.0
67,Boston College,2021,9,Kendall Hanlon,Kendall Hanlon,Hanlon,Kendall,Jr,M,,,18.0,15.0,,,,,3.0,,,4.0
67,Boston College,2021,21,Lois Lekawael,Lois Lekawael,Lekawael,Lois,Jr,M,,,3.0,0.0,1.0,,,,,,,2.0
67,Boston College,2021,14,Juliette Hijdra,Juliette Hijdra,Hijdra,Juliette,So,M,,,18.0,18.0,,,,,,,3.0,1.0
67,Boston College,2021,17,Peyton Hale,Peyton Hale,Hale,Peyton,So,M,,,11.0,2.0,,,,,1.0,,,3.0
67,Boston College,2021,20,Olivia Hahn,Olivia Hahn,Hahn,Olivia,So,M,,,16.0,0.0,,,,,,,1.0,3.0
67,Boston College,2021,4,Jaime Natale,Jaime Natale,Natale,Jaime,Sr,M,,,18.0,18.0,3.0,,,,2.0,,1.0,15.0
67,Boston College,2021,6,Milagros Arteta,Milagros Arteta,Arteta,Milagros,Jr,M,,,18.0,3.0,6.0,,,,1.0,,1.0,27.0
67,Boston College,2021,18,Pia Serowik,Pia Serowik,Serowik,Pia,Fr,M,,,3.0,0.0,,,,,,,,1.0
67,Boston College,2021,15,Fusine Govaert,Fusine Govaert,Govaert,Fusine,Sr,M,,,18.0,18.0,5.0,,,1.0,,,3.0,60.0
67,Boston College,2021,23,Luka Van Vossole,Luka Van Vossole,Vossole,Luka,Fr,M,,,16.0,4.0,,,,,,,,1.0
67,Boston College,2021,12,Elizabeth Warner,Elizabeth Warner,Warner,Elizabeth,Sr,F,,,18.0,18.0,4.0,,,,1.0,,2.0,22.0
67,Boston College,2021,16,Jill Joossens,Jill Joossens,Joossens,Jill,Fr,F,,,18.0,18.0,1.0,,,,1.0,,1.0,6.0
67,Boston College,2021,25,Victoria Arra,Victoria Arra,Arra,Victoria,Fr,M,,,12.0,0.0,1.0,,,,,,,2.0
67,Boston College,2021,3,Sarah Johnson,Sarah Johnson,Johnson,Sarah,Sr,B,,,18.0,18.0,6.0,,,,1.0,,5.0,18.0
68,Boston U.,2021,2,Payton Anderson,Payton Anderson,Anderson,Payton,Fr,,,,18.0,18.0,10.0,,,1.0,2.0,,4.0,53.0
68,Boston U.,2021,25,Katie Devine,Katie Devine,Devine,Katie,Fr,,,,18.0,18.0,,,,,1.0,,,1.0
68,Boston U.,2021,15,Tegan Poerio,Tegan Poerio,Poerio,Tegan,Fr,,,,18.0,9.0,1.0,,,,1.0,,,3.0
68,Boston U.,2021,14,Molly Rottinghaus,Molly Rottinghaus,Rottinghaus,Molly,Sr,F,,,14.0,2.0,,,,,1.0,,,3.0
68,Boston U.,2021,16,Rebecca Janes,Rebecca Janes,Janes,Rebecca,Sr,M,,,18.0,18.0,1.0,,,,1.0,,5.0,4.0
68,Boston U.,2021,23,Casey Thompson,Casey Thompson,Thompson,Casey,Sr,F,,,18.0,18.0,,,,,,,6.0,8.0
68,Boston U.,2021,4,Gianna Pantaleo,Gianna Pantaleo,Pantaleo,Gianna,Jr,M,,,18.0,3.0,2.0,,,,1.0,,,10.0
68,Boston U.,2021,10,Rachel Borzymowski,Rachel Borzymowski,Borzymowski,Rachel,Jr,B,,,17.0,17.0,1.0,,,,2.0,,1.0,18.0
68,Boston U.,2021,22,Ellie McIntyre,Ellie McIntyre,McIntyre,Ellie,Jr,F,,,17.0,6.0,2.0,,,1.0,,,1.0,8.0
68,Boston U.,2021,3,Mikayla Crowley,Mikayla Crowley,Crowley,Mikayla,Jr,M,,,17.0,6.0,1.0,,,,1.0,,1.0,9.0
68,Boston U.,2021,21,Pili Alvarez,Pili Alvarez,Alvarez,Pili,So,M,,,14.0,12.0,,,,,1.0,,,3.0
68,Boston U.,2021,18,Tess Csejka,Tess Csejka,Csejka,Tess,So,F,,,16.0,0.0,1.0,,,,1.0,,,9.0
68,Boston U.,2021,24,Thalia Steenssens,Thalia Steenssens,Steenssens,Thalia,So,M,,,18.0,18.0,3.0,,,,3.0,,2.0,20.0
68,Boston U.,2021,7,Ella Rottinghaus,Ella Rottinghaus,Rottinghaus,Ella,Fr,,,,7.0,0.0,1.0,,,,,,,1.0
68,Boston U.,2021,11,Erin Little,Erin Little,Little,Erin,Fr,,,,18.0,14.0,,,,,3.0,,,1.0
68,Boston U.,2021,5,Miya Denison,Miya Denison,Denison,Miya,Sr,F,,,14.0,13.0,1.0,,,1.0,,,2.0,15.0
80,Brown,2021,12,Danielle van Rootselaar,Danielle van Rootselaar,Rootselaar,Danielle,Sr,M,,,17.0,17.0,12.0,,,2.0,10.0,,5.0,116.0
80,Brown,2021,13,Emma Rosen,Emma Rosen,Rosen,Emma,Sr,M,,,10.0,5.0,2.0,,,,,,,6.0
80,Brown,2021,3,Chloe Perel,Chloe Perel,Perel,Chloe,Jr,M,,,12.0,6.0,,,,,,,1.0,1.0
80,Brown,2021,11,Lindsey Ross,Lindsey Ross,Ross,Lindsey,Jr,M,,,17.0,17.0,1.0,,,,1.0,,5.0,2.0
80,Brown,2021,18,Ana Claire Piacentini,Ana Claire Piacentini,Piacentini,Ana,Jr,M,,,14.0,14.0,2.0,,,,1.0,,1.0,11.0
80,Brown,2021,17,Emma Rothkopf,Emma Rothkopf,Rothkopf,Emma,Jr,F,,,17.0,16.0,1.0,,,,,,,24.0
80,Brown,2021,4,Julia Hitti,Julia Hitti,Hitti,Julia,Fr,B,,,17.0,16.0,,,,,1.0,,,
80,Brown,2021,7,Imogen Govan,Imogen Govan,Govan,Imogen,So,M,,,16.0,16.0,2.0,,,,3.0,,3.0,13.0
80,Brown,2021,16,Jodi Porto,Jodi Porto,Porto,Jodi,So,M,,,13.0,8.0,,,,1.0,,,,
80,Brown,2021,21,Cameron Kinsella,Cameron Kinsella,Kinsella,Cameron,So,M,,,13.0,2.0,2.0,,,,1.0,,,7.0
80,Brown,2021,2,Stacey Lukasheva,Stacey Lukasheva,Lukasheva,Stacey,Fr,M,,,17.0,0.0,1.0,,,,,,1.0,7.0
80,Brown,2021,6,Chloe Sik,Chloe Sik,Sik,Chloe,Fr,B,,,17.0,14.0,,,,2.0,2.0,,,4.0
80,Brown,2021,19,Mikayla Walsh,Mikayla Walsh,Walsh,Mikayla,Fr,M,,,17.0,17.0,3.0,,,,1.0,,5.0,11.0
80,Brown,2021,9,Catie Summers,Catie Summers,Summers,Catie,Fr,F,,,17.0,7.0,,,,,1.0,,,8.0
80,Brown,2021,15,Katie McCallum,Katie McCallum,McCallum,Katie,Fr,F,,,14.0,2.0,1.0,,,,,,,9.0
81,Bryant,2021,7,Brittany Gouws,Brittany Gouws,Gouws,Brittany,Sr,B,,,17.0,16.0,2.0,,,1.0,,,,17.0
81,Bryant,2021,18,Victoria Wypych,Victoria Wypych,Wypych,Victoria,Sr,M,,,17.0,15.0,1.0,,,,1.0,,,4.0
81,Bryant,2021,9,Grayson Green,Grayson Green,Green,Grayson,Jr,M,,,18.0,16.0,1.0,,,,2.0,,1.0,9.0
81,Bryant,2021,15,Phoebe Johnson,Phoebe Johnson,Johnson,Phoebe,Jr,F,,,15.0,2.0,,,,,,,,3.0
81,Bryant,2021,19,Sydney Swain,Sydney Swain,Swain,Sydney,Jr,M,,,17.0,9.0,,,,,1.0,,,
81,Bryant,2021,21,Ellie Morrison,Ellie Morrison,Morrison,Ellie,Jr,B,,,18.0,18.0,,,,,,,,3.0
81,Bryant,2021,6,Taryn Rauff,Taryn Rauff,Rauff,Taryn,Jr,F,,,17.0,15.0,8.0,,,1.0,2.0,,1.0,46.0
81,Bryant,2021,23,Ashley Barron,Ashley Barron,Barron,Ashley,So,F,,,11.0,0.0,1.0,,,,,,,6.0
81,Bryant,2021,10,Ella Davison,Ella Davison,Davison,Ella,So,M,,,18.0,15.0,,,,,1.0,,,3.0
81,Bryant,2021,3,Lotte Guitink,Lotte Guitink,Guitink,Lotte,So,B,,,18.0,18.0,1.0,,,,1.0,,3.0,8.0
81,Bryant,2021,5,Chole Tilley,Chole Tilley,Tilley,Chole,So,M,,,17.0,8.0,1.0,,,,,,,2.0
81,Bryant,2021,16,Gabby Cavenas,Gabby Cavenas,Cavenas,Gabby,Fr,M,,,12.0,3.0,,,,,,,,2.0
81,Bryant,2021,12,Sarah Van Scoten,Sarah Van Scoten,Scoten,Sarah,Fr,M,,,18.0,12.0,,,,,,,,2.0
81,Bryant,2021,17,Caitlin Gallagher,Caitlin Gallagher,Gallagher,Caitlin,Fr,M,,,18.0,18.0,,,,,1.0,,1.0,9.0
81,Bryant,2021,1,Carson Dennis,Carson Dennis,Dennis,Carson,Sr,M,,,18.0,12.0,4.0,,,1.0,1.0,,1.0,12.0
83,Bucknell,2021,2,Olivia Bush,Olivia Bush,Bush,Olivia,So,F,,,14.0,0.0,,,,,,,,1.0
83,Bucknell,2021,6,Kari Melberger,Kari Melberger,Melberger,Kari,So,M,,,18.0,17.0,1.0,,,1.0,1.0,,1.0,12.0
83,Bucknell,2021,9,Gugulethu Sibanda,Gugulethu Sibanda,Sibanda,Gugulethu,So,M,,,17.0,0.0,1.0,,,,1.0,,1.0,11.0
83,Bucknell,2021,11,Rachel Apa,Rachel Apa,Apa,Rachel,So,F,,,18.0,17.0,4.0,,,,5.0,,2.0,26.0
83,Bucknell,2021,20,Grace McEvoy,Grace McEvoy,McEvoy,Grace,Sr,B,,,18.0,18.0,1.0,,,,1.0,,,14.0
83,Bucknell,2021,28,Erin Zielinski,Erin Zielinski,Zielinski,Erin,Sr,B,,,18.0,18.0,1.0,,,,1.0,,7.0,1.0
83,Bucknell,2021,8,Emily Doyle,Emily Doyle,Doyle,Emily,Sr,F,,,18.0,17.0,4.0,,,,1.0,,2.0,17.0
83,Bucknell,2021,5,Payton Kenney,Payton Kenney,Kenney,Payton,Sr,M,,,17.0,1.0,,,,,1.0,,,
83,Bucknell,2021,10,Mary Kate Stefanowicz,Mary Kate Stefanowicz,Stefanowicz,Mary,Sr,M,,,18.0,17.0,8.0,,,,1.0,,1.0,42.0
83,Bucknell,2021,1,Alina Arko,Alina Arko,Arko,Alina,Jr,F,,,17.0,1.0,,,,,,,,2.0
83,Bucknell,2021,18,Noor Kaur,Noor Kaur,Kaur,Noor,Jr,M,,,18.0,0.0,1.0,,,,,,8.0,5.0
83,Bucknell,2021,21,Mackenzie Kile,Mackenzie Kile,Kile,Mackenzie,Jr,F,,,18.0,18.0,4.0,,,1.0,1.0,,12.0,21.0
83,Bucknell,2021,4,Maddie Rehak,Maddie Rehak,Rehak,Maddie,Jr,F,,,17.0,1.0,2.0,,,,1.0,,5.0,11.0
83,Bucknell,2021,7,Kayla Kisthardt,Kayla Kisthardt,Kisthardt,Kayla,Jr,M,,,18.0,18.0,,,,,,,5.0,
83,Bucknell,2021,16,Reanne Burgess,Reanne Burgess,Burgess,Reanne,So,B,,,18.0,17.0,1.0,,,,1.0,,1.0,11.0
83,Bucknell,2021,25,Mia Fields,Mia Fields,Fields,Mia,So,B,,,18.0,17.0,,,,1.0,,,1.0,
83,Bucknell,2021,15,Isabella Pavlides,Isabella Pavlides,Pavlides,Isabella,Fr,M,,,14.0,0.0,,,,,2.0,,2.0,4.0
83,Bucknell,2021,12,Lily Neilson,Lily Neilson,Neilson,Lily,Fr,B,,,18.0,2.0,15.0,,,,1.0,,1.0,45.0
83,Bucknell,2021,19,Lindsey Fogelsanger,Lindsey Fogelsanger,Fogelsanger,Lindsey,Fr,M,,,6.0,0.0,,,,,1.0,,,1.0
83,Bucknell,2021,22,Hannah Guarente,Hannah Guarente,Guarente,Hannah,Fr,M,,,4.0,0.0,,,,,1.0,,,
107,California,2021,17,Maddie Cleat,Maddie Cleat,Cleat,Maddie,Sr,F,,,17.0,17.0,3.0,,,,1.0,,2.0,39.0
107,California,2021,1,Kiki de Bruijne,Kiki de Bruijne,Bruijne,Kiki,So,M,,,17.0,17.0,2.0,,,,3.0,,4.0,8.0
107,California,2021,6,Maggie Blundi,Maggie Blundi,Blundi,Maggie,Sr,F,,,5.0,0.0,,,,,,,,1.0
107,California,2021,15,Makaela Hoang,Makaela Hoang,Hoang,Makaela,Jr,F,,,14.0,4.0,,,,,1.0,,,4.0
107,California,2021,3,Brynn Zorilla,Brynn Zorilla,Zorilla,Brynn,Sr,M,,,17.0,17.0,3.0,,,,,,2.0,18.0
107,California,2021,21,Monica Arteaga,Monica Arteaga,Arteaga,Monica,Jr,F,,,17.0,5.0,,,,,,,,4.0
107,California,2021,8,Rachel Buttinger,Rachel Buttinger,Buttinger,Rachel,Jr,M,,,17.0,12.0,4.0,,,,4.0,,,22.0
107,California,2021,5,Megan Connors,Megan Connors,Connors,Megan,Jr,M,,,16.0,16.0,4.0,,,1.0,2.0,,4.0,16.0
107,California,2021,22,Jane Onners,Jane Onners,Onners,Jane,Jr,B,,,17.0,17.0,3.0,,,1.0,,,2.0,10.0
107,California,2021,23,Hanna Winn,Hanna Winn,Winn,Hanna,Jr,B,,,17.0,3.0,,,,,,,,1.0
107,California,2021,10,Sara Stone,Sara Stone,Stone,Sara,So,F,,,17.0,17.0,2.0,,,,1.0,,1.0,12.0
107,California,2021,11,Claire Hind,Claire Hind,Hind,Claire,So,B,,,17.0,17.0,,,,,1.0,,2.0,3.0
107,California,2021,16,Kaiden Stanley,Kaiden Stanley,Stanley,Kaiden,So,F,,,14.0,0.0,,,,,,,,5.0
107,California,2021,13,Sophie Everett,Sophie Everett,Everett,Sophie,Fr,M,,,2.0,0.0,,,,,,,,1.0
107,California,2021,2,Madeline Zacchini,Madeline Zacchini,Zacchini,Madeline,Fr,B,,,6.0,0.0,,,,,,,,1.0
107,California,2021,24,Anne van Hoof,Anne van Hoof,Hoof,Anne,Sr,B,,,14.0,14.0,5.0,,,,1.0,,,38.0
129,Central Mich.,2021,8,Avery Periard,Avery Periard,Periard,Avery,Sr,F,,,15.0,7.0,,,,,,,1.0,
