ncaa_id,team,season,jersey,full_name,roster_name,last_name,first_name,yr,pos,feet,inches,gp,gs,goals,fouls,rc,yc,gc,player_ncaa_id,ast,pts,shatt,dsv
23,American,2024,5,Emily Horace,Emily Horace,Horace,Emily,Sr,B,,,20.0,20.0,3.0,,,,,,,6.0,12.0,
23,American,2024,20,Olivia Morraye,Olivia Morraye,Morraye,Olivia,Fr,B,,,20.0,20.0,1.0,,,,,,,2.0,3.0,3.0
23,American,2024,13,Federica Turina Dellamaggiore,Federica Turina Dellamaggiore,Dellamaggiore,Federica,Sr,M,,,20.0,20.0,4.0,,,2.0,2.0,,,8.0,51.0,
23,American,2024,8,Alyssa Freeman,Alyssa Freeman,Freeman,Alyssa,So,M,,,19.0,0.0,,,,1.0,,,1.0,1.0,1.0,
23,American,2024,2,Kaleigh Missimer,Kaleigh Missimer,Missimer,Kaleigh,Sr,M,,,12.0,1.0,4.0,,,,,,,8.0,14.0,
23,American,2024,17,Emilia Winkler,Emilia Winkler,Winkler,Emilia,So,F,,,20.0,19.0,1.0,,,1.0,3.0,,5.0,7.0,24.0,
23,American,2024,23,Delia Rabatin,Delia Rabatin,Rabatin,Delia,Sr,M,,,20.0,2.0,1.0,,,,1.0,,,2.0,15.0,
23,American,2024,11,Agustina Roffo,Agustina Roffo,Roffo,Agustina,Sr,M,,,20.0,20.0,8.0,,,,2.0,,,16.0,20.0,
23,American,2024,19,Tayla-Jade Weiss,Tayla-Jade Weiss,Weiss,Tayla-Jade,Sr,M,,,20.0,20.0,,,,,,,3.0,3.0,11.0,
23,American,2024,16,Rebecca Bonness,Rebecca Bonness,Bonness,Rebecca,Sr,F,,,13.0,12.0,2.0,,,,,,1.0,5.0,8.0,
23,American,2024,7,Elle Ridge,Elle Ridge,Ridge,Elle,So,F,,,20.0,0.0,1.0,,,,1.0,,1.0,3.0,6.0,
23,American,2024,4,Sophie Willemse,Sophie Willemse,Willemse,Sophie,So,B,,,20.0,20.0,3.0,,,1.0,1.0,,4.0,10.0,36.0,
23,American,2024,26,Emma Guydish,Emma Guydish,Guydish,Emma,So,M,,,20.0,8.0,1.0,,,,1.0,,1.0,3.0,10.0,
23,American,2024,25,Katelyn Bailey,Katelyn Bailey,Bailey,Katelyn,Sr,B,,,20.0,20.0,,,,,1.0,,2.0,2.0,2.0,
23,American,2024,1,Jordan Reicher,Jordan Reicher,Reicher,Jordan,So,F,,,20.0,18.0,7.0,,,,3.0,,3.0,17.0,43.0,
23,American,2024,9,Ashley Huddleston,Ashley Huddleston,Huddleston,Ashley,So,M,,,15.0,0.0,,,,,,,1.0,1.0,7.0,
23,American,2024,6,Sarah Steinman,Sarah Steinman,Steinman,Sarah,So,B,,,16.0,0.0,2.0,,,,,,,4.0,2.0,
27,App State,2024,4,Baylie Phillips,Baylie Phillips,Phillips,Baylie,Fr,M,,,6.0,0.0,1.0,,,,,,,2.0,2.0,
27,App State,2024,17,Emma Rondou,Emma Rondou,Rondou,Emma,Fr,M,,,2.0,0.0,,,,,,,1.0,1.0,2.0,
27,App State,2024,3,Darby Reyburn,Darby Reyburn,Reyburn,Darby,Fr,M,,,4.0,0.0,2.0,,,,,,,4.0,3.0,
27,App State,2024,35,Franziska Heyltjes,Franziska Heyltjes,Heyltjes,Franziska,Fr,F,,,15.0,0.0,2.0,,,,,,,4.0,5.0,
27,App State,2024,18,Grace Ball,Grace Ball,Ball,Grace,Sr,M,,,19.0,19.0,2.0,,,,,,4.0,8.0,51.0,1.0
27,App State,2024,8,Frederique Grimbergen,Frederique Grimbergen,Grimbergen,Frederique,Fr,M,,,19.0,10.0,2.0,,,1.0,1.0,,1.0,5.0,20.0,
27,App State,2024,24,Sophia Baxter,Sophia Baxter,Baxter,Sophia,So,M,,,19.0,19.0,3.0,,,1.0,3.0,,,6.0,9.0,
27,App State,2024,12,Florine Koopman,Florine Koopman,Koopman,Florine,So,M,,,17.0,17.0,5.0,,,,3.0,,3.0,13.0,25.0,
27,App State,2024,10,Sarah Perkins,Sarah Perkins,Perkins,Sarah,Sr,M,,,19.0,19.0,1.0,,,1.0,2.0,,,2.0,6.0,
27,App State,2024,33,Lise Boekaar,Lise Boekaar,Boekaar,Lise,Jr,F,,,18.0,18.0,3.0,,,,,,7.0,13.0,30.0,
27,App State,2024,14,Jillian Orcutt,Jillian Orcutt,Orcutt,Jillian,Sr,B,,,19.0,17.0,4.0,,,1.0,3.0,,1.0,9.0,20.0,
27,App State,2024,11,Henriette Stegen,Henriette Stegen,Stegen,Henriette,Jr,F,,,18.0,3.0,5.0,,,,2.0,,2.0,12.0,15.0,
27,App State,2024,13,Charlotte Bosma,Charlotte Bosma,Bosma,Charlotte,Sr,F,,,18.0,18.0,4.0,,,,2.0,,4.0,12.0,60.0,
27,App State,2024,21,Noa Ginjaume Matas,Noa Ginjaume Matas,Matas,Noa,So,M,,,19.0,15.0,,,,,2.0,,5.0,5.0,35.0,
27,App State,2024,20,Samantha Connors,Samantha Connors,Connors,Samantha,Jr,M,,,19.0,14.0,1.0,,,,1.0,,,2.0,14.0,
27,App State,2024,22,Hadley Kuzmicky,Hadley Kuzmicky,Kuzmicky,Hadley,Jr,F,,,18.0,0.0,,,,,,,1.0,1.0,4.0,
27,App State,2024,7,Sarah Callery,Sarah Callery,Callery,Sarah,Jr,B,,,17.0,1.0,,,,,,,,0.0,3.0,
27,App State,2024,16,Kassie Paul,Kassie Paul,Paul,Kassie,So,M,,,18.0,4.0,4.0,,,,2.0,,,8.0,10.0,
27,App State,2024,1,Bridget Donovan,Bridget Donovan,Donovan,Bridget,Jr,F,,,19.0,16.0,3.0,,,1.0,1.0,,2.0,8.0,18.0,
47,Ball St.,2024,15,Reagan KUNKLE,Reagan KUNKLE,KUNKLE,Reagan,Fr,,,,18.0,4.0,,,,,,,,0.0,3.0,
47,Ball St.,2024,16,Ellie FRANCOIS,Ellie FRANCOIS,FRANCOIS,Ellie,Fr,,,,8.0,0.0,,,,,1.0,,,0.0,1.0,
47,Ball St.,2024,3,Jenna WYCKOFF,Jenna WYCKOFF,WYCKOFF,Jenna,Jr,,,,18.0,12.0,3.0,,,,,,1.0,7.0,6.0,
47,Ball St.,2024,2,Maddie Summit,Maddie Summit,Summit,Maddie,So,,,,18.0,1.0,1.0,,,,,,,2.0,1.0,
47,Ball St.,2024,18,Jessica ROCHAT,Jessica ROCHAT,ROCHAT,Jessica,Fr,b,,,18.0,18.0,,,,,,,,0.0,10.0,
47,Ball St.,2024,11,Julia VERRATTI,Julia VERRATTI,VERRATTI,Julia,Fr,,,,18.0,6.0,1.0,,,,1.0,,2.0,4.0,11.0,
47,Ball St.,2024,26,Christine DITIZIO,Christine DITIZIO,DITIZIO,Christine,So,,,,18.0,2.0,,,,,4.0,,,0.0,10.0,
47,Ball St.,2024,7,Emma van Hal,Emma van Hal,Hal,Emma,So,,,,18.0,18.0,9.0,,,1.0,1.0,,4.0,22.0,43.0,1.0
47,Ball St.,2024,8,Grace CLOKIE,Grace CLOKIE,CLOKIE,Grace,So,,,,18.0,15.0,2.0,,,1.0,1.0,,,4.0,7.0,
47,Ball St.,2024,20,Maya GUINN,Maya GUINN,GUINN,Maya,Jr,,,,18.0,16.0,,,,,,,,0.0,1.0,
47,Ball St.,2024,24,Nadine LOEPS,Nadine LOEPS,LOEPS,Nadine,Fr,,,,18.0,0.0,1.0,,,1.0,,,1.0,3.0,2.0,
47,Ball St.,2024,13,Lauren LEWIS,Lauren LEWIS,LEWIS,Lauren,N/A,f,,,18.0,10.0,,,,,,,,0.0,,1.0
47,Ball St.,2024,21,Cleo van Roessel,Cleo van Roessel,Roessel,Cleo,N/A,,,,18.0,2.0,,,,,1.0,,,0.0,9.0,
47,Ball St.,2024,19,Rachel Bohn,Rachel Bohn,Bohn,Rachel,Sr,F,,,18.0,18.0,,,,,1.0,,1.0,1.0,4.0,
47,Ball St.,2024,17,Michaela Graney,Michaela Graney,Graney,Michaela,Sr,B,,,11.0,9.0,1.0,,,,,,,2.0,11.0,1.0
47,Ball St.,2024,4,Emma Hilton,Emma Hilton,Hilton,Emma,Sr,M,,,18.0,18.0,2.0,,,,,,4.0,8.0,12.0,2.0
52,Bellarmine,2024,6,Isabel Gladys,Isabel Gladys,Gladys,Isabel,Sr,M,,,17.0,17.0,1.0,,,,2.0,,,2.0,5.0,
52,Bellarmine,2024,1,Mia Booth,Mia Booth,Booth,Mia,So,F,,,17.0,9.0,3.0,,,,,,,6.0,5.0,
52,Bellarmine,2024,14,Bente Moormann,Bente Moormann,Moormann,Bente,Sr,M,,,17.0,17.0,4.0,,,,1.0,,3.0,11.0,10.0,
52,Bellarmine,2024,27,Alicia Hudson,Alicia Hudson,Hudson,Alicia,Jr,M,,,17.0,17.0,,,,,2.0,,,0.0,5.0,
52,Bellarmine,2024,24,Skylar Sokal,Skylar Sokal,Sokal,Skylar,Fr,B,,,17.0,17.0,,,,,,,1.0,1.0,8.0,3.0
52,Bellarmine,2024,11,Eve Gladys,Eve Gladys,Gladys,Eve,Fr,M,,,15.0,0.0,,,,,2.0,,,0.0,,
52,Bellarmine,2024,7,Dominique Hudson,Dominique Hudson,Hudson,Dominique,Fr,B,,,17.0,17.0,,,,,,,,0.0,,1.0
52,Bellarmine,2024,19,Anna Crump,Anna Crump,Crump,Anna,Sr,M,,,17.0,17.0,6.0,,,,,,4.0,16.0,38.0,
52,Bellarmine,2024,22,Annie Malloy,Annie Malloy,Malloy,Annie,Fr,M,,,16.0,3.0,2.0,,,,,,1.0,5.0,2.0,
52,Bellarmine,2024,8,Luna Tuncay,Luna Tuncay,Tuncay,Luna,Fr,M,,,17.0,15.0,1.0,,,,1.0,,3.0,5.0,9.0,
52,Bellarmine,2024,4,Brooke Buchanan,Brooke Buchanan,Buchanan,Brooke,So,F,,,17.0,10.0,1.0,,,,,,,2.0,5.0,
52,Bellarmine,2024,5,Anouk Richters,Anouk Richters,Richters,Anouk,Fr,B,,,17.0,9.0,1.0,,,,1.0,,1.0,3.0,2.0,
52,Bellarmine,2024,21,Sammie Callaghan,Sammie Callaghan,Callaghan,Sammie,Fr,F,,,17.0,5.0,2.0,,,,,,,4.0,9.0,
67,Boston College,2024,2,Klara Mueffelmann,Klara Mueffelmann,Mueffelmann,Klara,So,F,,,21.0,1.0,1.0,,,,1.0,,4.0,6.0,7.0,
67,Boston College,2024,18,Pia Serowik,Pia Serowik,Serowik,Pia,Sr,M,,,21.0,2.0,4.0,,,,1.0,,,8.0,11.0,
67,Boston College,2024,7,Elisa Brauel-Jahnke,Elisa Brauel-Jahnke,Brauel-Jahnke,Elisa,So,B,,,19.0,4.0,2.0,,,,2.0,,,4.0,18.0,
67,Boston College,2024,6,Madeline Leigh,Madeline Leigh,Leigh,Madeline,So,M,,,13.0,10.0,,,,,1.0,,,0.0,6.0,
67,Boston College,2024,12,Mia Garber,Mia Garber,Garber,Mia,Jr,F,,,21.0,21.0,4.0,,,2.0,2.0,,8.0,16.0,36.0,
67,Boston College,2024,16,Madelieve Drion,Madelieve Drion,Drion,Madelieve,So,M,,,21.0,14.0,8.0,,,,,,8.0,24.0,23.0,
67,Boston College,2024,23,Eva Kluskens,Eva Kluskens,Kluskens,Eva,Jr,M,,,21.0,21.0,1.0,,,1.0,2.0,,5.0,7.0,9.0,
67,Boston College,2024,25,Victoria Arra,Victoria Arra,Arra,Victoria,Sr,M,,,16.0,0.0,,,,,,,,0.0,1.0,
67,Boston College,2024,5,Martina Giacchino,Martina Giacchino,Giacchino,Martina,Jr,M,,,21.0,21.0,3.0,,,,2.0,,4.0,10.0,16.0,
67,Boston College,2024,19,Laine Ambrose,Laine Ambrose,Ambrose,Laine,Sr,M,,,17.0,2.0,,,,,,,,0.0,7.0,
67,Boston College,2024,4,Laila Rosenquest,Laila Rosenquest,Rosenquest,Laila,So,M,,,21.0,12.0,,,,,1.0,,,0.0,6.0,
67,Boston College,2024,13,Noortje Reijnders,Noortje Reijnders,Reijnders,Noortje,Fr,B,,,12.0,6.0,,,,,1.0,,,0.0,,
67,Boston College,2024,8,Maisy Ricciardelli,Maisy Ricciardelli,Ricciardelli,Maisy,Fr,F,,,9.0,0.0,,,,,,,,0.0,2.0,
67,Boston College,2024,15,Maeve Seeger,Maeve Seeger,Seeger,Maeve,Fr,F,,,21.0,1.0,,,,,1.0,,,0.0,3.0,
67,Boston College,2024,9,Yani Zhong,Yani Zhong,Zhong,Yani,Fr,M,,,20.0,20.0,9.0,,,1.0,5.0,,3.0,21.0,37.0,5.0
67,Boston College,2024,1,Kiki de Bruijne,Kiki de Bruijne,Bruijne,Kiki,Sr,M,,,21.0,19.0,,,,,2.0,,4.0,4.0,2.0,
67,Boston College,2024,17,Peyton Hale,Peyton Hale,Hale,Peyton,Sr,M,,,21.0,17.0,8.0,,,2.0,1.0,,7.0,23.0,52.0,
67,Boston College,2024,14,Juliette Hijdra,Juliette Hijdra,Hijdra,Juliette,Sr,M,,,21.0,21.0,,,,,,,3.0,3.0,3.0,
67,Boston College,2024,20,Madelief Grandjean,Madelief Grandjean,Grandjean,Madelief,Fr,M,,,19.0,18.0,4.0,,,,,,1.0,9.0,24.0,
68,Boston U.,2024,8,Celia Nocivelli,Celia Nocivelli,Nocivelli,Celia,Jr,B,,,8.0,0.0,,,,,,,,0.0,1.0,
68,Boston U.,2024,15,Tegan Poerio,Tegan Poerio,Poerio,Tegan,Sr,M,,,17.0,14.0,1.0,,,,1.0,,5.0,7.0,7.0,
68,Boston U.,2024,20,Caroline O'Brien,Caroline O'Brien,O'Brien,Caroline,Jr,F,,,17.0,15.0,2.0,,,,,,1.0,5.0,18.0,
68,Boston U.,2024,2,Payton Anderson,Payton Anderson,Anderson,Payton,Sr,F,,,17.0,17.0,10.0,,,,,,1.0,21.0,48.0,1.0
68,Boston U.,2024,13,Maddie Hudson,Maddie Hudson,Hudson,Maddie,Jr,F,,,17.0,15.0,,,,1.0,1.0,,1.0,1.0,5.0,1.0
68,Boston U.,2024,14,Maggie Driscoll,Maggie Driscoll,Driscoll,Maggie,So,M,,,17.0,2.0,,,,,1.0,,1.0,1.0,1.0,1.0
68,Boston U.,2024,9,Natalie Epperson,Natalie Epperson,Epperson,Natalie,Jr,F,,,17.0,0.0,4.0,,,,1.0,,,8.0,11.0,
68,Boston U.,2024,6,Nicole Lauro,Nicole Lauro,Lauro,Nicole,So,F,,,17.0,12.0,1.0,,,,1.0,,1.0,3.0,23.0,
68,Boston U.,2024,16,Bella Cloutier,Bella Cloutier,Cloutier,Bella,So,F,,,7.0,0.0,,,,,,,,0.0,2.0,
68,Boston U.,2024,11,Amalia Preece,Amalia Preece,Preece,Amalia,Jr,F,,,17.0,10.0,,,,1.0,1.0,,,0.0,8.0,
68,Boston U.,2024,3,Bella Bergner,Bella Bergner,Bergner,Bella,So,M,,,17.0,16.0,,,,,1.0,,2.0,2.0,,1.0
68,Boston U.,2024,25,Katie Devine,Katie Devine,Devine,Katie,Sr,M,,,17.0,17.0,3.0,,,1.0,2.0,,1.0,7.0,14.0,
68,Boston U.,2024,5,Megan Wetzel,Megan Wetzel,Wetzel,Megan,Jr,M,,,16.0,16.0,,,,,,,7.0,7.0,2.0,
68,Boston U.,2024,4,Olivia Hammer,Olivia Hammer,Hammer,Olivia,So,F,,,16.0,0.0,1.0,,,,,,1.0,3.0,3.0,
68,Boston U.,2024,19,Martu Coulo,Martu Coulo,Coulo,Martu,Jr,F,,,17.0,15.0,,,,1.0,1.0,,3.0,3.0,7.0,
68,Boston U.,2024,7,Ella Rottinghaus,Ella Rottinghaus,Rottinghaus,Ella,Sr,M,,,17.0,1.0,,,,,,,,0.0,3.0,
68,Boston U.,2024,27,Caitlin Wong,Caitlin Wong,Wong,Caitlin,Fr,,,,7.0,0.0,,,,,,,,0.0,,1.0
68,Boston U.,2024,17,Addison Jay,Addison Jay,Jay,Addison,Fr,,,,15.0,0.0,,,,2.0,,,2.0,2.0,,
68,Boston U.,2024,21,Pili Alvarez,Pili Alvarez,Alvarez,Pili,Sr,M,,,11.0,2.0,,,,,1.0,,,0.0,1.0,
68,Boston U.,2024,18,Tess Csejka,Tess Csejka,Csejka,Tess,Sr,F,,,16.0,16.0,4.0,,,,,,,8.0,10.0,
80,Brown,2024,15,Katie McCallum,Katie McCallum,McCallum,Katie,Sr,F,,,17.0,6.0,8.0,,,,2.0,,6.0,22.0,70.0,
80,Brown,2024,19,Mikayla Walsh,Mikayla Walsh,Walsh,Mikayla,Sr,M,,,17.0,16.0,,,,,4.0,,2.0,2.0,16.0,
80,Brown,2024,20,Lucy Adams,Lucy Adams,Adams,Lucy,Jr,M,,,17.0,16.0,4.0,,,1.0,3.0,,11.0,19.0,52.0,
80,Brown,2024,14,Juliette Meijaard,Juliette Meijaard,Meijaard,Juliette,So,F,,,17.0,16.0,1.0,,,,2.0,,4.0,6.0,2.0,
80,Brown,2024,4,Julia Hitti,Julia Hitti,Hitti,Julia,Sr,B,,,17.0,17.0,,,,,,,,0.0,,4.0
80,Brown,2024,10,Kate Siedem,Kate Siedem,Siedem,Kate,So,B,,,17.0,17.0,,,,,,,,0.0,1.0,
80,Brown,2024,9,Catie Summers,Catie Summers,Summers,Catie,Sr,F,,,10.0,1.0,,,,,,,1.0,1.0,4.0,
80,Brown,2024,24,Ellie Neel,Ellie Neel,Neel,Ellie,Sr,M,,,13.0,1.0,,,,,,,,0.0,1.0,
80,Brown,2024,11,Zita Cohen,Zita Cohen,Cohen,Zita,Jr,M,,,1.0,0.0,,,,,,,,0.0,1.0,
80,Brown,2024,8,Lexi Pellegrino,Lexi Pellegrino,Pellegrino,Lexi,Jr,F,,,17.0,12.0,7.0,,,,,,,14.0,57.0,
80,Brown,2024,3,Zoe Lawrence,Zoe Lawrence,Lawrence,Zoe,So,F,,,17.0,16.0,4.0,,,1.0,2.0,,2.0,10.0,27.0,
80,Brown,2024,18,Lizzie Loftus,Lizzie Loftus,Loftus,Lizzie,So,B,,,13.0,9.0,,,,,1.0,,,0.0,2.0,
80,Brown,2024,5,Lucie Schroeder,Lucie Schroeder,Schroeder,Lucie,Fr,F,,,5.0,0.0,1.0,,,1.0,,,,2.0,2.0,
80,Brown,2024,2,Kiersten Smith,Kiersten Smith,Smith,Kiersten,Fr,F,,,17.0,0.0,5.0,,,,,,2.0,12.0,20.0,
80,Brown,2024,1,Mia Karine Myklebust,Mia Karine Myklebust,Myklebust,Mia,Jr,F,,,16.0,15.0,9.0,,,1.0,1.0,,1.0,19.0,23.0,
80,Brown,2024,22,Gretchen Scott,Gretchen Scott,Scott,Gretchen,Fr,M,,,10.0,0.0,1.0,,,,,,,2.0,8.0,
80,Brown,2024,7,Imogen Govan,Imogen Govan,Govan,Imogen,Sr,M,,,17.0,17.0,,,,,2.0,,4.0,4.0,23.0,
80,Brown,2024,13,Alexandra Madrid,Alexandra Madrid,Madrid,Alexandra,Fr,M,,,17.0,8.0,1.0,,,,1.0,,,2.0,4.0,
80,Brown,2024,25,Jule Rothenberger,Jule Rothenberger,Rothenberger,Jule,Fr,M,,,17.0,2.0,1.0,,,1.0,,,2.0,4.0,14.0,
81,Bryant,2024,25,Claire Joss,Claire Joss,Joss,Claire,So,B,,,18.0,18.0,,,,,,,1.0,1.0,2.0,
81,Bryant,2024,17,Caitlin Gallagher,Caitlin Gallagher,Gallagher,Caitlin,Sr,M,,,18.0,18.0,4.0,,,,1.0,,1.0,9.0,14.0,
81,Bryant,2024,11,Abby Crowley,Abby Crowley,Crowley,Abby,Sr,F,,,18.0,9.0,1.0,,,,3.0,,1.0,3.0,8.0,
81,Bryant,2024,4,Natalie Griffin,Natalie Griffin,Griffin,Natalie,Jr,M,,,18.0,18.0,4.0,,,1.0,,,3.0,11.0,11.0,1.0
