date,team1,indicator,team2,score,location,attendance
11/23/2025,Northwestern,vs.,Princeton,2-1,"Durham, NC","1,587"
09/07/2025,North Carolina,@,Princeton,3-2,,"1,500"
09/28/2025,North Carolina,@,Boston College,2-1,,"1,473"
11/21/2025,Harvard,vs.,Princeton,0-2,"Durham, NC","1,424"
11/21/2025,Northwestern,vs.,North Carolina,4-3,"Durham, NC","1,424"
09/19/2025,Michigan St.,@,Michigan,0-5,,"1,012"
11/16/2025,Duke,@,North Carolina,1-2,,"1,003"
10/03/2025,Penn St.,@,Michigan,1-2,,947
10/19/2025,Iowa,@,Rutgers,4-3,,918
09/19/2025,California,@,North Carolina,1-5,,878
10/19/2025,Northwestern,@,Maryland,2-1,,851
09/07/2025,Syracuse,@,Ohio St.,2-1,,762
08/31/2025,Northwestern,@,Richmond,4-0,,753
10/26/2025,Penn St.,@,Princeton,1-6,,750
10/05/2025,Rutgers,@,Michigan,1-2,,728
10/26/2025,UC Davis,@,Stanford,0-3,,713
09/21/2025,Monmouth,@,Rutgers,4-2,,679
10/17/2025,Northwestern,@,Rutgers,5-0,,678
09/12/2025,App State,@,North Carolina,0-5,,658
10/31/2025,Duke,@,North Carolina,1-2,,654
09/26/2025,North Carolina,@,Wake Forest,1-2,,650
09/26/2025,Michigan,@,Maryland,0-1,,643
09/19/2025,Penn St.,@,Maryland,1-3,,642
10/24/2025,Richmond,@,North Carolina,1-6,,632
09/12/2025,Sacred Heart,@,New Haven,4-0,,628
11/14/2025,Saint Joseph's,@,North Carolina,1-2,,628
10/10/2025,North Carolina,@,Virginia,1-0,,622
10/19/2025,Indiana,@,Penn St.,3-1,,612
09/21/2025,Northwestern,@,Villanova,5-0,,611
11/16/2025,Syracuse,@,Princeton,1-2,,611
09/26/2025,Michigan St.,@,Penn St.,0-2,,607
09/21/2025,James Madison,@,Michigan,3-1,,591
09/26/2025,Villanova,@,Temple,2-0,,572
09/12/2025,Bucknell,@,Penn St.,1-2,,569
09/14/2025,Princeton,@,Rutgers,1-0,,567
10/17/2025,Iowa,@,Penn St.,0-1,,562
09/14/2025,Liberty,@,North Carolina,1-3,,537
10/03/2025,Princeton,@,Yale,2-1,,537
10/03/2025,Wake Forest,@,Louisville,2-0,,525
11/08/2025,Saint Joseph's,@,Richmond,2-0,,525
10/12/2025,Louisville,@,North Carolina,0-3,,523
10/26/2025,Sacred Heart,@,Columbia,2-4,,523
11/06/2025,Indiana,@,Iowa,0-1,,523
09/12/2025,Northwestern,@,Louisville,2-1,,521
09/07/2025,Saint Joseph's,@,Penn St.,1-2,,520
