rank,team,conference,overall_wlt,overall_pct,overall_strk,conference_wlt,conference_pct,conference_strk,home_wlt,home_pct,home_strk,road_wlt,road_pct,road_strk,neutral_wlt,neutral_pct,neutral_strk,non_division_wlt,non_division_pct,non_division_strk
23,Miami (OH),MAC,15-8,0.652,L1,8-1,0.889,W4,8-4,0.667,W5,5-4,0.556,L3,2-0,1.000,W3,0-0,0.000,W1
24,Massachusetts,Atlantic 10,13-7,0.650,L1,6-3,0.667,L1,6-3,0.667,W3,7-2,0.778,W3,0-2,0.000,L2,0-0,0.000,W6
25,Lafayette,Patriot,12-7,0.632,L1,6-2,0.750,L1,8-1,0.889,W7,4-6,0.400,L2,0-0,0.000,W3,0-0,0.000,W4
26,New Hampshire,America East,12-7,0.632,L1,0-1,0.000,L3,8-2,0.800,L1,3-5,0.375,L1,1-0,1.000,W1,0-0,0.000,
27,Boston College,ACC,11-7,0.611,L2,2-5,0.286,L2,4-3,0.571,L1,6-2,0.750,W2,1-2,0.333,L2,0-0,0.000,
28,California,America East,12-8,0.600,L1,7-3,0.700,W8,4-3,0.571,W4,6-4,0.600,W5,2-1,0.667,L1,0-0,0.000,
29,Syracuse,ACC,11-8,0.579,L1,2-4,0.333,L3,4-3,0.571,L3,5-5,0.500,L2,2-0,1.000,W2,0-0,0.000,
30,Temple,Big East,11-8,0.579,L1,4-3,0.571,L1,7-3,0.700,W3,4-5,0.444,L1,0-0,0.000,L2,0-0,0.000,W1
31,American,Patriot,11-8,0.579,L1,8-0,1.000,W8,6-2,0.750,W3,4-5,0.444,L1,1-1,0.500,L1,0-0,0.000,
32,William & Mary,CAA,12-9,0.571,L1,6-2,0.750,W3,4-6,0.400,W1,5-3,0.625,L1,3-0,1.000,W3,0-0,0.000,
33,Providence,Big East,10-8,0.556,L2,3-4,0.429,L1,9-3,0.750,W2,1-4,0.200,L2,0-1,0.000,L7,0-0,0.000,
34,Saint Francis,NEC,10-8,0.556,L2,5-3,0.625,L2,4-1,0.800,L1,6-5,0.545,W2,0-2,0.000,L3,0-0,0.000,L4
35,Penn St.,Big Ten,9-8,0.529,L1,4-4,0.500,L1,5-3,0.625,W1,4-4,0.500,W1,0-1,0.000,L2,0-0,0.000,W9
36,Lehigh,Patriot,9-8,0.529,L3,2-4,0.333,L4,5-4,0.556,L1,4-4,0.500,L4,0-0,0.000,L1,0-0,0.000,L5
37,Michigan,Big Ten,9-8,0.529,L1,3-5,0.375,L1,6-3,0.667,L1,3-4,0.429,W1,0-1,0.000,L1,0-0,0.000,
38,Villanova,Big East,9-9,0.500,L1,4-4,0.500,L1,7-3,0.700,W1,2-5,0.286,L4,0-1,0.000,L4,0-0,0.000,W5
39,Delaware,CAA,8-9,0.471,W3,3-3,0.500,W2,5-3,0.625,W3,3-6,0.333,W1,0-0,0.000,W2,0-0,0.000,W1
40,Holy Cross,Patriot,8-9,0.471,L1,2-4,0.333,L1,6-3,0.667,L1,2-6,0.250,W1,0-0,0.000,L3,0-0,0.000,
41,Princeton,Ivy League,8-9,0.471,L1,6-3,0.667,L1,2-5,0.286,L3,5-1,0.833,W3,1-3,0.250,L1,0-0,0.000,
42,Wake Forest,ACC,8-9,0.471,L1,1-6,0.143,L1,2-5,0.286,L4,5-2,0.714,W4,1-2,0.333,L1,0-0,0.000,
43,Bryant,America East,8-9,0.471,W3,2-5,0.286,W2,5-4,0.556,W3,3-5,0.375,L2,0-0,0.000,W1,0-0,0.000,W1
44,Bucknell,Patriot,8-9,0.471,L1,3-4,0.429,L1,7-0,1.000,W7,0-9,0.000,L11,1-0,1.000,W1,0-0,0.000,
45,Sacred Heart,NEC,9-11,0.450,L1,6-3,0.667,W5,4-3,0.571,W2,3-6,0.333,W2,2-2,0.500,L1,0-0,0.000,L1
46,Vermont,America East,8-10,0.444,L2,4-4,0.500,L2,6-6,0.500,L1,1-4,0.200,L1,1-0,1.000,W1,0-0,0.000,L1
47,Northeastern,CAA,8-10,0.444,L2,3-4,0.429,L2,5-2,0.714,L1,3-7,0.300,W1,0-1,0.000,L4,0-0,0.000,
48,Boston U.,Patriot,8-10,0.444,L3,3-4,0.429,L2,4-5,0.444,L3,4-4,0.500,L2,0-1,0.000,L2,0-0,0.000,
49,Yale,Ivy League,7-9,0.438,L1,3-4,0.429,L1,3-3,0.500,L1,4-5,0.444,W1,0-1,0.000,L1,0-0,0.000,
50,Kent St.,MAC,8-11,0.421,L1,6-3,0.667,L1,4-4,0.500,W3,3-7,0.300,L2,1-0,1.000,W1,0-0,0.000,
51,Penn,Ivy League,7-10,0.412,L2,5-3,0.625,L1,5-3,0.625,W2,2-6,0.250,L5,0-1,0.000,L4,0-0,0.000,L1
52,Bellarmine,MAC,7-10,0.412,L3,3-4,0.429,L2,4-7,0.364,L1,3-3,0.500,L2,0-0,0.000,L3,0-0,0.000,W1
53,Dartmouth,Ivy League,6-9,0.400,W1,2-5,0.286,W1,4-3,0.571,W1,2-6,0.250,L1,0-0,0.000,L2,0-0,0.000,
54,Maine,America East,8-12,0.400,L1,4-5,0.444,L1,6-7,0.462,L2,2-4,0.333,W1,0-1,0.000,L2,0-0,0.000,
55,Davidson,Atlantic 10,7-11,0.389,W2,1-6,0.143,W1,6-4,0.600,W2,0-7,0.000,L15,1-0,1.000,W1,0-0,0.000,W3
56,Richmond,Atlantic 10,7-11,0.389,L6,2-5,0.286,L5,3-6,0.333,L4,4-5,0.444,L3,0-0,0.000,L3,0-0,0.000,W3
57,Rider,NEC,7-11,0.389,L1,4-3,0.571,W1,5-1,0.833,W3,1-10,0.091,L4,1-0,1.000,W1,0-0,0.000,W3
58,Ball St.,MAC,7-11,0.389,L2,2-5,0.286,L5,4-3,0.571,L1,2-6,0.250,L4,1-2,0.333,W1,0-0,0.000,
59,Ohio,MAC,6-10,0.375,L3,4-4,0.500,L2,3-3,0.500,W1,2-7,0.222,L4,1-0,1.000,W3,0-0,0.000,
60,Brown,Ivy League,6-10,0.375,L2,1-6,0.143,L2,3-3,0.500,W1,3-7,0.300,L2,0-0,0.000,L2,0-0,0.000,
61,Quinnipiac,Big East,6-11,0.353,L4,2-5,0.286,L4,3-8,0.273,L3,3-3,0.500,L2,0-0,0.000,W1,0-0,0.000,
62,Hofstra,CAA,6-12,0.333,W1,1-5,0.167,L3,5-6,0.455,W1,1-6,0.143,L5,0-0,0.000,W2,0-0,0.000,
63,Towson,CAA,6-12,0.333,L4,1-5,0.167,L1,2-7,0.222,L4,4-5,0.444,L3,0-0,0.000,L5,0-0,0.000,W7
64,Wagner,NEC,6-12,0.333,L1,5-4,0.556,L1,3-5,0.375,W2,2-6,0.250,W2,1-1,0.500,L1,0-0,0.000,
65,Indiana,Big Ten,6-13,0.316,W1,0-8,0.000,L14,2-5,0.286,W1,2-8,0.200,L3,2-0,1.000,W2,0-0,0.000,
66,James Madison,DI Independent,5-12,0.294,W2,0-0,0.000,W1,4-6,0.400,W2,1-6,0.143,L6,0-0,0.000,L2,0-0,0.000,
67,Lock Haven,Atlantic 10,5-12,0.294,L2,2-5,0.286,L3,2-6,0.250,L3,3-6,0.333,W1,0-0,0.000,W1,0-0,0.000,W3
68,UConn,Big East,5-13,0.278,L6,2-5,0.286,L3,2-4,0.333,L2,3-9,0.250,L4,0-0,0.000,L1,0-0,0.000,
69,Stonehill,NEC,5-13,0.278,W1,2-5,0.286,L3,2-3,0.400,W1,2-9,0.182,L1,1-1,0.500,W1,0-0,0.000,L1
70,Stanford,America East,4-11,0.267,L3,1-6,0.143,L3,2-4,0.333,W1,2-7,0.222,L3,0-0,0.000,L1,0-0,0.000,
71,LIU,NEC,4-11,0.267,L4,2-5,0.286,L4,4-2,0.667,L1,0-9,0.000,L11,0-0,0.000,L1,0-0,0.000,
72,Michigan St.,Big Ten,4-12,0.250,W1,1-7,0.125,L6,3-5,0.375,W1,1-7,0.125,L7,0-0,0.000,W2,0-0,0.000,
73,Longwood,MAC,4-14,0.222,W1,2-5,0.286,W1,3-7,0.300,W1,1-7,0.125,L7,0-0,0.000,W2,0-0,0.000,
74,Lindenwood,DI Independent,3-11,0.214,L5,0-0,0.000,W2,1-4,0.200,L2,2-6,0.250,L3,0-1,0.000,L3,1-0,1.000,W3
75,Columbia,Ivy League,3-13,0.188,L8,0-7,0.000,L9,2-5,0.286,L3,1-8,0.111,L6,0-0,0.000,W2,0-0,0.000,W1
76,Saint Louis,Atlantic 10,3-13,0.188,L2,1-6,0.143,L1,3-6,0.333,W2,0-7,0.000,L8,0-0,0.000,L7,1-0,1.000,W2
77,Colgate,Patriot,3-14,0.176,L11,0-6,0.000,L21,1-8,0.111,L7,2-5,0.286,L5,0-1,0.000,L1,0-0,0.000,W1
78,UC Davis,America East,2-14,0.125,L6,1-6,0.143,L6,0-5,0.000,L9,2-9,0.182,L5,0-0,0.000,W1,0-0,0.000,
79,Central Mich.,MAC,1-16,0.059,L16,0-7,0.000,L15,0-6,0.000,L13,1-8,0.111,L8,0-2,0.000,L3,0-0,0.000,
80,Georgetown,Big East,1-17,0.056,L10,0-7,0.000,L14,1-5,0.167,L4,0-10,0.000,L17,0-2,0.000,L2,0-0,0.000,L2
81,Queens (NC),DI Independent,0-17,0.000,L17,0-0,0.000,L3,0-6,0.000,L6,0-9,0.000,L27,0-2,0.000,L2,0-0,0.000,W1
82,Merrimack,NEC,0-17,0.000,L18,0-7,0.000,L8,0-4,0.000,L4,0-12,0.000,L44,0-1,0.000,L2,0-0,0.000,L1
