rank,team,conference,overall_wlt,overall_pct,overall_strk,conference_wlt,conference_pct,conference_strk,home_wlt,home_pct,home_strk,road_wlt,road_pct,road_strk,neutral_wlt,neutral_pct,neutral_strk,non_division_wlt,non_division_pct,non_division_strk
1,Northwestern,Big Ten,21-2,0.913,L1,8-0,1.000,W12,9-1,0.900,W9,6-1,0.857,L1,6-0,1.000,W6,0-0,0.000,
2,North Carolina,ACC,18-3,0.857,W7,6-1,0.857,W4,9-2,0.818,W5,7-1,0.875,W1,2-0,1.000,W12,0-0,0.000,W5
3,Liberty,Big East,17-3,0.850,L2,8-1,0.889,L1,9-0,1.000,W9,7-1,0.875,W6,1-2,0.333,L2,0-0,0.000,W2
4,Harvard,Ivy League,16-4,0.800,L1,9-0,1.000,W11,8-1,0.889,W5,6-3,0.667,L1,2-0,1.000,W3,0-0,0.000,
5,Rutgers,Big Ten,16-4,0.800,L2,6-2,0.750,L1,5-1,0.833,L1,11-1,0.917,W1,0-2,0.000,L4,0-0,0.000,W1
6,Duke,ACC,18-5,0.783,L1,7-2,0.778,W1,10-1,0.909,W3,6-1,0.857,L1,2-3,0.400,L2,0-0,0.000,W1
7,Fairfield,NEC,14-4,0.778,L1,7-1,0.875,L1,7-0,1.000,W9,7-2,0.778,W2,0-2,0.000,L3,0-0,0.000,L1
8,UMass Lowell,America East,14-4,0.778,L1,7-1,0.875,L1,11-2,0.846,L1,2-2,0.500,W2,1-0,1.000,W1,0-0,0.000,L1
9,Saint Joseph's,Atlantic 10,16-5,0.762,L1,9-0,1.000,W22,9-2,0.818,W3,5-2,0.714,W1,2-1,0.667,L1,0-0,0.000,W6
10,Maryland,Big Ten,17-6,0.739,L1,6-2,0.750,L1,8-3,0.727,L1,7-2,0.778,L1,2-1,0.667,L1,0-0,0.000,
11,App State,MAC,14-5,0.737,L1,6-2,0.750,L1,4-2,0.667,W3,8-2,0.800,W5,2-1,0.667,L1,0-0,0.000,W1
12,Cornell,Ivy League,12-5,0.706,L2,5-3,0.625,L2,9-2,0.818,L1,3-2,0.600,W1,0-1,0.000,L4,0-0,0.000,L1
13,Drexel,CAA,14-6,0.700,L1,4-3,0.571,L1,8-2,0.800,W1,5-3,0.625,W2,1-1,0.500,L1,0-0,0.000,W2
14,Ohio St.,Big Ten,14-6,0.700,L1,4-4,0.500,L1,7-3,0.700,W1,6-2,0.750,W1,1-1,0.500,L1,0-0,0.000,
15,Old Dominion,Big East,14-6,0.700,L1,7-1,0.875,W8,8-2,0.800,W7,5-4,0.556,L1,1-0,1.000,W5,0-0,0.000,
16,Iowa,Big Ten,13-6,0.684,L2,4-4,0.500,L1,6-3,0.667,L1,5-2,0.714,L2,2-1,0.667,L1,0-0,0.000,W1
17,VCU,Atlantic 10,13-6,0.684,L1,5-3,0.625,L1,7-4,0.636,L1,6-2,0.750,W5,0-0,0.000,L1,0-0,0.000,W1
18,La Salle,Atlantic 10,13-6,0.684,L1,5-3,0.625,L2,6-1,0.857,W4,7-4,0.636,L1,0-1,0.000,L3,0-0,0.000,L4
19,UAlbany,America East,13-6,0.684,L1,7-2,0.778,L1,8-3,0.727,W2,4-2,0.667,W1,1-1,0.500,L1,0-0,0.000,
20,Louisville,ACC,15-7,0.682,L1,4-4,0.500,L1,7-3,0.700,L3,6-3,0.667,L1,2-1,0.667,L1,0-0,0.000,
21,Virginia,ACC,14-7,0.667,L1,3-3,0.500,L2,4-5,0.444,L1,9-2,0.818,L1,1-0,1.000,W1,0-0,0.000,
22,Monmouth,CAA,12-6,0.667,L1,6-2,0.750,L1,6-2,0.750,W5,5-3,0.625,W1,1-1,0.500,L1,0-0,0.000,L3
