rank,team,conference,overall_wlt,overall_pct,overall_strk,conference_wlt,conference_pct,conference_strk,home_wlt,home_pct,home_strk,road_wlt,road_pct,road_strk,neutral_wlt,neutral_pct,neutral_strk,non_division_wlt,non_division_pct,non_division_strk
16,Duke,ACC,13-7,0.650,L1,6-2,0.750,L2,5-3,0.625,L1,6-3,0.667,L1,2-1,0.667,W1,0-0,0.000,W1
17,Syracuse,ACC,13-7,0.650,L2,4-4,0.500,L1,6-2,0.750,L1,6-3,0.667,W2,1-2,0.333,L2,0-0,0.000,
18,Maryland,Big Ten,13-7,0.650,L2,6-2,0.750,L1,8-4,0.667,L1,4-1,0.800,W1,1-2,0.333,L2,0-0,0.000,
19,Miami (OH),MAC,14-8,0.636,L1,7-1,0.875,W10,5-1,0.833,W3,6-7,0.462,L1,3-0,1.000,W6,0-0,0.000,W1
20,Monmouth,CAA,12-7,0.632,L1,3-3,0.500,L1,7-2,0.778,W4,4-4,0.500,L2,1-1,0.500,W1,0-0,0.000,L3
21,Northeastern,CAA,12-7,0.632,L1,5-1,0.833,L1,6-2,0.750,L1,6-5,0.545,W4,0-0,0.000,L4,0-0,0.000,
22,Wagner,NEC,12-7,0.632,L1,7-1,0.875,L1,7-2,0.778,L1,4-5,0.444,W1,1-0,1.000,W1,0-0,0.000,
23,Yale,Ivy League,10-6,0.625,L1,3-4,0.429,L2,5-2,0.714,W1,5-4,0.556,L1,0-0,0.000,L1,0-0,0.000,
24,Old Dominion,Big East,11-7,0.611,L2,5-2,0.714,L2,5-3,0.625,L1,6-3,0.667,W1,0-1,0.000,L1,0-0,0.000,
25,VCU,Atlantic 10,11-7,0.611,L2,4-3,0.571,L2,5-2,0.714,L1,6-4,0.600,W2,0-1,0.000,L2,0-0,0.000,W1
26,Temple,Big East,12-8,0.600,L1,5-2,0.714,L1,9-0,1.000,W12,2-7,0.222,L3,1-1,0.500,L1,0-0,0.000,W1
27,American,Patriot,12-8,0.600,L1,6-0,1.000,L1,7-3,0.700,L1,4-4,0.500,W1,1-1,0.500,L1,0-0,0.000,
28,Villanova,Big East,10-7,0.588,W3,4-3,0.571,W2,7-3,0.700,W2,3-4,0.429,W1,0-0,0.000,L4,0-0,0.000,W5
29,Richmond,Atlantic 10,11-8,0.579,L1,5-2,0.714,L1,6-3,0.667,L1,5-5,0.500,L1,0-0,0.000,L3,0-0,0.000,W3
30,App State,MAC,11-8,0.579,L1,7-1,0.875,L1,5-2,0.714,W3,4-5,0.444,W1,2-1,0.667,L1,0-0,0.000,W1
31,Fairfield,NEC,12-9,0.571,L1,6-2,0.750,W3,8-2,0.800,W7,3-6,0.333,W1,1-1,0.500,L1,0-0,0.000,L1
32,Saint Francis,NEC,10-8,0.556,W1,6-3,0.667,W2,5-2,0.714,W1,5-6,0.455,L2,0-0,0.000,L3,0-0,0.000,L2
33,Liberty,Big East,10-8,0.556,L1,4-3,0.571,L1,6-3,0.667,W4,3-4,0.429,L2,1-1,0.500,L1,0-0,0.000,W2
34,UMass Lowell,America East,10-8,0.556,L1,3-3,0.500,L1,9-0,1.000,W9,1-7,0.125,L6,0-1,0.000,L1,0-0,0.000,L1
35,Vermont,America East,11-9,0.550,L1,3-3,0.500,W3,7-1,0.875,W5,2-6,0.250,W1,2-2,0.500,L1,0-0,0.000,L1
36,Maine,America East,11-9,0.550,L1,3-3,0.500,L1,8-1,0.889,W1,1-7,0.125,L6,2-1,0.667,L1,0-0,0.000,
37,Delaware,CAA,12-10,0.545,L1,3-3,0.500,W2,3-5,0.375,W2,7-5,0.583,L1,2-0,1.000,W4,0-0,0.000,W1
38,Brown,Ivy League,9-8,0.529,L1,4-3,0.571,L1,5-4,0.556,W5,4-4,0.500,L2,0-0,0.000,L2,0-0,0.000,
39,Rider,NEC,10-9,0.526,L3,6-2,0.750,L2,3-3,0.500,L1,6-5,0.545,L1,1-1,0.500,L1,0-0,0.000,W3
40,Indiana,Big Ten,9-9,0.500,L1,4-4,0.500,L1,4-5,0.444,W1,4-2,0.667,W1,1-2,0.333,L1,0-0,0.000,
41,Iowa,Big Ten,9-9,0.500,L2,2-6,0.250,L2,6-4,0.600,L1,2-4,0.333,L1,1-1,0.500,L1,0-0,0.000,W1
42,New Hampshire,America East,10-10,0.500,L1,4-2,0.667,L1,7-3,0.700,W3,2-4,0.333,L1,1-3,0.250,L1,0-0,0.000,
43,La Salle,Atlantic 10,9-10,0.474,L1,1-6,0.143,L5,4-3,0.571,W1,5-7,0.417,L3,0-0,0.000,L3,0-0,0.000,L4
44,Penn St.,Big Ten,8-9,0.471,L2,2-6,0.250,L2,4-4,0.500,L1,4-5,0.444,L1,0-0,0.000,L2,0-0,0.000,W9
45,Rutgers,Big Ten,8-9,0.471,L1,4-4,0.500,L1,6-3,0.667,W4,1-5,0.167,L5,1-1,0.500,L1,0-0,0.000,W1
46,Stanford,ACC,8-9,0.471,L1,2-7,0.222,L1,3-3,0.500,W2,4-5,0.444,W1,1-1,0.500,L1,0-0,0.000,
47,Bucknell,Patriot,8-9,0.471,L3,4-2,0.667,L2,3-5,0.375,L2,5-3,0.625,W5,0-1,0.000,L1,0-0,0.000,
48,Davidson,Atlantic 10,7-8,0.467,L2,3-4,0.429,L1,4-3,0.571,W1,3-5,0.375,L2,0-0,0.000,W1,0-0,0.000,W2
49,Michigan St.,Big Ten,8-10,0.444,L2,1-7,0.125,L2,4-5,0.444,L1,4-5,0.444,L3,0-0,0.000,W2,0-0,0.000,
50,Cornell,Ivy League,7-9,0.438,W1,3-4,0.429,L1,3-3,0.500,W2,4-5,0.444,W1,0-1,0.000,L5,0-0,0.000,L1
51,Holy Cross,Patriot,7-10,0.412,L1,0-6,0.000,L7,7-4,0.636,W2,0-6,0.000,L6,0-0,0.000,L3,0-0,0.000,
52,Providence,Big East,7-10,0.412,L2,3-4,0.429,L1,4-5,0.444,L1,3-5,0.375,L1,0-0,0.000,L7,0-0,0.000,
53,Lehigh,Patriot,7-10,0.412,L1,2-4,0.333,W1,4-5,0.444,W1,3-5,0.375,L3,0-0,0.000,L1,0-0,0.000,L5
54,LIU,NEC,7-10,0.412,L1,5-3,0.625,L1,2-2,0.500,L1,4-7,0.364,W1,1-1,0.500,L1,0-0,0.000,
55,California,ACC,7-10,0.412,L3,1-8,0.111,L3,5-3,0.625,L1,2-6,0.250,L5,0-1,0.000,L2,0-0,0.000,
56,Stonehill,NEC,7-11,0.389,L1,4-4,0.500,L1,4-0,1.000,W5,0-11,0.000,L12,3-0,1.000,W4,0-0,0.000,L1
57,Ohio,MAC,7-11,0.389,L1,3-5,0.375,L1,3-5,0.375,W2,3-3,0.500,L1,1-3,0.250,L1,0-0,0.000,
58,Towson,CAA,7-11,0.389,W1,1-5,0.167,L4,5-5,0.500,L2,2-6,0.250,W1,0-0,0.000,L5,0-0,0.000,W7
59,Wake Forest,ACC,7-11,0.389,L2,2-7,0.222,L2,4-5,0.444,L2,3-5,0.375,W1,0-1,0.000,L2,0-0,0.000,
60,Columbia,Ivy League,6-10,0.375,L1,3-4,0.429,L1,2-5,0.286,W1,4-5,0.444,L1,0-0,0.000,W2,0-0,0.000,W1
61,Kent St.,MAC,7-12,0.368,L1,5-3,0.625,L1,3-4,0.429,W2,3-7,0.300,L1,1-1,0.500,L1,0-0,0.000,
62,Louisville,ACC,6-11,0.353,W1,1-7,0.125,L7,3-5,0.375,L3,3-6,0.333,W1,0-0,0.000,L1,0-0,0.000,
63,Boston U.,Patriot,6-11,0.353,L4,3-3,0.500,L2,4-4,0.500,L1,2-7,0.222,L6,0-0,0.000,L2,0-0,0.000,
64,Sacred Heart,NEC,6-12,0.333,L1,2-6,0.250,L6,2-5,0.286,L3,4-7,0.364,W1,0-0,0.000,L1,0-0,0.000,L1
65,Longwood,MAC,5-12,0.294,W1,2-6,0.250,L3,3-7,0.300,W1,2-5,0.286,L3,0-0,0.000,W2,0-0,0.000,
66,Ball St.,MAC,5-13,0.278,L1,4-4,0.500,L1,2-7,0.222,L1,3-5,0.375,W1,0-1,0.000,L1,0-0,0.000,
67,Bryant,America East,5-13,0.278,L4,1-5,0.167,L2,5-7,0.417,L2,0-6,0.000,L8,0-0,0.000,W1,0-0,0.000,W1
68,Penn,Ivy League,4-12,0.250,L3,2-5,0.286,L3,3-6,0.333,L2,1-5,0.167,L1,0-1,0.000,L5,0-0,0.000,L1
69,UC Davis,America East,4-13,0.235,L2,1-5,0.167,L2,2-4,0.333,L3,2-8,0.200,L1,0-1,0.000,L1,0-0,0.000,
70,Colgate,Patriot,4-13,0.235,L2,1-5,0.167,L1,2-5,0.286,L1,2-8,0.200,L1,0-0,0.000,L1,0-0,0.000,W1
71,Bellarmine,MAC,4-13,0.235,L1,1-7,0.125,L5,0-6,0.000,L7,4-4,0.500,W1,0-3,0.000,L6,0-0,0.000,W1
72,Hofstra,CAA,4-15,0.211,L3,2-4,0.333,L1,2-7,0.222,L1,2-7,0.222,L2,0-1,0.000,L1,0-0,0.000,
73,Lock Haven,Atlantic 10,4-15,0.211,L1,2-5,0.286,W1,3-8,0.273,L1,1-6,0.143,W1,0-1,0.000,L1,0-0,0.000,W3
74,Dartmouth,Ivy League,3-13,0.188,L5,0-7,0.000,L7,3-6,0.333,L1,0-7,0.000,L8,0-0,0.000,L2,0-0,0.000,
75,Central Mich.,MAC,3-14,0.176,L13,0-8,0.000,L8,0-6,0.000,L19,1-6,0.143,L6,2-2,0.500,L1,0-0,0.000,
76,Georgetown,Big East,3-14,0.176,L8,1-6,0.143,L4,1-4,0.200,L4,2-9,0.182,L5,0-1,0.000,L3,0-0,0.000,L2
77,Saint Louis,Atlantic 10,2-12,0.143,L1,0-6,0.000,L8,2-6,0.250,W1,0-5,0.000,L13,0-1,0.000,L8,2-0,1.000,W4
78,Queens (NC),DI Independent,2-13,0.133,L2,0-0,0.000,,2-6,0.250,L1,0-6,0.000,L33,0-1,0.000,L3,1-0,1.000,W2
79,William & Mary,CAA,2-15,0.118,L1,1-5,0.167,L3,2-7,0.222,W1,0-8,0.000,L9,0-0,0.000,W3,0-0,0.000,
80,Quinnipiac,Big East,2-16,0.111,L12,0-7,0.000,L11,2-8,0.200,L6,0-8,0.000,L10,0-0,0.000,W1,0-0,0.000,
81,Merrimack,NEC,1-16,0.059,W1,1-7,0.125,W1,1-4,0.200,W1,0-12,0.000,L56,0-0,0.000,L2,0-0,0.000,L1
82,Mercyhurst,NEC,0-14,0.000,L28,0-9,0.000,L10,0-5,0.000,L12,0-9,0.000,L16,0-0,0.000,L4,0-2,0.000,L16
