rank,team,conference,overall_wlt,overall_pct,overall_strk,conference_wlt,conference_pct,conference_strk,home_wlt,home_pct,home_strk,road_wlt,road_pct,road_strk,neutral_wlt,neutral_pct,neutral_strk,non_division_wlt,non_division_pct,non_division_strk
1,Northwestern,Big Ten,23-1,0.958,W4,8-0,1.000,L1,13-0,1.000,W22,6-0,1.000,W6,4-1,0.800,W2,0-0,0.000,
2,North Carolina,ACC,20-1,0.952,L1,8-0,1.000,W16,7-0,1.000,W12,7-0,1.000,W8,6-1,0.857,L1,0-0,0.000,W5
3,Saint Joseph's,Atlantic 10,20-4,0.833,L1,6-1,0.857,W7,11-2,0.846,W5,7-1,0.875,W7,2-1,0.667,L1,0-0,0.000,W6
4,UConn,Big East,17-4,0.810,L1,6-1,0.857,W4,9-2,0.818,L2,6-2,0.750,W1,2-0,1.000,W2,0-0,0.000,
5,Harvard,Ivy League,16-4,0.800,L1,6-1,0.857,W4,6-2,0.750,W2,9-1,0.900,W3,1-1,0.500,L1,0-0,0.000,
6,UAlbany,America East,15-4,0.789,L1,6-0,1.000,L1,9-2,0.818,L1,5-2,0.714,W1,1-0,1.000,W1,0-0,0.000,
7,Michigan,Big Ten,15-5,0.750,L1,5-3,0.625,W4,7-3,0.700,L2,6-1,0.857,W2,2-1,0.667,L1,0-0,0.000,
8,Massachusetts,Atlantic 10,17-6,0.739,L1,6-0,1.000,L1,9-0,1.000,W12,6-4,0.600,W1,2-2,0.500,L1,0-0,0.000,W6
9,Drexel,CAA,14-5,0.737,L1,6-0,1.000,L1,10-1,0.909,W9,4-3,0.571,W2,0-1,0.000,L2,0-0,0.000,W2
10,Ohio St.,Big Ten,14-5,0.737,L1,4-4,0.500,L3,9-1,0.900,W1,5-3,0.625,L2,0-1,0.000,L2,0-0,0.000,
11,Virginia,ACC,14-5,0.737,L1,6-2,0.750,L1,7-1,0.875,W2,5-3,0.625,L1,2-1,0.667,W1,0-0,0.000,
12,James Madison,MAC,14-6,0.700,L1,7-1,0.875,L1,8-5,0.615,L2,5-1,0.833,W2,1-0,1.000,W1,0-0,0.000,
13,Princeton,Ivy League,14-6,0.700,L1,7-0,1.000,L1,7-2,0.778,L1,6-3,0.667,L1,1-1,0.500,W1,0-0,0.000,
14,Lafayette,Patriot,14-7,0.667,L1,5-1,0.833,W6,7-2,0.778,W2,6-5,0.545,L1,1-0,1.000,W4,0-0,0.000,W4
15,Boston College,ACC,14-7,0.667,L2,6-2,0.750,L1,8-0,1.000,W8,4-4,0.500,W1,2-3,0.400,L2,0-0,0.000,
