rank,institution,conference,past_wins,past_losses,past_ties,past_pct,future_wins,future_losses,future_ties,future_pct,cumulative_wins,cumulative_losses,cumulative_ties,cumulative_pct
1,Rutgers,Big Ten,223,97,0,0.697,0,0,0,0.000,223,97,0,0.697
2,Boston College,ACC,247,132,0,0.652,0,0,0,0.000,247,132,0,0.652
3,Duke,ACC,233,126,0,0.649,0,0,0,0.000,233,126,0,0.649
4,Northwestern,Big Ten,280,153,0,0.647,0,0,0,0.000,280,153,0,0.647
5,Saint Joseph's,Atlantic 10,281,154,0,0.646,0,0,0,0.000,281,154,0,0.646
6,Virginia,ACC,224,128,0,0.636,0,0,0,0.000,224,128,0,0.636
7,Massachusetts,Atlantic 10,262,152,0,0.633,0,0,0,0.000,262,152,0,0.633
8,Syracuse,ACC,225,131,0,0.632,0,0,0,0.000,225,131,0,0.632
9,Penn St.,Big Ten,199,118,0,0.628,0,0,0,0.000,199,118,0,0.628
10,North Carolina,ACC,234,139,0,0.627,0,0,0,0.000,234,139,0,0.627
11,Maryland,Big Ten,223,134,0,0.625,0,0,0,0.000,223,134,0,0.625
12,Princeton,Ivy League,221,133,0,0.624,0,0,0,0.000,221,133,0,0.624
13,Harvard,Ivy League,218,136,0,0.616,0,0,0,0.000,218,136,0,0.616
14,Wake Forest,ACC,195,124,0,0.611,0,0,0,0.000,195,124,0,0.611
15,UConn,Big East,226,147,0,0.606,0,0,0,0.000,226,147,0,0.606
16,Iowa,Big Ten,196,130,0,0.601,0,0,0,0.000,196,130,0,0.601
17,Michigan,Big Ten,212,142,0,0.599,0,0,0,0.000,212,142,0,0.599
18,Penn,Ivy League,170,114,0,0.599,0,0,0,0.000,170,114,0,0.599
19,Louisville,ACC,181,125,0,0.592,0,0,0,0.000,181,125,0,0.592
20,Delaware,CAA,230,164,0,0.584,0,0,0,0.000,230,164,0,0.584
21,California,ACC,170,129,0,0.569,0,0,0,0.000,170,129,0,0.569
22,William & Mary,CAA,173,132,0,0.567,0,0,0,0.000,173,132,0,0.567
23,Liberty,Big East,179,139,0,0.563,0,0,0,0.000,179,139,0,0.563
24,Indiana,Big Ten,181,141,0,0.562,0,0,0,0.000,181,141,0,0.562
25,Boston U.,Patriot,169,134,0,0.558,0,0,0,0.000,169,134,0,0.558
26,Drexel,CAA,188,150,0,0.556,0,0,0,0.000,188,150,0,0.556
27,Ohio St.,Big Ten,181,147,0,0.552,0,0,0,0.000,181,147,0,0.552
