ncaa_id,team,season,jersey,full_name,roster_name,last_name,first_name,yr,pos,feet,inches,gp,gs,goals,fouls,rc,yc,gc,player_ncaa_id,ast,pts,shatt,dsv
23,American,2025,18,Maura Read,Maura Read,Read,Maura,Fr,M,,,3.0,0.0,1.0,,,,,,,2.0,2.0,
23,American,2025,5,Kaleigh Missimer,Kaleigh Missimer,Missimer,Kaleigh,Sr,M,,,2.0,0.0,2.0,,,,,,,4.0,3.0,
23,American,2025,15,Sydney Huddleston,Sydney Huddleston,Huddleston,Sydney,Fr,M,,,3.0,0.0,,,,,,,,0.0,1.0,
23,American,2025,11,Agustina Roffo,Agustina Roffo,Roffo,Agustina,Sr,M,,,18.0,16.0,8.0,,,,1.0,,2.0,18.0,16.0,
23,American,2025,19,Maddy Snyder,Maddy Snyder,Snyder,Maddy,Fr,B,,,17.0,0.0,,,,,1.0,,1.0,1.0,1.0,
23,American,2025,16,Ninthe Botman,Ninthe Botman,Botman,Ninthe,Fr,F,,,18.0,17.0,6.0,,,,,,2.0,14.0,26.0,
23,American,2025,22,Mia Edwards,Mia Edwards,Edwards,Mia,Jr,B,,,18.0,12.0,,,,,,,1.0,1.0,9.0,
23,American,2025,21,Lotti Süme,Lotti Süme,Süme,Lotti,Fr,B,,,18.0,18.0,3.0,,,,1.0,,5.0,11.0,28.0,1.0
23,American,2025,2,Jill DuVarney,Jill DuVarney,DuVarney,Jill,Fr,F,,,12.0,0.0,,,,,,,,0.0,5.0,
23,American,2025,7,Elle Ridge,Elle Ridge,Ridge,Elle,Jr,M,,,18.0,18.0,2.0,,,1.0,,,,4.0,7.0,
23,American,2025,8,Alyssa Freeman,Alyssa Freeman,Freeman,Alyssa,Jr,M,,,18.0,18.0,2.0,,,,1.0,,1.0,5.0,17.0,
23,American,2025,20,Olivia Morraye,Olivia Morraye,Morraye,Olivia,So,B,,,17.0,17.0,1.0,,,,2.0,,5.0,7.0,10.0,
23,American,2025,6,Sarah Steinman,Sarah Steinman,Steinman,Sarah,Jr,B,,,13.0,8.0,2.0,,,1.0,,,2.0,6.0,8.0,
23,American,2025,9,Ashley Huddleston,Ashley Huddleston,Huddleston,Ashley,Jr,M,,,18.0,0.0,,,,,1.0,,,0.0,7.0,
23,American,2025,14,Kendall Varty,Kendall Varty,Varty,Kendall,So,M,,,18.0,0.0,1.0,,,,1.0,,2.0,4.0,5.0,
23,American,2025,17,Emilia Winkler,Emilia Winkler,Winkler,Emilia,Jr,M,,,18.0,18.0,1.0,,,,,,9.0,11.0,15.0,
