rank,institution,conference,past_wins,past_losses,past_ties,past_pct,future_wins,future_losses,future_ties,future_pct,cumulative_wins,cumulative_losses,cumulative_ties,cumulative_pct
1,Princeton,Ivy League,280,103,0,0.731,0,0,0,0.000,280,103,0,0.731
2,North Carolina,ACC,281,125,0,0.692,0,0,0,0.000,281,125,0,0.692
3,Duke,ACC,252,123,0,0.672,0,0,0,0.000,252,123,0,0.672
4,UConn,Big East,248,129,0,0.658,0,0,0,0.000,248,129,0,0.658
5,Northwestern,Big Ten,259,147,0,0.638,0,0,0,0.000,259,147,0,0.638
6,Harvard,Ivy League,224,127,0,0.638,0,0,0,0.000,224,127,0,0.638
7,Syracuse,ACC,225,131,0,0.632,0,0,0,0.000,225,131,0,0.632
8,Boston College,ACC,184,108,0,0.630,0,0,0,0.000,184,108,0,0.630
9,Virginia,ACC,208,127,0,0.621,0,0,0,0.000,208,127,0,0.621
10,Penn,Ivy League,174,107,0,0.619,0,0,0,0.000,174,107,0,0.619
11,Yale,Ivy League,190,120,0,0.613,0,0,0,0.000,190,120,0,0.613
12,Rutgers,Big Ten,194,124,0,0.610,0,0,0,0.000,194,124,0,0.610
13,Miami (OH),MAC,226,148,0,0.604,0,0,0,0.000,226,148,0,0.604
14,Villanova,Big East,196,129,0,0.603,0,0,0,0.000,196,129,0,0.603
15,Iowa,Big Ten,206,138,0,0.599,0,0,0,0.000,206,138,0,0.599
16,Brown,Ivy League,167,112,0,0.599,0,0,0,0.000,167,112,0,0.599
17,Stanford,ACC,180,121,0,0.598,0,0,0,0.000,180,121,0,0.598
18,Louisville,ACC,198,133,0,0.598,0,0,0,0.000,198,133,0,0.598
19,Wake Forest,ACC,211,143,0,0.596,0,0,0,0.000,211,143,0,0.596
20,Michigan,Big Ten,177,125,0,0.586,0,0,0,0.000,177,125,0,0.586
21,California,ACC,162,118,0,0.579,0,0,0,0.000,162,118,0,0.579
22,Columbia,Ivy League,149,111,0,0.573,0,0,0,0.000,149,111,0,0.573
23,Ohio St.,Big Ten,178,135,0,0.569,0,0,0,0.000,178,135,0,0.569
24,Liberty,Big East,205,155,0,0.569,0,0,0,0.000,205,155,0,0.569
25,Dartmouth,Ivy League,154,118,0,0.566,0,0,0,0.000,154,118,0,0.566
26,Old Dominion,Big East,182,140,0,0.565,0,0,0,0.000,182,140,0,0.565
27,Penn St.,Big Ten,171,132,0,0.564,0,0,0,0.000,171,132,0,0.564
28,Maryland,Big Ten,177,139,0,0.560,0,0,0,0.000,177,139,0,0.560
29,William & Mary,CAA,166,134,0,0.553,0,0,0,0.000,166,134,0,0.553
30,Saint Joseph's,Atlantic 10,211,172,0,0.551,0,0,0,0.000,211,172,0,0.551
31,Boston U.,Patriot,177,148,0,0.545,0,0,0,0.000,177,148,0,0.545
32,Indiana,Big Ten,170,143,0,0.543,0,0,0,0.000,170,143,0,0.543
33,James Madison,MAC,189,162,0,0.538,0,0,0,0.000,189,162,0,0.538
34,Massachusetts,MAC,186,163,0,0.533,0,0,0,0.000,186,163,0,0.533
35,New Hampshire,America East,177,157,0,0.530,0,0,0,0.000,177,157,0,0.530
36,Monmouth,CAA,156,139,0,0.529,0,0,0,0.000,156,139,0,0.529
37,Temple,Big East,163,148,0,0.524,0,0,0,0.000,163,148,0,0.524
38,Richmond,Atlantic 10,185,169,0,0.523,0,0,0,0.000,185,169,0,0.523
39,Cornell,Ivy League,131,125,0,0.512,0,0,0,0.000,131,125,0,0.512
40,App State,MAC,180,172,0,0.511,0,0,0,0.000,180,172,0,0.511
41,Lehigh,Patriot,149,144,0,0.509,0,0,0,0.000,149,144,0,0.509
42,Delaware,MPSFMWP,157,152,0,0.508,0,0,0,0.000,157,152,0,0.508
43,Longwood,MAC,154,150,0,0.507,0,0,0,0.000,154,150,0,0.507
44,Northeastern,CAA,157,154,0,0.505,0,0,0,0.000,157,154,0,0.505
45,Michigan St.,Big Ten,159,158,0,0.502,0,0,0,0.000,159,158,0,0.502
46,Towson,CAA,152,158,0,0.490,0,0,0,0.000,152,158,0,0.490
47,Drexel,CAA,176,183,0,0.490,0,0,0,0.000,176,183,0,0.490
