date,team1,indicator,team2,score,location,attendance,extra_periods
09/29/2023,Cornell,@,Princeton,2-3,,318,2
09/30/2023,Drexel,@,Hofstra,2-1,,210,2
09/17/2023,UAlbany,@,Drexel,3-4,,150,2
10/15/2023,Indiana,@,Ball St.,2-3,,102,2
09/01/2023,Penn St.,@,California,2-3,,750,2
09/29/2023,Syracuse,@,Boston College,3-2,,212,2
09/10/2023,Ball St.,@,Lock Haven,2-1,,233,2
09/08/2023,Princeton,@,Delaware,2-1,,233,2
10/27/2023,Drexel,@,Northeastern,3-2,,311,2
09/24/2023,Villanova,@,Fairfield,1-2,,217,2
09/16/2023,Penn,vs.,Indiana,1-2,"Evanston, IL",134,2
11/10/2023,Louisville,@,Iowa,2-1,,509,2
11/05/2023,William & Mary,vs.,Monmouth,3-2,"Newark, DE",431,2
10/15/2023,Dartmouth,@,Sacred Heart,3-2,,208,2
08/25/2023,Stonehill,@,Holy Cross,0-1,,76,2
11/05/2023,Maryland,vs.,Northwestern,0-1,"Ann Arbor, Mich.",0,2
10/29/2023,Providence,@,La Salle,1-2,,189,2
10/27/2023,Wake Forest,@,Syracuse,2-1,,244,2
10/20/2023,La Salle,@,VCU,2-1,,163,2
09/22/2023,Bellarmine,@,Longwood,3-2,,183,2
10/08/2023,Liberty,@,North Carolina,2-1,,508,2
10/07/2023,Bucknell,@,American,1-2,,224,2
10/06/2023,Hofstra,@,William & Mary,1-0,,213,2
09/22/2023,LIU,@,Hofstra,1-2,,217,2
09/23/2023,Holy Cross,@,Bucknell,2-3,,65,2
