rank,institution,conference,accum_attendance,avg_attendance,stadium_capacity,pct_capacity,games
1,Maryland,Big Ten,"7,304",609,"1,400",43.48,12
2,Michigan,Big Ten,"5,633",563,"1,500",37.55,10
3,North Carolina,ACC,"5,175",739,"1,000",73.93,7
4,Saint Joseph's,Atlantic 10,"4,749",365,200,182.65,13
5,Northwestern,Big Ten,"4,392",338,300,112.62,13
6,Princeton,Ivy League,"3,867",430,"2,000",21.48,9
7,Ohio St.,Big Ten,"3,746",375,500,74.92,10
8,Massachusetts,Atlantic 10,"3,706",412,"1,000",41.18,9
9,Penn St.,Big Ten,"3,670",459,750,61.17,8
10,Lock Haven,Atlantic 10,"3,579",325,"3,500",9.30,11
11,Lafayette,Patriot,"3,458",384,"1,000",38.42,9
12,American,Patriot,"3,337",334,500,66.74,10
13,Penn,Ivy League,"2,943",327,"1,000",32.70,9
14,Longwood,MAC,"2,929",293,350,83.69,10
15,Duke,ACC,"2,921",365,"1,000",36.51,8
16,Delaware,CAA,"2,854",357,"2,000",17.84,8
17,Indiana,Big Ten,"2,732",304,500,60.71,9
18,Villanova,Big East,"2,697",270,"1,000",26.97,10
19,Virginia,ACC,"2,662",333,836,39.80,8
20,Richmond,Atlantic 10,"2,618",291,400,72.72,9
21,Yale,Ivy League,"2,559",366,750,48.74,7
22,Louisville,ACC,"2,488",311,0,Inf,8
23,Monmouth,CAA,"2,481",276,500,55.13,9
24,Wake Forest,ACC,"2,413",268,"3,000",8.94,9
25,Iowa,Big Ten,"2,404",240,"1,000",24.04,10
26,Fairfield,NEC,"2,402",240,500,48.04,10
27,New Hampshire,America East,"2,389",239,"2,000",11.95,10
28,Providence,Big East,"2,374",264,"1,000",26.38,9
29,Columbia,Ivy League,"2,358",337,500,67.37,7
30,Liberty,Big East,"2,327",259,750,34.47,9
31,Towson,CAA,"2,288",229,0,Inf,10
32,William & Mary,CAA,"2,254",250,"2,271",11.03,9
33,Rutgers,Big Ten,"2,207",245,0,Inf,9
34,Boston College,ACC,"2,177",272,"1,000",27.21,8
35,Lehigh,Patriot,"2,160",240,"1,000",24.00,9
36,Syracuse,ACC,"2,119",265,"2,700",9.81,8
37,Maine,America East,"2,108",234,500,46.84,9
38,Old Dominion,Big East,"1,969",246,"1,500",16.41,8
39,Boston U.,Patriot,"1,966",246,500,49.15,8
40,Hofstra,CAA,"1,948",216,500,43.29,9
41,VCU,Atlantic 10,"1,915",274,"1,200",22.80,7
42,UConn,Big East,"1,894",172,"2,000",8.61,11
43,Kent St.,MAC,"1,851",264,"2,000",13.22,7
44,Rider,NEC,"1,791",299,"1,000",29.85,6
45,Quinnipiac,Big East,"1,781",178,500,35.62,10
46,Northeastern,CAA,"1,746",218,"3,000",7.27,8
47,Temple,Big East,"1,744",194,500,38.76,9
48,Holy Cross,Patriot,"1,693",154,"1,000",15.39,11
49,UMass Lowell,America East,"1,691",188,"1,000",18.79,9
50,James Madison,MAC,"1,687",130,"1,000",12.98,13
51,Brown,Ivy League,"1,672",186,500,37.16,9
52,Wagner,NEC,"1,654",184,0,Inf,9
53,Vermont,America East,"1,574",197,"2,000",9.84,8
54,Harvard,Ivy League,"1,510",189,900,20.97,8
55,Michigan St.,Big Ten,"1,408",156,"1,500",10.43,9
56,Stanford,ACC,"1,398",233,"1,000",23.30,6
57,UAlbany,America East,"1,395",127,500,25.36,11
58,Dartmouth,Ivy League,"1,355",151,600,25.09,9
59,Cornell,Ivy League,"1,334",222,300,74.11,6
60,Saint Louis,Atlantic 10,"1,271",159,"1,000",15.89,8
61,La Salle,Atlantic 10,"1,232",176,"1,000",17.60,7
62,Bryant,America East,"1,150",96,"1,000",9.58,12
63,App State,MAC,"1,111",159,450,35.27,7
64,Sacred Heart,NEC,"1,100",157,0,Inf,7
64,Davidson,Atlantic 10,"1,100",157,500,31.43,7
66,Drexel,CAA,"1,086",99,"1,000",9.87,11
67,Mercyhurst,NEC,"1,050",210,"2,300",9.13,5
68,California,ACC,"1,040",130,500,26.00,8
69,Bucknell,Patriot,960,120,"1,000",12.00,8
70,Saint Francis,NEC,946,135,"3,500",3.86,7
71,Ball St.,MAC,868,96,"1,100",8.77,9
72,Colgate,Patriot,858,123,"1,000",12.26,7
73,LIU,NEC,773,193,0,Inf,4
73,Bellarmine,MAC,773,129,"1,500",8.59,6
75,Merrimack,NEC,719,144,"3,500",4.11,5
76,Ohio,MAC,683,85,"1,000",8.54,8
77,Stonehill,NEC,661,165,"2,400",6.89,4
78,Queens (NC),DI Independent,610,76,0,Inf,8
79,Georgetown,Big East,447,89,"1,400",6.39,5
80,Central Mich.,MAC,379,63,"1,000",6.32,6
81,UC Davis,America East,325,54,300,18.06,6
82,Miami (OH),MAC,217,36,500,7.23,6
