ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,goals,ast,shatt,sog,fouls,rc,yc,gc,dsv,defensive_goals,defensive_ast,defensive_shatt,defensive_sog,defensive_fouls,defensive_rc,defensive_yc,defensive_gc,defensive_dsv
23,2024-08-30,American,VCU,Away,,0,,,,5.0,4.0,46.0,,,1.0,,1.0,,6.0,3.0,43.0,,,2.0,
23,2024-09-01,American,Louisville,Home,,1,3.0,1.0,1.0,4.0,2.0,,,,,,3.0,2.0,13.0,9.0,,,,2.0,
23,2024-09-06,American,James Madison,Away,,2,,2.0,2.0,10.0,7.0,66.0,,,2.0,,3.0,4.0,12.0,11.0,59.0,,1.0,3.0,
23,2024-09-08,American,Longwood,Home,,4,0.0,4.0,1.0,14.0,8.0,,,1.0,1.0,,,,2.0,1.0,,,,,
23,2024-09-13,American,Lock Haven,Home,,4,1.0,4.0,2.0,14.0,11.0,,,,2.0,,1.0,1.0,1.0,1.0,,,,,
23,2024-09-15,American,Virginia,Home,,2,,2.0,1.0,4.0,2.0,,,,1.0,,3.0,2.0,11.0,8.0,,,1.0,2.0,
23,2024-09-20,American,William & Mary,Home,,2,0.0,2.0,1.0,22.0,14.0,,,1.0,3.0,,,,4.0,4.0,,,,2.0,
23,2024-09-22,American,Delaware,Home,,0,1.0,,,17.0,9.0,,,,,,1.0,1.0,9.0,7.0,,,1.0,3.0,2.0
23,2024-09-27,American,Lafayette,Away,,1,,1.0,1.0,9.0,4.0,23.0,,,1.0,,,,8.0,5.0,27.0,,,,
23,2024-09-29,American,Penn,Away,,1,0.0,1.0,,9.0,5.0,,,2.0,,,,,11.0,5.0,,,,2.0,1.0
23,2024-10-05,American,Colgate,Home,,3,2.0,3.0,,20.0,11.0,,,,,,2.0,2.0,6.0,4.0,,,,2.0,1.0
23,2024-10-11,American,Boston U.,Home,,2,0.0,2.0,1.0,26.0,10.0,,,,1.0,,,,9.0,3.0,,,,2.0,
23,2024-10-14,American,Maryland,Away,,1,4.0,1.0,,7.0,4.0,,,,,3.0,4.0,4.0,23.0,16.0,,,,,
23,2024-10-19,American,Holy Cross,Away,,5,1.0,5.0,4.0,17.0,16.0,,,,,,1.0,1.0,6.0,2.0,,,,2.0,
23,2024-10-20,American,Brown,Away,,1,2.0,1.0,1.0,3.0,2.0,,,,,,2.0,1.0,25.0,14.0,,,,,
23,2024-10-25,American,Lehigh,Home,,3,0.0,3.0,3.0,15.0,9.0,,,1.0,1.0,,,,6.0,2.0,,,1.0,1.0,
23,2024-10-27,American,Hofstra,Home,,2,1.0,2.0,,31.0,20.0,,,,,,1.0,1.0,4.0,3.0,,,,1.0,1.0
23,2024-11-02,American,Bucknell,Away,,2,0.0,2.0,2.0,5.0,4.0,,,1.0,1.0,,,,11.0,6.0,,,1.0,3.0,
23,2024-11-07,American,Boston U.,Home,,1,0.0,1.0,,21.0,6.0,,,,,,,,8.0,4.0,,,,,
23,2024-11-09,American,Lafayette,Home,,1,,1.0,2.0,12.0,8.0,,,,1.0,,2.0,1.0,9.0,5.0,,,,2.0,1.0
27,2024-08-30,App State,Towson,Home,,3,0.0,3.0,3.0,23.0,15.0,,,,,,,,4.0,2.0,,,,1.0,
27,2024-09-01,App State,Georgetown,Home,,3,0.0,3.0,1.0,42.0,24.0,,,,1.0,,,,5.0,4.0,,,,,
27,2024-09-06,App State,Richmond,Away,,1,2.0,1.0,,18.0,9.0,,,,1.0,,2.0,2.0,6.0,3.0,,,,,
27,2024-09-08,App State,VCU,Away,,2,,2.0,,10.0,6.0,46.0,,,2.0,,3.0,3.0,15.0,6.0,41.0,,,,
27,2024-09-13,App State,Wake Forest,Home,,1,4.0,1.0,1.0,3.0,1.0,,,1.0,2.0,,4.0,2.0,15.0,12.0,,,,1.0,
27,2024-09-15,App State,Davidson,Away,,7,2.0,7.0,4.0,21.0,16.0,,,,,,2.0,2.0,14.0,9.0,,,,1.0,
27,2024-09-20,App State,Ohio,Away,,2,0.0,2.0,2.0,20.0,12.0,,,,1.0,,,,8.0,4.0,,,,,
27,2024-09-29,App State,Central Mich.,Home,,2,1.0,2.0,1.0,35.0,20.0,,,,2.0,,1.0,1.0,5.0,3.0,,,,,
27,2024-09-30,App State,Bellarmine,Home,,3,0.0,3.0,2.0,28.0,17.0,,,,1.0,,,,,,,,,,
27,2024-10-04,App State,Kent St.,Away,,1,0.0,1.0,1.0,19.0,10.0,,,,2.0,,,,3.0,2.0,,,1.0,1.0,
27,2024-10-06,App State,Liberty,Away,,0,5.0,,,8.0,2.0,,,,,,5.0,6.0,21.0,15.0,,,,1.0,
27,2024-10-11,App State,Miami (OH),Away,,0,1.0,,,4.0,1.0,,,3.0,2.0,1.0,1.0,,8.0,6.0,,,2.0,3.0,
27,2024-10-13,App State,North Carolina,Home,,0,5.0,,,3.0,1.0,,,,,,5.0,5.0,22.0,16.0,,,,,
27,2024-10-18,App State,Ball St.,Home,,3,1.0,3.0,2.0,15.0,10.0,,,,,,1.0,,3.0,2.0,,,1.0,,
27,2024-10-25,App State,Longwood,Home,,2,0.0,2.0,3.0,18.0,6.0,,,,3.0,,,,,,,,,,
27,2024-10-27,App State,Old Dominion,Away,,1,2.0,1.0,1.0,5.0,3.0,,,,1.0,,2.0,3.0,15.0,12.0,,,,,
27,2024-11-01,App State,Queens (NC),Home,,5,0.0,5.0,4.0,30.0,21.0,,,,1.0,,,,1.0,1.0,,,,,
27,2024-11-03,App State,James Madison,Away,,4,3.0,4.0,3.0,17.0,7.0,49.0,,1.0,2.0,,3.0,3.0,7.0,4.0,51.0,,,1.0,
27,2024-11-07,App State,Miami (OH),Home,,2,,2.0,3.0,13.0,8.0,,,,1.0,,3.0,2.0,14.0,8.0,,,1.0,3.0,1.0
47,2024-08-30,Ball St.,Saint Francis,Home,,2,,2.0,1.0,24.0,23.0,,,2.0,2.0,,3.0,1.0,12.0,9.0,,,,,1.0
47,2024-09-01,Ball St.,Stanford,Home,,0,5.0,,,2.0,1.0,,,,,1.0,5.0,4.0,19.0,14.0,,,,1.0,
47,2024-09-11,Ball St.,Saint Louis,Away,,3,,3.0,3.0,14.0,11.0,,,,,,2.0,2.0,13.0,11.0,,,,1.0,
47,2024-09-13,Ball St.,Indiana,Away,,0,2.0,,,3.0,1.0,,,,1.0,,2.0,,24.0,15.0,,,,1.0,
47,2024-09-20,Ball St.,Kent St.,Away,,0,1.0,,,6.0,1.0,,,,,,1.0,1.0,18.0,10.0,,,,1.0,
47,2024-09-22,Ball St.,Louisville,Home,,2,4.0,2.0,3.0,6.0,5.0,,,,,,4.0,5.0,17.0,13.0,,,,2.0,
47,2024-09-27,Ball St.,Miami (OH),Home,,0,3.0,,,2.0,1.0,,,,1.0,2.0,3.0,3.0,20.0,15.0,,,,1.0,
47,2024-09-29,Ball St.,Michigan St.,Home,,1,,1.0,2.0,4.0,2.0,,,,,1.0,2.0,1.0,24.0,15.0,,,,1.0,
47,2024-10-04,Ball St.,Longwood,Home,,3,1.0,3.0,1.0,20.0,11.0,,,,,,1.0,2.0,8.0,7.0,,,,,
47,2024-10-11,Ball St.,Central Mich.,Away,,3,1.0,3.0,2.0,15.0,7.0,37.0,,,1.0,,1.0,1.0,15.0,6.0,50.0,,,,
47,2024-10-13,Ball St.,Michigan,Away,,0,4.0,,,1.0,,,,,1.0,,4.0,4.0,43.0,26.0,,,,,
47,2024-10-18,Ball St.,App State,Away,,1,3.0,1.0,,3.0,2.0,,,1.0,,,3.0,2.0,15.0,10.0,,,,,
47,2024-10-20,Ball St.,Queens (NC),Away,,2,,2.0,2.0,22.0,14.0,26.0,,1.0,2.0,,3.0,3.0,6.0,6.0,28.0,,,1.0,
47,2024-10-22,Ball St.,UC Davis,Home,,1,3.0,1.0,2.0,7.0,7.0,,,,2.0,,3.0,4.0,17.0,11.0,,,,,
47,2024-10-25,Ball St.,Ohio,Home,,2,,2.0,1.0,8.0,6.0,,,,,,1.0,,9.0,3.0,,,,,
47,2024-10-27,Ball St.,James Madison,Home,,0,4.0,,,6.0,2.0,,,,,,4.0,2.0,26.0,20.0,,,,,
47,2024-11-01,Ball St.,Bellarmine,Away,,2,1.0,2.0,1.0,8.0,4.0,,,,,,1.0,,12.0,3.0,,,,3.0,
47,2024-11-06,Ball St.,Kent St.,Home,,0,,,,5.0,1.0,,,,1.0,1.0,1.0,1.0,25.0,13.0,,,,2.0,
52,2024-08-31,Bellarmine,Central Mich.,Home,,1,,1.0,1.0,5.0,4.0,,,,,,2.0,1.0,17.0,14.0,,,,1.0,
52,2024-09-01,Bellarmine,Saint Louis,Away,,2,,2.0,2.0,12.0,7.0,,,,1.0,1.0,1.0,1.0,11.0,6.0,,,,3.0,
52,2024-09-06,Bellarmine,Rider,Away,,2,,2.0,1.0,10.0,6.0,46.0,,,2.0,,1.0,,19.0,10.0,64.0,,,,1.0
