date,team1,indicator,team2,score,location,attendance
09/20/2024,Syracuse,@,North Carolina,0-5,,"1,628"
11/24/2024,Saint Joseph's,vs.,Northwestern,0-5,"Ann Arbor, MI","1,500"
11/22/2024,Saint Joseph's,vs.,North Carolina,2-1,"Ann Arbor, MI","1,261"
11/22/2024,Massachusetts,vs.,Northwestern,0-1,"Ann Arbor, MI","1,261"
09/06/2024,Davidson,@,Longwood,1-2,,"1,073"
09/01/2024,Old Dominion,@,Hofstra,3-0,,"1,043"
11/17/2024,Duke,@,North Carolina,0-3,,"1,029"
08/30/2024,North Carolina,@,Michigan,4-1,,"1,019"
11/10/2024,Michigan,vs.,Northwestern,1-0,"College Park, MD",949
11/01/2024,North Carolina,@,Duke,5-2,,844
10/25/2024,Virginia,@,North Carolina,0-4,,831
09/13/2024,Duke,@,Old Dominion,2-0,,809
11/08/2024,Michigan,@,Maryland,4-3,,763
11/08/2024,Rutgers,vs.,Northwestern,0-2,"College Park, MD",763
09/27/2024,Northwestern,@,Maryland,1-0,,758
10/20/2024,Michigan,@,Maryland,0-2,,758
09/15/2024,Boston College,@,Providence,3-1,,757
09/29/2024,Northwestern,@,Princeton,3-2,,750
10/19/2024,Princeton,@,Harvard,2-1,,734
10/18/2024,Ohio St.,@,Maryland,2-1,,724
09/13/2024,Virginia,@,Maryland,1-0,,720
09/01/2024,Syracuse,@,Penn St.,2-1,,705
09/27/2024,American,@,Lafayette,1-0,,683
09/06/2024,Columbia,@,Massachusetts,1-4,,682
11/07/2024,Iowa,@,Maryland,0-1,,676
11/07/2024,Indiana,vs.,Michigan,1-2,"College Park, MD",676
09/08/2024,Penn St.,@,Delaware,5-4,,669
10/06/2024,Ohio St.,@,Michigan,0-1,,627
09/15/2024,UMass Lowell,@,Massachusetts,3-4,,625
11/17/2024,Princeton,@,Saint Joseph's,0-1,,624
11/09/2024,Lafayette,@,American,2-1,,623
10/27/2024,Indiana,@,Michigan,2-1,,618
09/01/2024,Wake Forest,@,Michigan,1-2,,617
08/30/2024,Louisville,@,Maryland,1-2,,609
09/15/2024,Lock Haven,@,Maryland,1-8,,609
08/30/2024,Syracuse,@,Lock Haven,9-0,,603
10/11/2024,North Carolina,@,Louisville,2-1,,583
11/03/2024,Towson,@,Lock Haven,1-0,,573
10/19/2024,Cornell,@,Penn,3-2,,564
09/13/2024,Ohio,@,Michigan,0-6,,560
11/17/2024,Virginia,@,Northwestern,2-3,,560
09/01/2024,Drexel,@,Maryland,0-2,,558
09/20/2024,Iowa,@,Northwestern,0-5,,553
09/29/2024,Miami (OH),@,Michigan,2-3,,549
