ncaa_id,team,season,jersey,full_name,roster_name,last_name,first_name,yr,pos,feet,inches,gp,gs,goals,fouls,rc,yc,gc,player_ncaa_id,ast,shatt
23,American,2019,19,Atina Pagani,Atina Pagani,Pagani,Atina,So,F,,,19.0,19.0,3.0,,,1.0,4.0,,1.0,21.0
23,American,2019,2,Lauren Fredricks,Lauren Fredricks,Fredricks,Lauren,Jr,M,,,16.0,12.0,,,,,3.0,,6.0,7.0
23,American,2019,16,Ella Arata,Ella Arata,Arata,Ella,Jr,M,,,14.0,,1.0,,,,,,1.0,2.0
23,American,2019,12,Jette Dieckmann,Jette Dieckmann,Dieckmann,Jette,Sr,F,,,19.0,19.0,3.0,,,,1.0,,2.0,20.0
23,American,2019,20,Noor Coenen,Noor Coenen,Coenen,Noor,Jr,M,,,19.0,19.0,18.0,,,2.0,8.0,,8.0,91.0
23,American,2019,22,Maura Phelan,Maura Phelan,Phelan,Maura,So,M,,,19.0,19.0,,,,,,,,4.0
23,American,2019,21,Aidan Rossman,Aidan Rossman,Rossman,Aidan,So,F,,,19.0,18.0,4.0,,,,4.0,,1.0,16.0
23,American,2019,7,Georgia Davies,Georgia Davies,Davies,Georgia,So,M,,,19.0,19.0,2.0,,,,,,3.0,10.0
23,American,2019,6,Hannah Moser,Hannah Moser,Moser,Hannah,So,F,,,19.0,4.0,7.0,,,,,,1.0,24.0
23,American,2019,17,Josie Formica,Josie Formica,Formica,Josie,So,M,,,19.0,19.0,4.0,,,,,,1.0,10.0
23,American,2019,4,Charllene Boshoff,Charllene Boshoff,Boshoff,Charllene,Fr,B,,,19.0,19.0,1.0,,,,,,3.0,15.0
23,American,2019,18,Megan Hoffman,Megan Hoffman,Hoffman,Megan,Fr,F,,,17.0,4.0,2.0,,,,1.0,,,8.0
23,American,2019,26,Abby Kreider,Abby Kreider,Kreider,Abby,Fr,B,,,18.0,,1.0,,,1.0,,,1.0,3.0
23,American,2019,11,Gaby De Kock,Gaby De Kock,Kock,Gaby,Jr,F,,,19.0,19.0,3.0,,,,,,4.0,11.0
23,American,2019,15,Hailee Arrington,Hailee Arrington,Arrington,Hailee,Fr,F,,,7.0,,,,,,,,1.0,2.0
23,American,2019,8,Ashlyn Campagna,Ashlyn Campagna,Campagna,Ashlyn,Fr,M,,,14.0,,,,,,1.0,,,1.0
23,American,2019,9,Merel Dupont,Merel Dupont,Dupont,Merel,Fr,M,,,7.0,,,,,,,,1.0,
23,American,2019,3,Julia Kraft,Julia Kraft,Kraft,Julia,Fr,F,,,11.0,,1.0,,,1.0,,,,1.0
27,App State,2019,2,Sarah Farrell,Sarah Farrell,Farrell,Sarah,Fr,F,,,20.0,3.0,1.0,,,,1.0,,1.0,7.0
27,App State,2019,13,Meghan Smart,Meghan Smart,Smart,Meghan,Jr,M,,,20.0,18.0,7.0,,,1.0,1.0,,2.0,44.0
27,App State,2019,24,Veerle van Heertum,Veerle van Heertum,Heertum,Veerle,Jr,M,,,20.0,19.0,7.0,,,1.0,,,4.0,47.0
27,App State,2019,34,Chloe Bell,Chloe Bell,Bell,Chloe,Jr,F,,,20.0,6.0,2.0,,,,,,2.0,7.0
27,App State,2019,26,Melissa Nobile,Melissa Nobile,Nobile,Melissa,Sr,F,,,16.0,1.0,,,,,,,1.0,1.0
27,App State,2019,14,Ali Williams,Ali Williams,Williams,Ali,Sr,M,,,19.0,10.0,2.0,,,1.0,,,,6.0
27,App State,2019,18,Lydia Bullock,Lydia Bullock,Bullock,Lydia,Sr,B,,,7.0,1.0,,,,,,,,1.0
27,App State,2019,6,Kaley Selner,Kaley Selner,Selner,Kaley,Sr,M,,,20.0,2.0,,,,,1.0,,1.0,4.0
27,App State,2019,1,Michelle Taylor,Michelle Taylor,Taylor,Michelle,Sr,M,,,20.0,9.0,1.0,,,1.0,2.0,,1.0,9.0
27,App State,2019,22,Annette Jarosz,Annette Jarosz,Jarosz,Annette,Jr,M,,,20.0,19.0,,,,,,,1.0,2.0
