ncaa_id,team,season,jersey,full_name,roster_name,last_name,first_name,yr,pos,feet,inches,gp,gs,goals,fouls,rc,yc,gc,player_ncaa_id,ast,pts,shatt,dsv
23,American,2026,6,Sarah Steinman,Sarah Steinman,Steinman,Sarah,Sr,B,,,2.0,1.0,,,,,,,,0.0,4.0,1.0
23,American,2026,20,Olivia Morraye,Olivia Morraye,Morraye,Olivia,Jr,B,,,2.0,2.0,1.0,,,,,,,2.0,3.0,
23,American,2026,4,Sophie Willemse,Sophie Willemse,Willemse,Sophie,Sr,B,,,2.0,2.0,,,,,,,,0.0,1.0,
23,American,2026,2,Jill DuVarney,Jill DuVarney,DuVarney,Jill,So,F,,,2.0,2.0,,,,,,,,0.0,2.0,
23,American,2026,17,Emilia Winkler,Emilia Winkler,Winkler,Emilia,Sr,M,,,2.0,2.0,,,,,,,,0.0,2.0,
23,American,2026,18,Maura Read,Maura Read,Read,Maura,So,M,,,2.0,0.0,,,,,,,,0.0,1.0,
23,American,2026,1,Jordan Reicher,Jordan Reicher,Reicher,Jordan,Sr,F,,,2.0,2.0,1.0,,,,,,,2.0,1.0,
23,American,2026,22,Katelyn Dulin,Katelyn Dulin,Dulin,Katelyn,Sr,M,,,2.0,2.0,1.0,,,,,,,2.0,1.0,
23,American,2026,27,Sam Kockx,Sam Kockx,Kockx,Sam,Fr,F,,,2.0,2.0,,,,,,,,0.0,1.0,
23,American,2026,5,Kaleigh Missimer,Kaleigh Missimer,Missimer,Kaleigh,Sr,M,,,2.0,1.0,1.0,,,,,,,2.0,2.0,
23,American,2026,11,Nora Tromble,Nora Tromble,Tromble,Nora,Fr,M,,,2.0,2.0,,,,,,,,0.0,1.0,
27,App State,2026,34,Calista Schwartz,Calista Schwartz,Schwartz,Calista,Sr,B,,,2.0,2.0,,,,,,,,0.0,5.0,
27,App State,2026,16,Kassie Paul,Kassie Paul,Paul,Kassie,Sr,M,,,2.0,1.0,,,,,,,1.0,1.0,3.0,
27,App State,2026,4,Baylie Phillips,Baylie Phillips,Phillips,Baylie,Jr,M,,,2.0,2.0,1.0,,,,,,,2.0,3.0,
27,App State,2026,24,Sophia Baxter,Sophia Baxter,Baxter,Sophia,Sr,M,,,2.0,2.0,,,,,,,,0.0,6.0,
27,App State,2026,12,Carlotta Fabian,Carlotta Fabian,Fabian,Carlotta,So,F,,,2.0,0.0,,,,,,,,0.0,1.0,
27,App State,2026,33,Morgan Hook,Morgan Hook,Hook,Morgan,Fr,M,,,2.0,2.0,,,,,,,,0.0,2.0,
27,App State,2026,13,Chloe Hook,Chloe Hook,Hook,Chloe,Fr,M,,,2.0,0.0,1.0,,,,,,,2.0,3.0,
