ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,goals,ast,shatt,sog,fouls,rc,yc,gc,dsv,defensive_goals,defensive_ast,defensive_shatt,defensive_sog,defensive_fouls,defensive_rc,defensive_yc,defensive_gc,defensive_dsv
23,2026-08-28,American,California,Away,,3,,3.0,2.0,11,7.0,,,,,,4.0,5.0,11.0,7.0,,,,3.0,
23,2026-08-30,American,Stanford,Away,,1,3.0,1.0,,8,6.0,,,,,1.0,3.0,1.0,12.0,8.0,,,,2.0,
27,2026-08-28,App State,Towson,Home,,1,,1.0,1.0,11,4.0,,,,,,,,7.0,4.0,,,,,
27,2026-08-30,App State,Georgetown,Home,,2,,2.0,,19,14.0,,,,1.0,,1.0,1.0,10.0,6.0,,,,2.0,
27,2026-09-02,App State,Davidson,Away,,2,0.0,2.0,2.0,5,3.0,,,1.0,1.0,,,,10.0,6.0,,,,2.0,
47,2026-08-28,Ball St.,Bucknell,Away,,0,1.0,,,9,7.0,,,,1.0,,1.0,1.0,13.0,8.0,,,,,
47,2026-08-29,Ball St.,Sacred Heart,Home,,3,2.0,3.0,2.0,9,5.0,,,,,,2.0,2.0,15.0,11.0,,,,,1.0
52,2026-08-29,Bellarmine,Old Dominion,Home,,0,7.0,,,7,3.0,,,,,,7.0,4.0,24.0,14.0,,,,1.0,
52,2026-08-30,Bellarmine,Ohio St.,Away,,0,2.0,,,9,4.0,,,,1.0,1.0,2.0,2.0,22.0,13.0,,,,,
67,2026-08-28,Boston College,Providence,Home,,3,1.0,3.0,2.0,8,6.0,,,1.0,2.0,,1.0,,5.0,3.0,,,,3.0,
67,2026-08-30,Boston College,UAlbany,Away,,3,4.0,3.0,3.0,19,10.0,,,,2.0,,4.0,3.0,8.0,7.0,,,,,3.0
68,2026-08-28,Boston U.,Merrimack,Home,,7,2.0,7.0,4.0,30,21.0,,,,,,2.0,2.0,3.0,2.0,,,,,
68,2026-08-30,Boston U.,Providence,Away,,2,3.0,2.0,2.0,7,5.0,,,1.0,1.0,2.0,3.0,1.0,19.0,15.0,,,,2.0,
81,2026-08-28,Bryant,Quinnipiac,Away,,1,2.0,1.0,,6,4.0,35.0,,,,,2.0,2.0,8.0,4.0,35.0,,,,
81,2026-08-30,Bryant,Hofstra,Away,,2,1.0,2.0,2.0,15,9.0,30.0,,,,,1.0,,14.0,7.0,34.0,,,1.0,
83,2026-08-28,Bucknell,Ball St.,Home,,1,0.0,1.0,1.0,13,8.0,,,,,,,,9.0,7.0,,,,1.0,
83,2026-08-30,Bucknell,Sacred Heart,Home,,2,1.0,2.0,3.0,21,4.0,,,,1.0,,1.0,1.0,5.0,3.0,,,,,
107,2026-08-28,California,American,Home,,4,,4.0,5.0,11,7.0,,,,3.0,,3.0,2.0,11.0,7.0,,,,,
107,2026-08-30,California,Central Mich.,Home,,4,2.0,4.0,4.0,26,12.0,,,1.0,,,2.0,1.0,7.0,5.0,,,,1.0,
129,2026-08-28,Central Mich.,UC Davis,Away,,1,,1.0,1.0,7,5.0,,,,,1.0,2.0,,7.0,5.0,,,,,1.0
129,2026-08-30,Central Mich.,California,Away,,2,4.0,2.0,1.0,7,5.0,,,,1.0,,4.0,4.0,26.0,12.0,,,1.0,,
129,2026-08-31,Central Mich.,Stanford,Away,,1,2.0,1.0,1.0,10,8.0,,,,1.0,,2.0,1.0,19.0,9.0,,,,1.0,
153,2026-08-28,Colgate,New Haven,Home,,5,0.0,5.0,6.0,32,18.0,37.0,,,1.0,,,,3.0,1.0,26.0,,,1.0,1.0
153,2026-08-30,Colgate,Rider,Home,,4,1.0,4.0,3.0,23,18.0,37.0,,2.0,,,1.0,2.0,7.0,6.0,37.0,,1.0,3.0,
173,2026-08-28,Davidson,Georgetown,Home,,1,2.0,1.0,,13,2.0,,,1.0,1.0,,2.0,4.0,5.0,3.0,,,1.0,,
173,2026-08-30,Davidson,Towson,Home,,4,0.0,4.0,2.0,12,7.0,,,,1.0,,,,10.0,4.0,,,,1.0,
173,2026-09-02,Davidson,App State,Home,,0,2.0,,,10,6.0,,,,2.0,,2.0,2.0,5.0,3.0,,,1.0,1.0,
180,2026-08-28,Delaware,Villanova,Home,,1,2.0,1.0,1.0,17,10.0,,,,1.0,,2.0,2.0,7.0,3.0,,,,1.0,
180,2026-08-30,Delaware,Monmouth,Away,,2,1.0,2.0,,10,5.0,37.0,,,1.0,1.0,1.0,1.0,6.0,3.0,43.0,,1.0,1.0,
191,2026-08-28,Drexel,Maryland,Away,,0,3.0,,,5,1.0,,,,,1.0,3.0,1.0,28.0,14.0,,,,,
191,2026-08-30,Drexel,James Madison,Away,,1,0.0,1.0,1.0,17,9.0,,,,1.0,,,,8.0,6.0,,,,1.0,
193,2026-08-28,Duke,William & Mary,Home,,7,0.0,7.0,4.0,37,26.0,,,,,,,,3.0,1.0,,,,,
193,2026-08-30,Duke,Richmond,Away,,1,0.0,1.0,2.0,13,7.0,,,,,,,,7.0,1.0,,,1.0,1.0,
220,2026-08-28,Fairfield,Syracuse,Home,,1,2.0,1.0,,7,4.0,16.0,,,,,2.0,1.0,9.0,7.0,20.0,,,2.0,
220,2026-08-30,Fairfield,Holy Cross,Home,,4,0.0,4.0,3.0,18,11.0,22.0,,,,1.0,,,6.0,3.0,17.0,,,,
251,2026-08-28,Georgetown,Davidson,Away,,2,1.0,2.0,4.0,5,3.0,,,1.0,,,1.0,,13.0,2.0,,,1.0,1.0,
251,2026-08-30,Georgetown,App State,Away,,1,,1.0,1.0,10,6.0,,,,2.0,,2.0,,19.0,14.0,,,,1.0,
283,2026-08-28,Hofstra,Rider,Home,,2,1.0,2.0,4.0,16,8.0,27.0,,,2.0,,1.0,1.0,5.0,2.0,31.0,,,1.0,1.0
283,2026-08-30,Hofstra,Bryant,Home,,1,2.0,1.0,,14,7.0,34.0,,,1.0,,2.0,2.0,15.0,9.0,30.0,,,,
285,2026-08-28,Holy Cross,Stonehill,Home,,2,,2.0,1.0,34,21.0,,,,,,1.0,1.0,2.0,1.0,,,1.0,,
285,2026-08-30,Holy Cross,Fairfield,Away,,0,4.0,,,6,3.0,17.0,,,,,4.0,3.0,18.0,11.0,22.0,,,,1.0
306,2026-08-29,Indiana,Miami (OH),Home,,1,2.0,1.0,1.0,10,5.0,,,,,,2.0,2.0,15.0,10.0,,,,,
306,2026-08-30,Indiana,Louisville,Away,,1,2.0,1.0,1.0,27,15.0,,,,,,2.0,1.0,14.0,8.0,,,,1.0,
312,2026-08-28,Iowa,Wake Forest,Away,,4,3.0,4.0,2.0,13,12.0,,,,,,3.0,1.0,7.0,5.0,,,,,
312,2026-08-30,Iowa,North Carolina,Home,,3,2.0,3.0,3.0,10,8.0,,,,,1.0,2.0,1.0,25.0,12.0,,,,,1.0
317,2026-08-28,James Madison,Temple,Home,,1,2.0,1.0,,13,5.0,,,,,,2.0,1.0,9.0,5.0,,,1.0,,
317,2026-08-30,James Madison,Drexel,Home,,0,1.0,,,8,6.0,,,,1.0,,1.0,1.0,17.0,9.0,,,,1.0,
331,2026-08-28,Kent St.,Lafayette,Home,,1,2.0,1.0,,11,7.0,,,,,1.0,2.0,2.0,13.0,7.0,,,,2.0,
331,2026-08-30,Kent St.,VCU,Home,,0,,,,16,6.0,,,,1.0,,1.0,1.0,11.0,4.0,,,,1.0,1.0
361,2026-08-28,LIU,Lehigh,Home,,0,2.0,,,7,2.0,34.0,,,1.0,,2.0,1.0,18.0,9.0,18.0,,,2.0,
340,2026-08-30,La Salle,Villanova,Home,,0,7.0,,,6,6.0,23.0,,,2.0,1.0,7.0,10.0,30.0,17.0,23.0,,,1.0,
342,2026-08-28,Lafayette,Kent St.,Home,,2,1.0,2.0,2.0,13,7.0,,,,2.0,,1.0,,11.0,7.0,,,,,1.0
342,2026-08-30,Lafayette,Northwestern,Away,,0,1.0,,,2,,,,,2.0,1.0,1.0,1.0,20.0,11.0,,,1.0,1.0,
352,2026-08-28,Lehigh,LIU,Home,,2,0.0,2.0,1.0,18,9.0,18.0,,,2.0,,,,7.0,2.0,34.0,,,1.0,
355,2026-08-28,Liberty,Maine,Away,,5,0.0,5.0,3.0,29,23.0,22.0,,,,1.0,,,2.0,2.0,11.0,,,,
355,2026-08-29,Liberty,Massachusetts,Home,,2,3.0,2.0,1.0,6,4.0,16.0,,,1.0,1.0,3.0,2.0,10.0,6.0,20.0,,,,
360,2026-08-28,Lock Haven,Mercyhurst,Home,,5,2.0,5.0,4.0,26,17.0,27.0,,,2.0,,2.0,2.0,5.0,5.0,21.0,,,1.0,
360,2026-08-30,Lock Haven,Penn St.,Away,,0,8.0,,,6,3.0,,,1.0,1.0,,8.0,9.0,32.0,22.0,,,,1.0,
363,2026-08-30,Longwood,Queens (NC),Home,,1,3.0,1.0,1.0,19,12.0,24.0,,1.0,1.0,,3.0,3.0,21.0,14.0,27.0,,,2.0,2.0
367,2026-08-28,Louisville,Miami (OH),Home,,2,1.0,1.0,1.0,5,1.0,,,,1.0,,1.0,,11.0,9.0,,,,1.0,
367,2026-08-30,Louisville,Indiana,Home,,2,1.0,2.0,1.0,14,8.0,,,,1.0,,1.0,1.0,27.0,15.0,,,,,
380,2026-08-28,Maine,Liberty,Home,,0,5.0,,,2,2.0,11.0,,,,,5.0,3.0,29.0,23.0,22.0,,,,1.0
