ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,goals,ast,shatt,sog,fouls,rc,yc,gc,dsv,defensive_goals,defensive_ast,defensive_shatt,defensive_sog,defensive_fouls,defensive_rc,defensive_yc,defensive_gc,defensive_dsv
380,2026-08-30,Maine,Massachusetts,Home,,0,7.0,,,6,3.0,17.0,,,,,7.0,7.0,22.0,18.0,24.0,,,,
392,2026-08-28,Maryland,Drexel,Home,,3,0.0,3.0,1.0,28,14.0,,,,,,,,5.0,1.0,,,,,1.0
392,2026-08-30,Maryland,Temple,Home,,3,1.0,3.0,5.0,18,8.0,,,1.0,2.0,,1.0,,6.0,2.0,,,,1.0,
400,2026-08-29,Massachusetts,Liberty,Home,,3,2.0,3.0,2.0,10,6.0,20.0,,,,,2.0,1.0,6.0,4.0,16.0,,,1.0,1.0
400,2026-08-30,Massachusetts,Maine,Away,,7,0.0,7.0,7.0,22,18.0,24.0,,,,,,,6.0,3.0,17.0,,,,
408,2026-08-28,Mercyhurst,Lock Haven,Away,,2,5.0,2.0,2.0,5,5.0,21.0,,,1.0,,5.0,4.0,26.0,17.0,27.0,,,2.0,
410,2026-08-28,Merrimack,Boston U.,Away,,2,7.0,2.0,2.0,3,2.0,,,,,,7.0,4.0,30.0,21.0,,,,,
414,2026-08-28,Miami (OH),Louisville,Away,,1,2.0,1.0,,11,9.0,,,,1.0,,1.0,1.0,5.0,1.0,,,,1.0,
414,2026-08-29,Miami (OH),Indiana,Home,,2,1.0,2.0,2.0,15,10.0,,,,,,1.0,1.0,10.0,5.0,,,,,
418,2026-08-28,Michigan,North Carolina,Home,,2,,2.0,,13,10.0,,,,2.0,,1.0,1.0,8.0,1.0,,,,1.0,
418,2026-08-30,Michigan,Wake Forest,Away,,0,2.0,,,5,4.0,,,,2.0,,2.0,3.0,10.0,4.0,,,,1.0,1.0
416,2026-08-28,Michigan St.,Ohio,Away,,3,1.0,3.0,1.0,20,14.0,,,,,,1.0,1.0,7.0,4.0,,,,,
416,2026-08-29,Michigan St.,Saint Louis,Home,,3,0.0,3.0,1.0,16,8.0,,,,1.0,,,,6.0,3.0,,,,,
439,2026-08-28,Monmouth,Rutgers,Home,,5,1.0,5.0,7.0,20,12.0,34.0,,,1.0,1.0,1.0,1.0,8.0,5.0,32.0,,,1.0,2.0
439,2026-08-30,Monmouth,Delaware,Home,,1,2.0,1.0,1.0,6,3.0,43.0,,1.0,1.0,,2.0,,10.0,5.0,37.0,,,1.0,1.0
469,2026-08-28,New Hampshire,Saint Joseph's,Away,,1,2.0,1.0,,4,3.0,,,,,,2.0,2.0,18.0,14.0,,,,1.0,
469,2026-08-29,New Hampshire,UConn,Home,,0,5.0,,,1,,,,,,1.0,5.0,5.0,26.0,20.0,,,1.0,1.0,
470,2026-08-28,New Haven,Colgate,Away,,0,5.0,,,3,1.0,26.0,,,1.0,1.0,5.0,6.0,32.0,18.0,37.0,,,1.0,
470,2026-08-30,New Haven,St. Thomas Aquinas,Home,,4,0.0,4.0,4.0,36,16.0,42.0,,,1.0,,,,,,29.0,,,,
457,2026-08-28,North Carolina,Michigan,Home,,1,,1.0,1.0,8,1.0,,,,1.0,,2.0,,13.0,10.0,,,,2.0,
457,2026-08-30,North Carolina,Iowa,Home,,2,3.0,2.0,1.0,25,12.0,,,,,1.0,3.0,3.0,10.0,8.0,,,,,1.0
500,2026-08-28,Northeastern,Vermont,Away,,2,5.0,2.0,1.0,9,6.0,,,1.0,,,5.0,5.0,11.0,10.0,,,,4.0,
500,2026-08-30,Northeastern,Syracuse,Home,,2,3.0,2.0,1.0,13,8.0,32.0,,,3.0,,3.0,3.0,20.0,11.0,40.0,,,1.0,
509,2026-08-28,Northwestern,VCU,Home,,2,0.0,2.0,1.0,8,5.0,,,,,,,,4.0,2.0,,,,,
509,2026-08-30,Northwestern,Lafayette,Home,,1,0.0,1.0,1.0,20,11.0,,,1.0,1.0,,,,2.0,,,,,2.0,1.0
519,2026-08-28,Ohio,Michigan St.,Home,,1,3.0,1.0,1.0,7,4.0,,,,,,3.0,1.0,20.0,14.0,,,,,
519,2026-08-30,Ohio,Saint Louis,Home,,2,1.0,2.0,2.0,18,7.0,,,,1.0,,1.0,1.0,18.0,7.0,,,,1.0,
518,2026-08-28,Ohio St.,Old Dominion,Home,,2,3.0,2.0,1.0,15,7.0,,,,,,3.0,5.0,7.0,4.0,,,,,
518,2026-08-30,Ohio St.,Bellarmine,Home,,2,0.0,2.0,2.0,22,13.0,,,,,,,,9.0,4.0,,,,1.0,1.0
523,2026-08-28,Old Dominion,Ohio St.,Away,,3,2.0,3.0,5.0,7,4.0,,,,,,2.0,1.0,15.0,7.0,,,,,
523,2026-08-29,Old Dominion,Bellarmine,Home,,7,0.0,7.0,4.0,24,14.0,,,,1.0,,,,7.0,3.0,,,,,
539,2026-08-28,Penn St.,Virginia,Home,,3,,3.0,2.0,12,6.0,,,,,,4.0,4.0,9.0,7.0,,,,,
539,2026-08-30,Penn St.,Lock Haven,Home,,8,0.0,8.0,9.0,32,22.0,,,,1.0,,,,6.0,3.0,,,1.0,1.0,
556,2026-08-28,Providence,Boston College,Away,,1,3.0,1.0,,5,3.0,,,,3.0,,3.0,2.0,8.0,6.0,,,1.0,2.0,
556,2026-08-30,Providence,Boston U.,Home,,3,2.0,3.0,1.0,19,15.0,,,,2.0,,2.0,2.0,7.0,5.0,,,1.0,1.0,2.0
11504,2026-08-28,Queens (NC),Richmond,Away,,0,12.0,,,1,,,,,,,12.0,12.0,35.0,26.0,,,,1.0,
11504,2026-08-30,Queens (NC),Longwood,Away,,3,1.0,3.0,3.0,21,14.0,27.0,,,2.0,2.0,1.0,1.0,19.0,12.0,24.0,,1.0,1.0,
562,2026-08-28,Quinnipiac,Bryant,Home,,2,1.0,2.0,2.0,8,4.0,35.0,,,,,1.0,,6.0,4.0,35.0,,,,
562,2026-08-30,Quinnipiac,Vermont,Home,,0,3.0,,,4,1.0,39.0,,,,,3.0,3.0,13.0,10.0,55.0,,,1.0,
575,2026-08-28,Richmond,Queens (NC),Home,,12,0.0,12.0,12.0,35,26.0,,,,1.0,,,,1.0,,,,,,
575,2026-08-30,Richmond,Duke,Home,,0,1.0,,,7,1.0,,,1.0,1.0,,1.0,2.0,13.0,7.0,,,,,
576,2026-08-28,Rider,Hofstra,Away,,1,2.0,1.0,1.0,5,2.0,31.0,,,1.0,1.0,2.0,4.0,16.0,8.0,27.0,,,2.0,
576,2026-08-30,Rider,Colgate,Away,,1,4.0,1.0,2.0,7,6.0,37.0,,1.0,3.0,,4.0,3.0,23.0,18.0,37.0,,2.0,,
587,2026-08-28,Rutgers,Monmouth,Away,,1,5.0,1.0,1.0,8,5.0,32.0,,,1.0,2.0,5.0,7.0,20.0,12.0,34.0,,,1.0,1.0
587,2026-08-30,Rutgers,Wagner,Away,,7,1.0,7.0,5.0,18,12.0,,,,3.0,,1.0,,5.0,2.0,,,,1.0,
590,2026-08-29,Sacred Heart,Ball St.,Home,,2,3.0,2.0,2.0,15,11.0,,,,,1.0,3.0,2.0,9.0,5.0,,,,,
590,2026-08-30,Sacred Heart,Bucknell,Away,,1,2.0,1.0,1.0,5,3.0,,,,,,2.0,3.0,21.0,4.0,,,,1.0,
606,2026-08-28,Saint Joseph's,New Hampshire,Home,,2,1.0,2.0,2.0,18,14.0,,,,1.0,,1.0,,4.0,3.0,,,,,
606,2026-08-30,Saint Joseph's,UConn,Home,,1,4.0,1.0,1.0,8,5.0,,,,1.0,1.0,4.0,3.0,14.0,13.0,,,,2.0,
609,2026-08-29,Saint Louis,Michigan St.,Home,,0,3.0,,,6,3.0,,,,,,3.0,1.0,16.0,8.0,,,,1.0,
609,2026-08-30,Saint Louis,Ohio,Away,,1,2.0,1.0,1.0,18,7.0,,,,1.0,,2.0,2.0,18.0,7.0,,,,1.0,
674,2026-08-28,Stanford,UMass Lowell,Home,,2,1.0,2.0,2.0,10,4.0,,,1.0,1.0,,1.0,,8.0,4.0,,,1.0,,
674,2026-08-30,Stanford,American,Home,,3,1.0,3.0,1.0,12,8.0,,,,2.0,,1.0,,8.0,6.0,,,,,1.0
674,2026-08-31,Stanford,Central Mich.,Home,,2,1.0,2.0,1.0,19,9.0,,,,1.0,,1.0,1.0,10.0,8.0,,,,1.0,
682,2026-08-28,Stonehill,Holy Cross,Away,,1,,1.0,1.0,2,1.0,,,1.0,,,2.0,1.0,34.0,21.0,,,,,
688,2026-08-28,Syracuse,Fairfield,Away,,2,1.0,2.0,1.0,9,7.0,20.0,,,2.0,,1.0,,7.0,4.0,16.0,,,,
688,2026-08-30,Syracuse,Northeastern,Away,,3,2.0,3.0,3.0,20,11.0,40.0,,,1.0,,2.0,1.0,13.0,8.0,32.0,,,3.0,
690,2026-08-28,Temple,James Madison,Away,,2,1.0,2.0,1.0,9,5.0,,,1.0,,,1.0,,13.0,5.0,,,,,
690,2026-08-30,Temple,Maryland,Away,,1,3.0,1.0,,6,2.0,,,,1.0,,3.0,5.0,18.0,8.0,,,1.0,2.0,
711,2026-08-28,Towson,App State,Away,,0,,,,7,4.0,,,,,,1.0,1.0,11.0,4.0,,,,,
711,2026-08-30,Towson,Davidson,Away,,0,4.0,,,10,4.0,,,,1.0,,4.0,2.0,12.0,7.0,,,,1.0,
14,2026-08-28,UAlbany,Wagner,Home,,4,1.0,4.0,3.0,9,9.0,,,,2.0,,1.0,1.0,14.0,6.0,,,,3.0,
14,2026-08-30,UAlbany,Boston College,Home,,4,3.0,4.0,3.0,8,7.0,,,,,3.0,3.0,3.0,19.0,10.0,,,,2.0,
108,2026-08-28,UC Davis,Central Mich.,Home,,2,,2.0,,7,5.0,,,,,1.0,1.0,1.0,7.0,5.0,,,,,1.0
108,2026-08-30,UC Davis,UMass Lowell,Home,,1,3.0,1.0,1.0,4,4.0,,,,,1.0,3.0,2.0,16.0,12.0,,,,,1.0
164,2026-08-29,UConn,New Hampshire,Home,,5,0.0,5.0,5.0,26,20.0,,,1.0,1.0,,,,1.0,,,,,,1.0
164,2026-08-30,UConn,Saint Joseph's,Away,,4,1.0,4.0,3.0,14,13.0,,,,2.0,,1.0,1.0,8.0,5.0,,,,1.0,1.0
368,2026-08-28,UMass Lowell,Stanford,Away,,1,2.0,1.0,,8,4.0,,,1.0,,,2.0,2.0,10.0,4.0,,,1.0,1.0,
368,2026-08-30,UMass Lowell,UC Davis,Away,,3,1.0,3.0,2.0,16,12.0,,,,,1.0,1.0,1.0,4.0,4.0,,,,,1.0
740,2026-08-28,VCU,Northwestern,Away,,0,2.0,,,4,2.0,,,,,,2.0,1.0,8.0,5.0,,,,,
740,2026-08-30,VCU,Kent St.,Home,,1,,1.0,1.0,11,4.0,,,,1.0,1.0,,,16.0,6.0,,,,1.0,
738,2026-08-28,Vermont,Northeastern,Home,,5,2.0,5.0,5.0,11,10.0,,,,4.0,,2.0,1.0,9.0,6.0,,,1.0,,
738,2026-08-30,Vermont,Quinnipiac,Away,,3,0.0,3.0,3.0,13,10.0,55.0,,,1.0,,,,4.0,1.0,39.0,,,,
739,2026-08-28,Villanova,Delaware,Away,,2,1.0,2.0,2.0,7,3.0,,,,1.0,,1.0,1.0,17.0,10.0,,,,1.0,
739,2026-08-30,Villanova,La Salle,Away,,7,0.0,7.0,10.0,30,17.0,23.0,,,1.0,,,,6.0,6.0,23.0,,,2.0,1.0
746,2026-08-28,Virginia,Penn St.,Away,,4,,4.0,4.0,9,7.0,,,,,,3.0,2.0,12.0,6.0,,,,,
748,2026-08-28,Wagner,UAlbany,Away,,1,4.0,1.0,1.0,14,6.0,,,,3.0,,4.0,3.0,9.0,9.0,,,,2.0,
748,2026-08-30,Wagner,Rutgers,Home,,1,7.0,1.0,,5,2.0,,,,1.0,,7.0,5.0,18.0,12.0,,,,3.0,
749,2026-08-28,Wake Forest,Iowa,Home,,3,4.0,3.0,1.0,7,5.0,,,,,,4.0,2.0,13.0,12.0,,,,,
749,2026-08-30,Wake Forest,Michigan,Home,,2,0.0,2.0,3.0,10,4.0,,,,1.0,1.0,,,5.0,4.0,,,,2.0,
786,2026-08-28,William & Mary,Duke,Away,,0,7.0,,,3,1.0,,,,,,7.0,4.0,37.0,26.0,,,,,
