ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,goals,ast,shatt,sog,fouls,rc,yc,gc,defensive_goals,defensive_ast,defensive_shatt,defensive_sog,defensive_fouls,defensive_rc,defensive_yc,defensive_gc
23,2021-03-14,American,Bucknell,Home,,4,0.0,4.0,2.0,14.0,10.0,,,,1.0,,,2.0,1.0,1.0,,,2.0
23,2021-03-28,American,Bucknell,Away,,1,,1.0,1.0,23.0,13.0,,,1.0,1.0,2.0,2.0,9.0,6.0,,,,3.0
23,2021-04-04,American,Lafayette,Away,,2,,2.0,2.0,6.0,4.0,28.0,,,1.0,1.0,,9.0,9.0,26.0,,,1.0
23,2021-04-11,American,Lehigh,Home,,2,0.0,2.0,,19.0,13.0,,,,1.0,,,7.0,5.0,,,,
23,2021-04-18,American,Lafayette,Home,,3,,3.0,,16.0,8.0,,,,2.0,2.0,3.0,15.0,9.0,,,,1.0
23,2021-04-22,American,Bucknell,Home,,1,,1.0,,18.0,9.0,,,,1.0,1.0,1.0,15.0,5.0,,,,1.0
27,2021-02-27,App State,Davidson,Away,,2,4.0,2.0,1.0,10.0,5.0,,,1.0,1.0,4.0,3.0,7.0,5.0,,,,2.0
27,2021-03-12,App State,Ball St.,Home,,1,2.0,1.0,,11.0,7.0,,,,3.0,2.0,,8.0,5.0,,,3.0,1.0
27,2021-03-13,App State,Ball St.,Home,,1,0.0,1.0,1.0,7.0,5.0,,,,2.0,,,3.0,2.0,,,,2.0
27,2021-03-15,App State,Saint Louis,Home,,3,,3.0,3.0,25.0,14.0,,,,,2.0,1.0,4.0,2.0,,,,
27,2021-03-20,App State,Central Mich.,Home,,2,,2.0,1.0,31.0,13.0,,,,,3.0,3.0,7.0,4.0,,,,
27,2021-03-21,App State,Central Mich.,Home,,6,1.0,6.0,2.0,17.0,13.0,,,,,1.0,1.0,1.0,1.0,,,,
27,2021-03-26,App State,Kent St.,Away,,2,3.0,2.0,,5.0,4.0,,,,,3.0,2.0,13.0,6.0,,,,
27,2021-03-27,App State,Kent St.,Away,,0,1.0,,,9.0,3.0,,,,,1.0,,9.0,4.0,,,,
27,2021-04-02,App State,Ohio,Away,,2,1.0,2.0,,10.0,9.0,,,,,1.0,,11.0,8.0,,,,1.0
27,2021-04-03,App State,Ohio,Away,,2,0.0,2.0,2.0,13.0,10.0,,,,,,,5.0,3.0,,,,
27,2021-04-10,App State,Bellarmine,Home,,7,2.0,7.0,6.0,27.0,20.0,,,,,2.0,2.0,2.0,2.0,,,,2.0
