institution,conference,all,division_i,division_ii
American,Patriot,6-6,6-6,
App State,MAC,7-4,7-4,
Ball St.,MAC,2-8,2-8,
Bellarmine,MAC,0-9,0-9,
Boston College,ACC,5-3,5-3,
Boston U.,Patriot,5-8,5-8,
Brown,Ivy League,6-3,6-3,
Bryant,America East,4-9,4-9,
Bucknell,Patriot,6-5,6-5,
California,ACC,5-3,5-3,
Central Mich.,MAC,6-4,6-4,
Colgate,Patriot,4-7,4-7,
Columbia,Ivy League,6-2,6-2,
Cornell,Ivy League,7-1,7-1,
Dartmouth,Ivy League,4-5,4-5,
Davidson,Atlantic 10,7-6,7-6,
Delaware,MPSFMWP,6-11,6-11,
Drexel,CAA,10-6,10-6,
Duke,ACC,9-4,9-4,
Fairfield,NEC,7-6,7-6,
Georgetown,Big East,4-6,4-6,
Harvard,Ivy League,12-2,12-2,
Hofstra,CAA,7-6,7-6,
Holy Cross,Patriot,4-6,4-6,
Indiana,Big Ten,5-5,5-5,
Iowa,Big Ten,9-3,9-3,
James Madison,MAC,6-5,6-5,
Kent St.,MAC,1-5,1-5,
La Salle,Atlantic 10,5-7,5-7,
Lafayette,Patriot,7-6,7-6,
Lehigh,Patriot,3-8,3-8,
Liberty,Big East,10-3,10-3,
LIU,NEC,0-9,0-9,
Lock Haven,Atlantic 10,1-11,1-11,
Longwood,MAC,2-6,2-6,
Louisville,ACC,6-4,6-4,
Maine,America East,6-8,6-8,
Maryland,Big Ten,5-5,5-5,
Massachusetts,MAC,8-3,8-3,
Mercyhurst,NEC,1-7,0-7,1-0
Merrimack,NEC,0-8,0-8,
Miami (OH),MAC,8-4,8-4,
Michigan,Big Ten,6-3,6-3,
Michigan St.,Big Ten,4-6,4-6,
Monmouth,CAA,8-4,8-4,
New Hampshire,America East,8-6,8-6,
New Haven,NEC,0-6,0-6,
North Carolina,ACC,14-1,14-1,
Northeastern,CAA,6-7,6-7,
Northwestern,Big Ten,14-1,14-1,
Ohio,MAC,2-7,2-7,
Ohio St.,Big Ten,5-5,5-5,
Old Dominion,Big East,3-8,3-8,
Penn,Ivy League,7-2,7-2,
Penn St.,Big Ten,5-4,5-4,
Princeton,Ivy League,12-3,12-3,
Providence,Big East,7-3,7-3,
Queens (NC),DI Independent,4-13,2-13,2-0
Quinnipiac,Big East,8-3,8-3,
Richmond,Atlantic 10,7-7,7-7,
Rider,NEC,3-6,3-6,
Rutgers,Big Ten,5-5,5-5,
Sacred Heart,NEC,2-7,2-7,
Saint Francis,NEC,6-4,6-4,
Saint Joseph's,Atlantic 10,8-8,8-8,
Saint Louis,Atlantic 10,4-5,2-5,2-0
Stanford,ACC,5-4,5-4,
Stonehill,NEC,0-9,0-9,
Syracuse,ACC,10-2,10-2,
Temple,Big East,9-2,9-2,
Towson,CAA,4-9,4-9,
UAlbany,America East,9-5,9-5,
UC Davis,MPSFMWP,6-9,6-9,
UConn,Big East,6-8,6-8,
UMass Lowell,America East,5-8,5-8,
VCU,Atlantic 10,8-4,8-4,
Vermont,America East,7-7,7-7,
Villanova,Big East,2-9,2-9,
Virginia,ACC,9-2,9-2,
Wagner,NEC,2-9,2-9,
Wake Forest,ACC,8-4,8-4,
William & Mary,CAA,2-10,2-10,
Yale,Ivy League,8-3,8-3,
