ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,goals,ast,shatt,sog,fouls,rc,yc,gc,dsv,defensive_goals,defensive_ast,defensive_shatt,defensive_sog,defensive_fouls,defensive_rc,defensive_yc,defensive_gc,defensive_dsv
23,2025-08-29,American,William & Mary,Away,,10,0.0,10.0,6.0,23.0,17.0,,,,1.0,,,,3.0,1.0,,,,,1.0
23,2025-08-31,American,Duke,Home,,1,2.0,1.0,,7.0,2.0,,,,,,2.0,2.0,7.0,4.0,,,,1.0,1.0
23,2025-09-07,American,James Madison,Home,,1,4.0,1.0,1.0,5.0,2.0,,,2.0,1.0,1.0,4.0,3.0,17.0,13.0,,,2.0,,
23,2025-09-12,American,Saint Joseph's,Home,,0,1.0,,,6.0,1.0,,,2.0,2.0,,1.0,1.0,8.0,6.0,,,,1.0,
23,2025-09-14,American,Penn,Home,,0,2.0,,,9.0,4.0,,,,1.0,,2.0,2.0,15.0,7.0,,,,,1.0
23,2025-09-19,American,Boston U.,Away,,2,0.0,2.0,2.0,16.0,11.0,,,,2.0,,,,13.0,8.0,,,,,1.0
23,2025-09-21,American,Providence,Away,,2,,2.0,,15.0,7.0,,,1.0,2.0,,1.0,1.0,5.0,3.0,,,,3.0,
23,2025-09-27,American,Colgate,Away,,2,0.0,2.0,,23.0,13.0,43.0,,,1.0,,,,8.0,2.0,22.0,,,,
23,2025-10-03,American,Lafayette,Home,,3,1.0,3.0,3.0,11.0,10.0,,,,1.0,,1.0,2.0,10.0,4.0,,,,,1.0
23,2025-10-05,American,Villanova,Home,,3,0.0,3.0,1.0,14.0,10.0,,,,1.0,,,,6.0,2.0,,,,,
23,2025-10-08,American,Towson,Home,,5,0.0,5.0,7.0,16.0,9.0,,,,,,,,6.0,5.0,,,,,
23,2025-10-12,American,VCU,Home,,0,,,,19.0,6.0,,,,1.0,,1.0,,8.0,6.0,,,,3.0,
23,2025-10-17,American,Bucknell,Home,,3,2.0,3.0,4.0,18.0,13.0,,,,,,2.0,1.0,18.0,10.0,,,,,1.0
23,2025-10-19,American,Richmond,Away,,4,2.0,4.0,4.0,11.0,10.0,,,,1.0,,2.0,2.0,9.0,4.0,,,,1.0,
23,2025-10-24,American,Lehigh,Away,,3,1.0,3.0,3.0,11.0,8.0,,,,,,1.0,,8.0,5.0,,,,,2.0
23,2025-10-26,American,Delaware,Away,,5,1.0,5.0,6.0,14.0,11.0,37.0,,,,,1.0,2.0,5.0,2.0,38.0,,,1.0,1.0
23,2025-11-01,American,Holy Cross,Home,,3,1.0,3.0,,14.0,8.0,,,,2.0,,1.0,,9.0,5.0,,,,,1.0
23,2025-11-06,American,Boston U.,Home,,0,1.0,,,15.0,2.0,,,,,,1.0,1.0,4.0,3.0,,,,1.0,
27,2025-08-29,App State,Towson,Away,,7,1.0,7.0,8.0,24.0,15.0,,,,,,1.0,1.0,2.0,1.0,,,,1.0,1.0
27,2025-08-31,App State,Georgetown,Home,,3,1.0,3.0,2.0,16.0,10.0,47.0,,,,,1.0,1.0,5.0,3.0,48.0,,,3.0,
27,2025-09-07,App State,Davidson,Home,,7,3.0,7.0,3.0,14.0,9.0,,,,,,3.0,2.0,13.0,7.0,,,1.0,1.0,
27,2025-09-09,App State,Queens (NC),Away,,6,0.0,6.0,4.0,33.0,16.0,25.0,,,,,,,,,24.0,,,1.0,
27,2025-09-12,App State,North Carolina,Away,,0,5.0,,,5.0,3.0,,,,1.0,,5.0,6.0,16.0,10.0,,,,1.0,
27,2025-09-19,App State,Ohio,Home,,5,3.0,5.0,5.0,17.0,9.0,,,,,,3.0,3.0,12.0,8.0,,,,,
27,2025-09-21,App State,Vermont,Home,,7,1.0,7.0,4.0,21.0,12.0,,,,1.0,,1.0,,6.0,6.0,,,,2.0,
27,2025-09-26,App State,Bellarmine,Away,,2,0.0,2.0,1.0,16.0,8.0,,,,,,,,,,,,,,1.0
27,2025-09-28,App State,James Madison,Home,,5,,5.0,5.0,19.0,16.0,,,,2.0,,4.0,1.0,12.0,8.0,,,,2.0,
27,2025-10-03,App State,Miami (OH),Home,,0,7.0,,,8.0,6.0,,,,,1.0,7.0,6.0,12.0,11.0,,,,1.0,
27,2025-10-05,App State,Liberty,Home,,1,7.0,1.0,,3.0,1.0,,,,,,7.0,8.0,17.0,11.0,,,,1.0,
27,2025-10-10,App State,Central Mich.,Away,,4,0.0,4.0,3.0,24.0,17.0,16.0,,,,,,,3.0,2.0,10.0,,,1.0,
27,2025-10-12,App State,Michigan St.,Away,,3,1.0,3.0,3.0,11.0,8.0,,,,3.0,1.0,1.0,1.0,17.0,11.0,,,2.0,,1.0
27,2025-10-17,App State,Longwood,Away,,3,1.0,3.0,2.0,36.0,23.0,35.0,,,,,1.0,1.0,5.0,4.0,21.0,,,1.0,
27,2025-10-19,App State,Massachusetts,Home,,0,3.0,,,1.0,,,,1.0,1.0,1.0,3.0,3.0,17.0,16.0,,,,,
27,2025-10-24,App State,Ball St.,Away,,3,1.0,3.0,4.0,27.0,17.0,,,,,1.0,1.0,2.0,8.0,5.0,,,,1.0,1.0
27,2025-10-26,App State,Wake Forest,Away,,0,3.0,,,2.0,1.0,,,,,1.0,3.0,2.0,23.0,13.0,,,,1.0,
27,2025-10-31,App State,Kent St.,Home,,9,0.0,9.0,6.0,19.0,17.0,,,,,1.0,,,8.0,5.0,,,,1.0,1.0
27,2025-11-05,App State,Ohio,Home,,3,1.0,3.0,2.0,14.0,7.0,37.0,,,1.0,,1.0,2.0,3.0,3.0,34.0,,,,
27,2025-11-06,App State,Massachusetts,Home,,1,4.0,1.0,1.0,5.0,3.0,26.0,,,,,4.0,2.0,13.0,8.0,39.0,,,1.0,
47,2025-08-29,Ball St.,Ohio St.,Home,,0,7.0,,,5.0,1.0,,,,1.0,1.0,7.0,6.0,31.0,25.0,,,,1.0,
47,2025-08-31,Ball St.,Saint Louis,Home,,3,2.0,3.0,4.0,15.0,9.0,,,,,,2.0,2.0,10.0,5.0,,,,,1.0
47,2025-09-04,Ball St.,Stanford,Away,,0,6.0,,,10.0,3.0,,,,,,6.0,3.0,26.0,10.0,,,,,
47,2025-09-05,Ball St.,UC Davis,Away,,4,,4.0,2.0,13.0,6.0,,,,1.0,,5.0,7.0,19.0,9.0,,,,,
47,2025-09-07,Ball St.,California,Away,,0,3.0,,,1.0,,,,,,2.0,3.0,2.0,23.0,8.0,,,,1.0,
47,2025-09-12,Ball St.,Saint Francis,Home,,1,3.0,1.0,1.0,10.0,6.0,,,,1.0,,3.0,1.0,20.0,15.0,,,,2.0,
47,2025-09-14,Ball St.,Lock Haven,Home,,2,,2.0,2.0,21.0,17.0,,,,,,1.0,1.0,15.0,8.0,,,,1.0,2.0
47,2025-09-19,Ball St.,Longwood,Away,,4,,4.0,5.0,18.0,10.0,14.0,,1.0,2.0,,3.0,3.0,17.0,10.0,14.0,,,,
47,2025-09-21,Ball St.,VCU,Away,,0,4.0,,,2.0,1.0,36.0,,,,,4.0,3.0,15.0,7.0,37.0,,,1.0,
47,2025-09-26,Ball St.,Central Mich.,Home,,1,2.0,1.0,,18.0,9.0,,,,,,2.0,3.0,14.0,9.0,,,,2.0,
47,2025-09-28,Ball St.,Kent St.,Home,,0,,,,17.0,9.0,,,,1.0,,1.0,1.0,17.0,9.0,,,,,1.0
47,2025-10-03,Ball St.,James Madison,Away,,0,5.0,,,7.0,4.0,41.0,,,,,5.0,,33.0,16.0,45.0,,,1.0,
47,2025-10-05,Ball St.,Richmond,Away,,0,5.0,,,13.0,9.0,,,,1.0,,5.0,5.0,19.0,13.0,,,,,
47,2025-10-10,Ball St.,Ohio,Away,,0,1.0,,,5.0,3.0,,,,1.0,,1.0,,7.0,3.0,,,,3.0,
47,2025-10-14,Ball St.,Michigan St.,Away,,1,5.0,1.0,,10.0,6.0,,,,1.0,,5.0,2.0,22.0,11.0,,,1.0,,
47,2025-10-17,Ball St.,Bellarmine,Home,,2,,2.0,1.0,23.0,16.0,,,1.0,1.0,1.0,1.0,2.0,4.0,3.0,,,,2.0,
47,2025-10-19,Ball St.,Miami (OH),Away,,0,5.0,,,,,,,,,,5.0,10.0,21.0,14.0,,,,1.0,
47,2025-10-24,Ball St.,App State,Home,,1,3.0,1.0,2.0,8.0,5.0,,,,1.0,1.0,3.0,4.0,27.0,17.0,,,,,1.0
47,2025-10-31,Ball St.,Massachusetts,Away,,0,7.0,,,2.0,1.0,,,,,,7.0,9.0,26.0,17.0,,,,,
52,2025-08-29,Bellarmine,Saint Francis,Home,,0,4.0,,,6.0,3.0,,,,,,4.0,4.0,17.0,15.0,,,,1.0,
52,2025-08-31,Bellarmine,UC Davis,Home,,1,2.0,1.0,2.0,5.0,3.0,,,1.0,2.0,,2.0,2.0,27.0,14.0,,,,1.0,
52,2025-09-05,Bellarmine,Michigan St.,Away,,1,2.0,1.0,1.0,2.0,1.0,4.0,,,,,2.0,2.0,15.0,8.0,9.0,,,1.0,
52,2025-09-07,Bellarmine,Michigan,Away,,0,13.0,,,1.0,,,,,,1.0,13.0,11.0,40.0,24.0,,,,1.0,
52,2025-09-12,Bellarmine,Saint Louis,Home,,1,2.0,1.0,2.0,6.0,4.0,,,,,,2.0,1.0,6.0,4.0,,,,1.0,
52,2025-09-14,Bellarmine,Davidson,Home,,1,5.0,1.0,1.0,3.0,2.0,,,,1.0,,5.0,3.0,20.0,13.0,,,,1.0,
52,2025-09-19,Bellarmine,Miami (OH),Away,,0,11.0,,,4.0,,,,,,,11.0,6.0,36.0,15.0,,,,,
52,2025-09-26,Bellarmine,App State,Home,,0,2.0,,,,,,,,,1.0,2.0,1.0,16.0,8.0,,,,,
52,2025-09-28,Bellarmine,Longwood,Away,,2,1.0,2.0,1.0,11.0,5.0,21.0,,,,,1.0,1.0,9.0,6.0,14.0,,2.0,,
52,2025-10-03,Bellarmine,Ohio,Away,,1,,,,1.0,1.0,,,,1.0,,,,21.0,7.0,,,,1.0,1.0
52,2025-10-04,Bellarmine,Queens (NC),Home,,0,1.0,,,17.0,9.0,,,,,,1.0,1.0,8.0,4.0,,,,2.0,1.0
52,2025-10-07,Bellarmine,Louisville,Away,,0,6.0,,,1.0,,,,,,,6.0,6.0,18.0,12.0,,,,,
52,2025-10-10,Bellarmine,Kent St.,Home,,0,3.0,,,4.0,1.0,,,,,1.0,3.0,,15.0,8.0,,,1.0,1.0,
52,2025-10-17,Bellarmine,Ball St.,Away,,1,,1.0,2.0,4.0,3.0,,,,2.0,,2.0,1.0,23.0,16.0,,,1.0,1.0,1.0
52,2025-10-19,Bellarmine,James Madison,Home,,0,5.0,,,3.0,2.0,,,,1.0,,5.0,5.0,28.0,16.0,,,,,
52,2025-10-24,Bellarmine,Massachusetts,Away,,0,5.0,,,2.0,2.0,,,,,,5.0,3.0,21.0,14.0,,,,,
52,2025-10-26,Bellarmine,Bryant,Away,,0,2.0,,,6.0,1.0,,,,,,2.0,2.0,11.0,7.0,,,,,
52,2025-10-31,Bellarmine,Central Mich.,Home,,2,3.0,2.0,1.0,7.0,5.0,,,1.0,,,3.0,1.0,13.0,8.0,,,,3.0,
67,2025-08-29,Boston College,Maine,Away,,2,0.0,2.0,1.0,15.0,11.0,43.0,,1.0,2.0,,,,3.0,2.0,18.0,,,,1.0
67,2025-08-30,Boston College,Indiana,Home,,2,1.0,2.0,3.0,8.0,6.0,29.0,,2.0,,,1.0,1.0,3.0,2.0,22.0,,,,
67,2025-09-05,Boston College,Maryland,Home,,2,0.0,2.0,1.0,8.0,3.0,,,,2.0,,,,8.0,3.0,,,,1.0,
67,2025-09-07,Boston College,Northwestern,Home,,0,2.0,,,6.0,5.0,,,1.0,1.0,,2.0,2.0,12.0,6.0,,1.0,1.0,3.0,
67,2025-09-12,Boston College,Massachusetts,Home,,1,,1.0,1.0,21.0,11.0,20.0,,1.0,3.0,,1.0,1.0,9.0,4.0,20.0,,2.0,2.0,2.0
67,2025-09-14,Boston College,Boston U.,Away,,0,1.0,,,16.0,10.0,,,,2.0,,1.0,1.0,3.0,1.0,,,2.0,1.0,
67,2025-09-19,Boston College,Virginia,Away,,0,2.0,,,8.0,6.0,,,1.0,1.0,,2.0,2.0,5.0,3.0,,,,1.0,
67,2025-09-21,Boston College,Wake Forest,Away,,1,2.0,1.0,1.0,13.0,9.0,,,,,,2.0,1.0,11.0,8.0,,,,,
67,2025-09-28,Boston College,North Carolina,Home,,1,2.0,1.0,1.0,7.0,2.0,27.0,,,2.0,2.0,2.0,1.0,17.0,13.0,24.0,,2.0,1.0,
67,2025-10-05,Boston College,Northeastern,Away,,3,2.0,3.0,3.0,16.0,10.0,25.0,,,1.0,,2.0,2.0,5.0,2.0,21.0,,,1.0,
67,2025-10-10,Boston College,California,Away,,1,,1.0,1.0,13.0,7.0,,,,1.0,,1.0,1.0,15.0,5.0,,,,,
67,2025-10-12,Boston College,Stanford,Away,,1,,1.0,,15.0,6.0,,,,,,2.0,,5.0,4.0,,,,1.0,
67,2025-10-17,Boston College,Duke,Home,,1,3.0,1.0,,12.0,7.0,,,3.0,,,3.0,4.0,17.0,8.0,,,1.0,,
67,2025-10-19,Boston College,New Hampshire,Home,,8,2.0,8.0,5.0,32.0,19.0,25.0,,2.0,2.0,3.0,2.0,2.0,15.0,11.0,16.0,,2.0,3.0,
67,2025-10-24,Boston College,Syracuse,Home,,1,3.0,1.0,1.0,10.0,7.0,,,,2.0,1.0,3.0,3.0,11.0,7.0,,,1.0,1.0,
67,2025-10-26,Boston College,Louisville,Home,,2,,1.0,1.0,23.0,8.0,,,1.0,2.0,1.0,1.0,1.0,17.0,10.0,,,2.0,3.0,
68,2025-08-29,Boston U.,Providence,Home,,2,,2.0,1.0,21.0,14.0,,,,1.0,2.0,2.0,2.0,17.0,11.0,,,,4.0,1.0
68,2025-09-05,Boston U.,Vermont,Home,,2,,2.0,3.0,12.0,7.0,,,1.0,1.0,,3.0,3.0,13.0,8.0,,,,2.0,
68,2025-09-07,Boston U.,Massachusetts,Away,,0,4.0,,,14.0,7.0,,,,1.0,,4.0,6.0,14.0,10.0,,,,,
68,2025-09-12,Boston U.,Quinnipiac,Home,,4,2.0,4.0,3.0,15.0,10.0,,,,3.0,,2.0,2.0,12.0,7.0,,,,1.0,
68,2025-09-14,Boston U.,Boston College,Home,,1,0.0,1.0,1.0,3.0,1.0,,,2.0,1.0,,,,16.0,10.0,,,,2.0,
68,2025-09-19,Boston U.,American,Home,,0,2.0,,,13.0,8.0,,,,,1.0,2.0,2.0,16.0,11.0,,,,2.0,
68,2025-09-21,Boston U.,Bryant,Home,,3,0.0,3.0,2.0,21.0,15.0,,,,2.0,,,,4.0,1.0,,,,,
68,2025-09-26,Boston U.,Holy Cross,Away,,3,2.0,3.0,2.0,21.0,17.0,,,,1.0,1.0,2.0,3.0,10.0,6.0,,,,,1.0
68,2025-09-28,Boston U.,New Hampshire,Home,,6,7.0,6.0,4.0,19.0,10.0,,,,3.0,1.0,7.0,5.0,18.0,13.0,,,,1.0,
68,2025-10-04,Boston U.,Lehigh,Away,,4,1.0,4.0,4.0,15.0,11.0,19.0,,,1.0,,1.0,1.0,6.0,6.0,16.0,,,2.0,1.0
68,2025-10-06,Boston U.,Harvard,Home,,0,7.0,,,11.0,3.0,,,,1.0,,7.0,6.0,17.0,12.0,,,,,
68,2025-10-11,Boston U.,Bucknell,Home,,0,4.0,,,17.0,8.0,,,,2.0,,4.0,3.0,8.0,6.0,,,,,2.0
68,2025-10-18,Boston U.,Maine,Away,,0,5.0,,,5.0,2.0,25.0,,,2.0,,5.0,3.0,14.0,10.0,28.0,,,1.0,
68,2025-10-24,Boston U.,Lafayette,Home,,0,1.0,,,7.0,3.0,,,,1.0,1.0,1.0,,5.0,4.0,,,,,1.0
68,2025-10-26,Boston U.,Northeastern,Away,,1,3.0,1.0,,12.0,9.0,35.0,,1.0,2.0,1.0,3.0,4.0,13.0,11.0,26.0,,,1.0,
68,2025-11-01,Boston U.,Colgate,Away,,3,,3.0,5.0,14.0,7.0,56.0,,,1.0,2.0,2.0,,11.0,8.0,26.0,,,,1.0
68,2025-11-06,Boston U.,American,Away,,1,0.0,1.0,1.0,4.0,3.0,,,,1.0,,,,15.0,2.0,,,,,
68,2025-11-08,Boston U.,Lafayette,Home,,3,2.0,3.0,3.0,12.0,7.0,,,1.0,1.0,,2.0,2.0,9.0,4.0,,,,,
68,2025-11-12,Boston U.,Fairfield,Home,,0,1.0,,,8.0,4.0,,,,1.0,2.0,1.0,1.0,14.0,6.0,,,2.0,,
80,2025-09-05,Brown,Massachusetts,Away,,2,,2.0,2.0,22.0,15.0,,,1.0,1.0,,3.0,3.0,21.0,11.0,,,,1.0,2.0
80,2025-09-07,Brown,UConn,Away,,2,3.0,2.0,1.0,12.0,10.0,,,,,,3.0,1.0,9.0,5.0,,,,1.0,
80,2025-09-14,Brown,Fairfield,Home,,1,0.0,1.0,,12.0,4.0,,,,2.0,,,,10.0,4.0,,,,5.0,
80,2025-09-20,Brown,Yale,Home,,1,3.0,1.0,2.0,6.0,3.0,,,2.0,1.0,,3.0,3.0,17.0,10.0,,,,2.0,
80,2025-09-21,Brown,Stonehill,Home,,8,0.0,8.0,9.0,27.0,16.0,,,,,,,,3.0,1.0,,,,,
80,2025-09-26,Brown,Columbia,Away,,4,1.0,4.0,5.0,25.0,20.0,15.0,,1.0,,,1.0,2.0,7.0,2.0,12.0,,1.0,2.0,3.0
