conference,all,division_i,division_ii
ACC,70-21,70-21,
America East,48-48,48-48,
Atlantic 10,46-40,45-40,1-0
Big East,43-45,43-45,
Big Ten,73-29,73-29,
CAA,42-40,42-40,
DI Independent,8-40,7-40,1-0
Ivy League,34-38,34-38,
MAC,31-54,31-54,
NEC,24-56,24-56,
Patriot,35-41,35-41,
