conference,all,division_i,division_ii
ACC,66-32,66-32,
America East,45-45,45-45,
Atlantic 10,54-43,52-43,2-0
Big East,44-46,44-46,
Big Ten,71-28,71-28,
CAA,42-49,42-49,
DI Independent,2-13,1-13,1-0
Ivy League,41-40,41-40,
MAC,34-61,34-61,
NEC,28-59,28-57,0-2
Patriot,37-47,37-47,
