institution,conference,all,division_i,division_ii
American,Patriot,3-8,3-8,
App State,MAC,8-3,8-3,
Ball St.,MAC,5-6,5-6,
Bellarmine,MAC,4-6,4-6,
Boston College,ACC,9-2,9-2,
Boston U.,Patriot,5-6,5-6,
Brown,Ivy League,5-4,5-4,
Bryant,America East,6-4,6-4,
Bucknell,Patriot,5-5,5-5,
California,America East,5-5,5-5,
Central Mich.,MAC,1-9,1-9,
Colgate,Patriot,3-8,3-8,
Columbia,Ivy League,3-6,3-6,
Cornell,Ivy League,7-2,7-2,
Dartmouth,Ivy League,4-4,4-4,
Davidson,Atlantic 10,6-5,6-5,
Delaware,CAA,5-6,5-6,
Drexel,CAA,10-3,10-3,
Duke,ACC,11-3,11-3,
Fairfield,NEC,7-3,7-3,
Georgetown,Big East,1-10,1-10,
Harvard,Ivy League,7-4,7-4,
Hofstra,CAA,5-7,5-7,
Holy Cross,Patriot,6-5,6-5,
Indiana,Big Ten,6-5,6-5,
Iowa,Big Ten,9-2,9-2,
James Madison,DI Independent,5-12,5-12,
Kent St.,MAC,2-8,2-8,
La Salle,Atlantic 10,8-3,8-3,
Lafayette,Patriot,6-5,6-5,
Lehigh,Patriot,7-4,7-4,
Liberty,Big East,9-2,9-2,
Lindenwood,DI Independent,3-11,2-11,1-0
LIU,NEC,2-6,2-6,
Lock Haven,Atlantic 10,3-7,3-7,
Longwood,MAC,2-9,2-9,
Louisville,ACC,11-3,11-3,
Maine,America East,4-7,4-7,
Maryland,Big Ten,11-4,11-4,
Massachusetts,Atlantic 10,7-4,7-4,
Merrimack,NEC,0-10,0-10,
Miami (OH),MAC,7-7,7-7,
Michigan,Big Ten,6-3,6-3,
Michigan St.,Big Ten,3-5,3-5,
Monmouth,CAA,6-4,6-4,
New Hampshire,America East,12-6,12-6,
North Carolina,ACC,12-2,12-2,
Northeastern,CAA,5-6,5-6,
Northwestern,Big Ten,13-2,13-2,
Ohio,MAC,2-6,2-6,
Ohio St.,Big Ten,10-2,10-2,
Old Dominion,Big East,7-5,7-5,
Penn,Ivy League,2-7,2-7,
Penn St.,Big Ten,5-4,5-4,
Princeton,Ivy League,2-6,2-6,
Providence,Big East,7-4,7-4,
Queens (NC),DI Independent,0-17,0-17,
Quinnipiac,Big East,4-6,4-6,
Richmond,Atlantic 10,5-6,5-6,
Rider,NEC,3-8,3-8,
Rutgers,Big Ten,10-2,10-2,
Sacred Heart,NEC,3-8,3-8,
Saint Francis,NEC,5-5,5-5,
Saint Joseph's,Atlantic 10,7-5,7-5,
Saint Louis,Atlantic 10,2-7,1-7,1-0
Stanford,America East,3-5,3-5,
Stonehill,NEC,3-8,3-8,
Syracuse,ACC,9-4,9-4,
Temple,Big East,7-5,7-5,
Towson,CAA,5-7,5-7,
UAlbany,America East,6-4,6-4,
UC Davis,America East,1-8,1-8,
UConn,Big East,3-8,3-8,
UMass Lowell,America East,7-3,7-3,
VCU,Atlantic 10,8-3,8-3,
Vermont,America East,4-6,4-6,
Villanova,Big East,5-5,5-5,
Virginia,ACC,11-4,11-4,
Wagner,NEC,1-8,1-8,
Wake Forest,ACC,7-3,7-3,
William & Mary,CAA,6-7,6-7,
Yale,Ivy League,4-5,4-5,
