rank,institution,conference,past_wins,past_losses,past_ties,past_pct,future_wins,future_losses,future_ties,future_pct,cumulative_wins,cumulative_losses,cumulative_ties,cumulative_pct
1,Virginia,ACC,284,110,0,0.721,0,0,0,0.000,284,110,0,0.721
2,North Carolina,ACC,278,111,0,0.715,0,0,0,0.000,278,111,0,0.715
3,Duke,ACC,282,142,0,0.665,0,0,0,0.000,282,142,0,0.665
4,Northwestern,Big Ten,276,147,0,0.652,0,0,0,0.000,276,147,0,0.652
5,Louisville,ACC,257,143,0,0.643,0,0,0,0.000,257,143,0,0.643
6,Maryland,Big Ten,262,149,0,0.637,0,0,0,0.000,262,149,0,0.637
7,Syracuse,ACC,217,124,0,0.636,0,0,0,0.000,217,124,0,0.636
8,Princeton,Ivy League,185,111,0,0.625,0,0,0,0.000,185,111,0,0.625
9,Iowa,Big Ten,210,134,0,0.610,0,0,0,0.000,210,134,0,0.610
10,UConn,Big East,196,126,0,0.609,0,0,0,0.000,196,126,0,0.609
11,Harvard,Ivy League,204,139,0,0.595,0,0,0,0.000,204,139,0,0.595
12,Boston College,ACC,198,135,0,0.595,0,0,0,0.000,198,135,0,0.595
13,Massachusetts,Atlantic 10,207,142,0,0.593,0,0,0,0.000,207,142,0,0.593
14,Penn St.,Big Ten,181,124,0,0.593,0,0,0,0.000,181,124,0,0.593
15,Rutgers,Big Ten,208,143,0,0.593,0,0,0,0.000,208,143,0,0.593
16,Indiana,Big Ten,205,141,0,0.592,0,0,0,0.000,205,141,0,0.592
17,Michigan,Big Ten,180,127,0,0.586,0,0,0,0.000,180,127,0,0.586
18,Wake Forest,ACC,182,131,0,0.581,0,0,0,0.000,182,131,0,0.581
19,American,Patriot,190,138,0,0.579,0,0,0,0.000,190,138,0,0.579
20,Saint Joseph's,Atlantic 10,207,153,0,0.575,0,0,0,0.000,207,153,0,0.575
21,Ohio St.,Big Ten,199,148,0,0.573,0,0,0,0.000,199,148,0,0.573
22,Penn,Ivy League,170,127,0,0.572,0,0,0,0.000,170,127,0,0.572
23,Michigan St.,Big Ten,164,128,0,0.562,0,0,0,0.000,164,128,0,0.562
24,UC Davis,America East,161,127,0,0.559,0,0,0,0.000,161,127,0,0.559
25,William & Mary,CAA,207,165,0,0.556,0,0,0,0.000,207,165,0,0.556
26,Yale,Ivy League,153,124,0,0.552,0,0,0,0.000,153,124,0,0.552
27,Liberty,Big East,198,161,0,0.552,0,0,0,0.000,198,161,0,0.552
28,Maine,America East,186,154,0,0.547,0,0,0,0.000,186,154,0,0.547
29,Stanford,America East,144,120,0,0.545,0,0,0,0.000,144,120,0,0.545
30,UAlbany,America East,177,151,0,0.540,0,0,0,0.000,177,151,0,0.540
31,Villanova,Big East,168,144,0,0.538,0,0,0,0.000,168,144,0,0.538
32,Temple,Big East,174,151,0,0.535,0,0,0,0.000,174,151,0,0.535
33,La Salle,Atlantic 10,175,156,0,0.529,0,0,0,0.000,175,156,0,0.529
34,Columbia,Ivy League,140,125,0,0.528,0,0,0,0.000,140,125,0,0.528
35,California,America East,177,158,0,0.528,0,0,0,0.000,177,158,0,0.528
36,Northeastern,CAA,164,148,0,0.526,0,0,0,0.000,164,148,0,0.526
37,Delaware,CAA,155,142,0,0.522,0,0,0,0.000,155,142,0,0.522
37,Bucknell,Patriot,155,142,0,0.522,0,0,0,0.000,155,142,0,0.522
39,Vermont,America East,162,152,0,0.516,0,0,0,0.000,162,152,0,0.516
40,Old Dominion,Big East,181,171,0,0.514,0,0,0,0.000,181,171,0,0.514
41,Quinnipiac,Big East,151,147,0,0.507,0,0,0,0.000,151,147,0,0.507
42,Lafayette,Patriot,162,159,0,0.505,0,0,0,0.000,162,159,0,0.505
43,Drexel,CAA,173,171,0,0.503,0,0,0,0.000,173,171,0,0.503
44,Boston U.,Patriot,151,150,0,0.502,0,0,0,0.000,151,150,0,0.502
