ncaa_id,team,season,jersey,full_name,roster_name,last_name,first_name,yr,pos,feet,inches,gp,gs,goals,fouls,rc,yc,gc,player_ncaa_id,ast,shatt
23,American,2022,23,Delia Rabatin,Delia Rabatin,Rabatin,Delia,So,M,,,13.0,0.0,,,,,,,,2.0
23,American,2022,27,Alexa Kratz,Alexa Kratz,Kratz,Alexa,So,M,,,14.0,13.0,2.0,,,,1.0,,,9.0
23,American,2022,16,Rebecca Bonness,Rebecca Bonness,Bonness,Rebecca,So,F,,,16.0,0.0,,,,,,,1.0,5.0
23,American,2022,19,Tayla-Jade Weiss,Tayla-Jade Weiss,Weiss,Tayla-Jade,So,M,,,15.0,5.0,1.0,,,1.0,,,,5.0
23,American,2022,13,Federica Turina Dellamaggiore,Federica Turina Dellamaggiore,Dellamaggiore,Federica,So,M,,,16.0,16.0,11.0,,,,3.0,,3.0,40.0
23,American,2022,25,Katelyn Bailey,Katelyn Bailey,Bailey,Katelyn,So,B,,,7.0,2.0,,,,,1.0,,,
23,American,2022,4,Charllene Boshoff,Charllene Boshoff,Boshoff,Charllene,Sr,B,,,16.0,16.0,8.0,,,,,,1.0,38.0
23,American,2022,18,Megan Hoffman,Megan Hoffman,Hoffman,Megan,Sr,F,,,16.0,16.0,4.0,,,,,,2.0,21.0
23,American,2022,8,Ashlyn Campagna,Ashlyn Campagna,Campagna,Ashlyn,Sr,M,,,16.0,6.0,1.0,,,1.0,1.0,,,5.0
23,American,2022,9,Merel Dupont,Merel Dupont,Dupont,Merel,Sr,M,,,16.0,6.0,2.0,,,1.0,1.0,,5.0,11.0
23,American,2022,1,Bella Hite,Bella Hite,Hite,Bella,Sr,M,,,14.0,1.0,,,,,1.0,,,2.0
23,American,2022,3,Julia Kraft,Julia Kraft,Kraft,Julia,Sr,F,,,16.0,13.0,1.0,,,,1.0,,2.0,10.0
23,American,2022,5,Emily Horace,Emily Horace,Horace,Emily,Jr,B,,,16.0,16.0,3.0,,,,2.0,,2.0,5.0
23,American,2022,14,Kendall Jung,Kendall Jung,Jung,Kendall,Jr,M,,,9.0,0.0,1.0,,,,,,,3.0
23,American,2022,12,Imogen Hatton,Imogen Hatton,Hatton,Imogen,Jr,M,,,14.0,10.0,1.0,,,1.0,1.0,,3.0,11.0
23,American,2022,7,Lotta Curanz,Lotta Curanz,Curanz,Lotta,Fr,B,,,14.0,14.0,2.0,,,,,,5.0,5.0
23,American,2022,17,Frederiek Thierry,Frederiek Thierry,Thierry,Frederiek,Fr,F,,,12.0,10.0,1.0,,,1.0,3.0,,1.0,16.0
23,American,2022,11,Agustina Roffo,Agustina Roffo,Roffo,Agustina,Fr,M,,,15.0,15.0,,,,,,,2.0,11.0
23,American,2022,21,Annie Shaw,Annie Shaw,Shaw,Annie,Fr,F,,,13.0,0.0,,,,,2.0,,,5.0
27,App State,2022,13,Charlotte Bosma,Charlotte Bosma,Bosma,Charlotte,So,F,,,14.0,8.0,4.0,,,,1.0,,2.0,20.0
27,App State,2022,14,Jillian Orcutt,Jillian Orcutt,Orcutt,Jillian,So,B,,,12.0,4.0,,,,1.0,,,,
27,App State,2022,3,Allison Corey,Allison Corey,Corey,Allison,Sr,M,,,20.0,19.0,,,,,,,5.0,10.0
27,App State,2022,2,Sarah Farrell,Sarah Farrell,Farrell,Sarah,Sr,F,,,20.0,15.0,7.0,,,,2.0,,2.0,31.0
27,App State,2022,16,Pauline Mangold,Pauline Mangold,Mangold,Pauline,Sr,M,,,20.0,20.0,7.0,,,,2.0,,8.0,21.0
27,App State,2022,15,Rachel Fleig,Rachel Fleig,Fleig,Rachel,Sr,F,,,20.0,8.0,6.0,,,1.0,3.0,,2.0,20.0
