ncaa_id,date,team,opponent,home_away,result,team_score,opponent_score,goals,ast,shatt,sog,fouls,rc,yc,gc,defensive_goals,defensive_ast,defensive_shatt,defensive_sog,defensive_fouls,defensive_rc,defensive_yc,defensive_gc
23,2021-08-27,American,VCU,Away,,2,,2.0,1.0,21.0,16.0,24.0,,,1.0,1.0,,9.0,6.0,18.0,,,1.0
23,2021-08-29,American,Old Dominion,Away,,2,,2.0,2.0,10.0,7.0,,,1.0,1.0,3.0,2.0,10.0,6.0,,,,1.0
23,2021-09-03,American,Delaware,Away,,0,2.0,,,12.0,7.0,,,1.0,1.0,2.0,2.0,10.0,5.0,,,,
23,2021-09-10,American,Richmond,Home,,2,1.0,2.0,1.0,13.0,5.0,,,,1.0,1.0,2.0,7.0,5.0,,,,1.0
23,2021-09-12,American,Massachusetts,Home,,3,,3.0,1.0,17.0,10.0,,,,1.0,2.0,1.0,20.0,8.0,,,,
23,2021-09-18,American,Lafayette,Home,,1,,1.0,1.0,8.0,3.0,,,,,,,16.0,10.0,,,,2.0
23,2021-09-24,American,LIU,Home,,3,0.0,3.0,3.0,13.0,7.0,,,,1.0,,,2.0,2.0,,,,
23,2021-09-26,American,Maryland,Home,,0,4.0,,,5.0,3.0,,,,,4.0,2.0,27.0,15.0,,,,
23,2021-10-02,American,Bucknell,Home,,3,2.0,3.0,2.0,12.0,8.0,,,,3.0,2.0,2.0,9.0,6.0,,,,3.0
23,2021-10-09,American,Lehigh,Away,,2,0.0,2.0,2.0,14.0,10.0,,,,1.0,,,5.0,3.0,,,,1.0
23,2021-10-16,American,Holy Cross,Home,,6,0.0,6.0,7.0,12.0,9.0,,,,,,,7.0,4.0,,,,
23,2021-10-17,American,Cornell,Home,,3,1.0,3.0,3.0,8.0,6.0,,,3.0,2.0,1.0,2.0,8.0,4.0,,,3.0,2.0
23,2021-10-23,American,Boston U.,Away,,3,1.0,3.0,1.0,16.0,10.0,,,,1.0,1.0,1.0,11.0,9.0,,,,
23,2021-10-30,American,Colgate,Away,,3,0.0,3.0,2.0,16.0,10.0,31.0,,1.0,,,,5.0,2.0,14.0,,,
